dataset,scenario,person,method,vae_sampling,filter,iteration,exemplar_size,each_exemplar_time,whole_exemplar_time,each_task_time,whole_task_time
motion,1111,0, ce_fetril,none, none,0,100,0.5285706559568644,2.6428532797843216,0.170720072661837,0.8536003633091848
motion,1111,0, ce_fetril,none, none,0,197,0.5311996901035306,2.6559984505176546,0.166816141779224,0.8340807088961204
motion,1111,0, ce_fetril,none, none,0,390,0.5346628691090476,2.673314345545239,0.1651507829626401,0.8257539148132006
motion,1111,0, ce_fetril,none, none,0,770,0.5343266684127351,2.6716333420636755,0.1639194231356184,0.8195971156780918
motion,1111,0, ce_fetril,none, none,0,215,0.5302045311530433,2.651022655765216,0.1631625042359035,0.8158125211795171
motion,1111,0, ce_ddgr,none, none,0,100,26.071030163615944,130.35515081807972,34.486633533338704,172.43316766669352
motion,1111,0, ce_ddgr,none, none,0,197,25.967313685702784,129.8365684285139,34.389402232319114,171.94701116159558
motion,1111,0, ce_ddgr,none, none,0,390,25.99592094040578,129.97960470202895,34.42680513344706,172.13402566723525
motion,1111,0, ce_ddgr,none, none,0,770,26.07659370915964,130.3829685457982,34.50214724439507,172.51073622197535
motion,1111,0, ce_ddgr,none, none,0,215,26.187503792588902,130.93751896294455,34.615693400189286,173.0784670009464
motion,1111,0, ce_vae,boundary_box, none,0,100,3.987294408983241,19.936472044916204,3.5879839516306924,17.939919758153458
motion,1111,0, ce_vae,boundary_box, none,0,197,3.890685861889893,19.45342930944947,3.4901385726220924,17.450692863110454
motion,1111,0, ce_vae,boundary_box, none,0,390,3.835185017529875,19.17592508764937,3.4398267072418496,17.19913353620925
motion,1111,0, ce_vae,boundary_box, none,0,770,3.8471546236565337,19.23577311828267,3.454112146532473,17.270560732662368
motion,1111,0, ce_vae,boundary_box, none,0,215,3.853906054370104,19.269530271850527,3.4578497651542217,17.289248825771114
motion,1111,0, ce_vae,boundary_box, probability,0,100,3.992664072054127,19.96332036027064,3.603249606434256,18.01624803217128
motion,1111,0, ce_vae,boundary_box, probability,0,197,4.032773486326138,20.16386743163069,3.637730740113183,18.18865370056592
motion,1111,0, ce_vae,boundary_box, probability,0,390,4.034043077129042,20.17021538564521,3.6412241149362576,18.206120574681297
motion,1111,0, ce_vae,boundary_box, probability,0,770,3.98462129115748,19.923106455787394,3.5981121544617527,17.99056077230877
motion,1111,0, ce_vae,boundary_box, probability,0,215,3.967547496178498,19.83773748089249,3.5855005157167708,17.927502578583855
motion,1111,0, ce_vae,gmm, none,0,100,4.190201610860727,20.951008054303625,3.495702140045663,17.478510700228313
motion,1111,0, ce_vae,gmm, none,0,197,4.18351723736773,20.917586186838648,3.509028736334294,17.54514368167147
motion,1111,0, ce_vae,gmm, none,0,390,4.226676610600617,21.133383053003087,3.5436454750618176,17.718227375309088
motion,1111,0, ce_vae,gmm, none,0,770,4.209914511729343,21.049572558646712,3.535922211199066,17.679611055995338
motion,1111,0, ce_vae,gmm, none,0,215,4.167674873101215,20.838374365506077,3.49639865380898,17.481993269044906
