Exemplar_Size,Method,Task 2
All Exemplars,FeTrIL,0.6575539568345323
All Exemplars,FeTrIL,0.5923076923076923
All Exemplars,FeTrIL,0.3712121212121212
All Exemplars,FeTrIL,0.61125
All Exemplars,FeTrIL,0.6477419354838709
All Exemplars,FeTrIL,0.7097744360902255
All Exemplars,FeTrIL,0.5729032258064516
All Exemplars,FeTrIL,0.6746268656716419
All Exemplars,FeTrIL,0.590990990990991
All Exemplars,FeTrIL,0.6402877697841727
All Exemplars,FeTrIL,0.7686567164179104
All Exemplars,FeTrIL,0.6230769230769231
All Exemplars,FeTrIL,0.6307692307692309
All Exemplars,FeTrIL,0.575
All Exemplars,FeTrIL,0.6601503759398496
All Exemplars,FeTrIL,0.6546762589928058
All Exemplars,FeTrIL,0.3669291338582677
All Exemplars,FeTrIL,0.611023622047244
All Exemplars,FeTrIL,0.4803030303030303
All Exemplars,FeTrIL,0.5633587786259542
All Exemplars,FeTrIL,0.553030303030303
All Exemplars,FeTrIL,0.6051282051282051
All Exemplars,FeTrIL,0.6945454545454546
All Exemplars,FeTrIL,0.5744360902255639
All Exemplars,FeTrIL,0.5196969696969697
All Exemplars,FeTrIL,0.7536231884057971
All Exemplars,FeTrIL,0.656060606060606
All Exemplars,FeTrIL,0.6330827067669172
All Exemplars,FeTrIL,0.6
All Exemplars,FeTrIL,0.625
All Exemplars,FeTrIL,0.6575539568345323
All Exemplars,FeTrIL,0.5923076923076923
All Exemplars,FeTrIL,0.3712121212121212
All Exemplars,FeTrIL,0.61125
All Exemplars,FeTrIL,0.6477419354838709
All Exemplars,FeTrIL,0.7097744360902255
All Exemplars,FeTrIL,0.5729032258064516
All Exemplars,FeTrIL,0.6746268656716419
All Exemplars,FeTrIL,0.590990990990991
All Exemplars,FeTrIL,0.6402877697841727
All Exemplars,FeTrIL,0.7686567164179104
All Exemplars,FeTrIL,0.6230769230769231
All Exemplars,FeTrIL,0.6307692307692309
All Exemplars,FeTrIL,0.575
All Exemplars,FeTrIL,0.6601503759398496
All Exemplars,FeTrIL,0.6546762589928058
All Exemplars,FeTrIL,0.3669291338582677
All Exemplars,FeTrIL,0.611023622047244
All Exemplars,FeTrIL,0.4803030303030303
All Exemplars,FeTrIL,0.5633587786259542
All Exemplars,FeTrIL,0.553030303030303
All Exemplars,FeTrIL,0.6051282051282051
All Exemplars,FeTrIL,0.6945454545454546
All Exemplars,FeTrIL,0.5744360902255639
All Exemplars,FeTrIL,0.5196969696969697
All Exemplars,FeTrIL,0.7536231884057971
All Exemplars,FeTrIL,0.656060606060606
All Exemplars,FeTrIL,0.6330827067669172
All Exemplars,FeTrIL,0.6
All Exemplars,FeTrIL,0.625
All Exemplars,DDGR,0.6892086330935252
All Exemplars,DDGR,0.7423076923076922
All Exemplars,DDGR,0.6
All Exemplars,DDGR,0.6224999999999999
All Exemplars,DDGR,0.6103225806451613
All Exemplars,DDGR,0.6255639097744361
All Exemplars,DDGR,0.6141935483870967
All Exemplars,DDGR,0.5119402985074627
All Exemplars,DDGR,0.8072072072072072
All Exemplars,DDGR,0.7971223021582734
All Exemplars,DDGR,0.6179104477611941
All Exemplars,DDGR,0.6833333333333333
All Exemplars,DDGR,0.5153846153846154
All Exemplars,DDGR,0.6599999999999999
All Exemplars,DDGR,0.8195488721804512
All Exemplars,DDGR,0.576978417266187
All Exemplars,DDGR,0.6897637795275591
All Exemplars,DDGR,0.611023622047244
All Exemplars,DDGR,0.6303030303030304
All Exemplars,DDGR,0.6351145038167939
All Exemplars,DDGR,0.6454545454545454
All Exemplars,DDGR,0.8435897435897436
All Exemplars,DDGR,0.7418181818181818
All Exemplars,DDGR,0.4330827067669173
All Exemplars,DDGR,0.6015151515151514
All Exemplars,DDGR,0.846376811594203
All Exemplars,DDGR,0.5121212121212121
All Exemplars,DDGR,0.7639097744360902
All Exemplars,DDGR,0.5779527559055119
All Exemplars,DDGR,0.55
All Exemplars,DDGR,0.6892086330935252
All Exemplars,DDGR,0.7423076923076922
All Exemplars,DDGR,0.6
All Exemplars,DDGR,0.6224999999999999
All Exemplars,DDGR,0.6103225806451613
All Exemplars,DDGR,0.6255639097744361
All Exemplars,DDGR,0.6141935483870967
All Exemplars,DDGR,0.5119402985074627
All Exemplars,DDGR,0.8072072072072072
All Exemplars,DDGR,0.7971223021582734
All Exemplars,DDGR,0.6179104477611941
All Exemplars,DDGR,0.6833333333333333
All Exemplars,DDGR,0.5153846153846154
All Exemplars,DDGR,0.6599999999999999
All Exemplars,DDGR,0.8195488721804512
All Exemplars,DDGR,0.576978417266187
All Exemplars,DDGR,0.6897637795275591
All Exemplars,DDGR,0.611023622047244
All Exemplars,DDGR,0.6303030303030304
All Exemplars,DDGR,0.6351145038167939
All Exemplars,DDGR,0.6454545454545454
All Exemplars,DDGR,0.8435897435897436
All Exemplars,DDGR,0.7418181818181818
All Exemplars,DDGR,0.4330827067669173
All Exemplars,DDGR,0.6015151515151514
All Exemplars,DDGR,0.846376811594203
All Exemplars,DDGR,0.5121212121212121
All Exemplars,DDGR,0.7639097744360902
All Exemplars,DDGR,0.5779527559055119
All Exemplars,DDGR,0.55
All Exemplars,VAE_BBox,0.656115107913669
All Exemplars,VAE_BBox,0.7634615384615384
All Exemplars,VAE_BBox,0.8681818181818182
All Exemplars,VAE_BBox,0.88375
All Exemplars,VAE_BBox,0.8167741935483871
All Exemplars,VAE_BBox,0.643609022556391
All Exemplars,VAE_BBox,0.833548387096774
All Exemplars,VAE_BBox,0.6477611940298508
All Exemplars,VAE_BBox,0.818018018018018
All Exemplars,VAE_BBox,0.7453237410071942
All Exemplars,VAE_BBox,0.6417910447761194
All Exemplars,VAE_BBox,0.8564102564102566
All Exemplars,VAE_BBox,0.8596153846153847
All Exemplars,VAE_BBox,0.9525
All Exemplars,VAE_BBox,0.6812030075187969
All Exemplars,VAE_BBox,0.9179856115107914
All Exemplars,VAE_BBox,0.8362204724409448
All Exemplars,VAE_BBox,0.8188976377952756
All Exemplars,VAE_BBox,0.706060606060606
All Exemplars,VAE_BBox,0.9083969465648856
All Exemplars,VAE_BBox,0.9787878787878788
All Exemplars,VAE_BBox,0.758974358974359
All Exemplars,VAE_BBox,0.7999999999999999
All Exemplars,VAE_BBox,0.6300751879699248
All Exemplars,VAE_BBox,0.8151515151515151
All Exemplars,VAE_BBox,0.7434782608695653
All Exemplars,VAE_BBox,0.5166666666666667
All Exemplars,VAE_BBox,0.8406015037593985
All Exemplars,VAE_BBox,0.8960629921259843
All Exemplars,VAE_BBox,0.9807692307692306
All Exemplars,VAE_BBox,0.656115107913669
All Exemplars,VAE_BBox,0.7634615384615384
All Exemplars,VAE_BBox,0.8681818181818182
All Exemplars,VAE_BBox,0.88375
All Exemplars,VAE_BBox,0.8167741935483871
All Exemplars,VAE_BBox,0.643609022556391
All Exemplars,VAE_BBox,0.833548387096774
All Exemplars,VAE_BBox,0.6477611940298508
