Exemplar_Size,Method,Task 2
All Exemplars,FeTrIL,0.5718309859154929
All Exemplars,FeTrIL,0.6433333333333333
All Exemplars,FeTrIL,0.3850746268656716
All Exemplars,FeTrIL,0.5907692307692308
All Exemplars,FeTrIL,0.7121212121212122
All Exemplars,FeTrIL,0.5261538461538461
All Exemplars,FeTrIL,0.4484848484848484
All Exemplars,FeTrIL,0.5128205128205128
All Exemplars,FeTrIL,0.4777777777777778
All Exemplars,FeTrIL,0.5462686567164179
All Exemplars,FeTrIL,0.7060606060606063
All Exemplars,FeTrIL,0.5431578947368421
All Exemplars,FeTrIL,0.4545454545454546
All Exemplars,FeTrIL,0.4449438202247191
All Exemplars,FeTrIL,0.5016393442622951
All Exemplars,FeTrIL,0.3916666666666667
All Exemplars,FeTrIL,0.2636363636363635
All Exemplars,FeTrIL,0.4333333333333333
All Exemplars,FeTrIL,0.2930232558139535
All Exemplars,FeTrIL,0.6121212121212121
All Exemplars,FeTrIL,0.3761194029850746
All Exemplars,FeTrIL,0.4818181818181818
All Exemplars,FeTrIL,0.6969696969696969
All Exemplars,FeTrIL,0.4636363636363637
All Exemplars,FeTrIL,0.2837209302325581
All Exemplars,FeTrIL,0.6056338028169014
All Exemplars,FeTrIL,0.359090909090909
All Exemplars,FeTrIL,0.5370786516853933
All Exemplars,FeTrIL,0.6327868852459015
All Exemplars,FeTrIL,0.3116279069767441
All Exemplars,FeTrIL,0.5718309859154929
All Exemplars,FeTrIL,0.6433333333333333
All Exemplars,FeTrIL,0.3850746268656716
All Exemplars,FeTrIL,0.5907692307692308
All Exemplars,FeTrIL,0.7121212121212122
All Exemplars,FeTrIL,0.5261538461538461
All Exemplars,FeTrIL,0.4484848484848484
All Exemplars,FeTrIL,0.5128205128205128
All Exemplars,FeTrIL,0.4777777777777778
All Exemplars,FeTrIL,0.5462686567164179
All Exemplars,FeTrIL,0.7060606060606063
All Exemplars,FeTrIL,0.5431578947368421
All Exemplars,FeTrIL,0.4545454545454546
All Exemplars,FeTrIL,0.4449438202247191
All Exemplars,FeTrIL,0.5016393442622951
All Exemplars,FeTrIL,0.3916666666666667
All Exemplars,FeTrIL,0.2636363636363635
All Exemplars,FeTrIL,0.4333333333333333
All Exemplars,FeTrIL,0.2930232558139535
All Exemplars,FeTrIL,0.6121212121212121
All Exemplars,FeTrIL,0.3761194029850746
All Exemplars,FeTrIL,0.4818181818181818
All Exemplars,FeTrIL,0.6969696969696969
All Exemplars,FeTrIL,0.4636363636363637
All Exemplars,FeTrIL,0.2837209302325581
All Exemplars,FeTrIL,0.6056338028169014
All Exemplars,FeTrIL,0.359090909090909
All Exemplars,FeTrIL,0.5370786516853933
All Exemplars,FeTrIL,0.6327868852459015
All Exemplars,FeTrIL,0.3116279069767441
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9969230769230768
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9948717948717948
All Exemplars,DDGR,0.9833333333333334
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.977777777777778
All Exemplars,DDGR,0.7250000000000001
All Exemplars,DDGR,0.9933333333333334
All Exemplars,DDGR,0.9953488372093025
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9970149253731344
All Exemplars,DDGR,0.85
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9954545454545456
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9953488372093025
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9969230769230768
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9948717948717948
All Exemplars,DDGR,0.9833333333333334
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.977777777777778
All Exemplars,DDGR,0.7250000000000001
All Exemplars,DDGR,0.9933333333333334
All Exemplars,DDGR,0.9953488372093025
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9970149253731344
All Exemplars,DDGR,0.85
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9954545454545456
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9953488372093025
All Exemplars,VAE_BBox,0.991549295774648
All Exemplars,VAE_BBox,0.9966666666666668
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9846153846153848
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9897435897435898
All Exemplars,VAE_BBox,0.9888888888888888
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9957894736842106
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.997752808988764
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.986111111111111
All Exemplars,VAE_BBox,0.9727272727272728
All Exemplars,VAE_BBox,0.9933333333333334
All Exemplars,VAE_BBox,0.9906976744186048
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9970149253731344
All Exemplars,VAE_BBox,0.9568181818181818
All Exemplars,VAE_BBox,0.9969696969696968
All Exemplars,VAE_BBox,0.9954545454545456
All Exemplars,VAE_BBox,0.9953488372093025
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9813953488372092
All Exemplars,VAE_BBox,0.991549295774648
All Exemplars,VAE_BBox,0.9966666666666668
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9846153846153848
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9897435897435898
All Exemplars,VAE_BBox,0.9888888888888888
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9957894736842106
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.997752808988764
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.986111111111111
All Exemplars,VAE_BBox,0.9727272727272728
All Exemplars,VAE_BBox,0.9933333333333334
All Exemplars,VAE_BBox,0.9906976744186048
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9970149253731344
All Exemplars,VAE_BBox,0.9568181818181818
All Exemplars,VAE_BBox,0.9969696969696968
All Exemplars,VAE_BBox,0.9954545454545456
All Exemplars,VAE_BBox,0.9953488372093025
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9813953488372092
All Exemplars,VAE_Filter,0.991549295774648
All Exemplars,VAE_Filter,0.9966666666666668
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,0.9969230769230768
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,0.987692307692308
All Exemplars,VAE_Filter,1.0
All Exemplars,VAE_Filter,0.9846153846153848
