method,exemplar_size,each_exemplar_time,whole_exemplar_time,each_task_time,whole_task_time,total_time
DDGR,100,26.502569774947982,79.50770932484396,31.972208170944167,95.9166245128325,175.42433383767644
FeTrIL,100,0.7332471366010054,2.1997414098030164,0.25243574290419063,0.7573072287125721,2.9570486385155883
VAE_BBox,100,5.740819967036583,17.22245990110975,5.126775550500802,15.3803266515024,32.60278655261215
VAE_Filter,100,5.5537766751706314,16.661330025511898,4.97691339341689,14.930740180250671,31.592070205762568
VAE_GMM,100,5.979240567644574,17.937721702933725,5.17107144648154,15.51321433944462,33.450936042378345
DDGR,191,26.502569774947982,79.50770932484396,31.972208170944167,95.9166245128325,175.42433383767644
FeTrIL,191,0.7332471366010054,2.1997414098030164,0.25243574290419063,0.7573072287125721,2.9570486385155883
VAE_BBox,191,5.740819967036583,17.22245990110975,5.126775550500802,15.3803266515024,32.60278655261215
VAE_Filter,191,5.5537766751706314,16.661330025511898,4.97691339341689,14.930740180250671,31.592070205762568
VAE_GMM,191,5.979240567644574,17.937721702933725,5.17107144648154,15.51321433944462,33.450936042378345
DDGR,366,26.502569774947982,79.50770932484396,31.972208170944167,95.9166245128325,175.42433383767644
FeTrIL,366,0.7332471366010054,2.1997414098030164,0.25243574290419063,0.7573072287125721,2.9570486385155883
VAE_BBox,366,5.740819967036583,17.22245990110975,5.126775550500802,15.3803266515024,32.60278655261215
VAE_Filter,366,5.5537766751706314,16.661330025511898,4.97691339341689,14.930740180250671,31.592070205762568
VAE_GMM,366,5.979240567644574,17.937721702933725,5.17107144648154,15.51321433944462,33.450936042378345
DDGR,699,26.502569774947982,79.50770932484396,31.972208170944167,95.9166245128325,175.42433383767644
FeTrIL,699,0.7332471366010054,2.1997414098030164,0.25243574290419063,0.7573072287125721,2.9570486385155883
VAE_BBox,699,5.740819967036583,17.22245990110975,5.126775550500802,15.3803266515024,32.60278655261215
VAE_Filter,699,5.5537766751706314,16.661330025511898,4.97691339341689,14.930740180250671,31.592070205762568
VAE_GMM,699,5.979240567644574,17.937721702933725,5.17107144648154,15.51321433944462,33.450936042378345
DDGR,135,26.502569774947982,79.50770932484396,31.972208170944167,95.9166245128325,175.42433383767644
FeTrIL,135,0.7332471366010054,2.1997414098030164,0.25243574290419063,0.7573072287125721,2.9570486385155883
VAE_BBox,135,5.740819967036583,17.22245990110975,5.126775550500802,15.3803266515024,32.60278655261215
VAE_Filter,135,5.5537766751706314,16.661330025511898,4.97691339341689,14.930740180250671,31.592070205762568
VAE_GMM,135,5.979240567644574,17.937721702933725,5.17107144648154,15.51321433944462,33.450936042378345
