Exemplar_Size,Task 1,Task 2,Task 3,Method
All Exemplars,0.9848484848484848,0.5605095541401275,0.4709090909090909,FeTrIL
All Exemplars,0.9767441860465116,0.49248554913294795,0.24636363636363628,FeTrIL
All Exemplars,1.0,0.47745098039215683,0.359090909090909,FeTrIL
All Exemplars,1.0,0.518407960199005,0.24999999999999992,FeTrIL
All Exemplars,1.0,0.5681592039800994,0.3381818181818182,FeTrIL
All Exemplars,0.9848484848484848,0.6272189349112425,0.37181818181818177,FeTrIL
All Exemplars,1.0,0.4955223880597015,0.3254545454545454,FeTrIL
All Exemplars,1.0,0.5070063694267516,0.3518181818181818,FeTrIL
All Exemplars,0.9714285714285713,0.4970414201183432,0.3672727272727272,FeTrIL
All Exemplars,0.9971830985915492,0.48152866242038217,0.3181818181818181,FeTrIL
All Exemplars,0.9848484848484848,0.49591836734693884,0.3645454545454545,FeTrIL
All Exemplars,1.0,0.5836734693877551,0.3609090909090909,FeTrIL
All Exemplars,1.0,0.5325443786982249,0.3845454545454545,FeTrIL
All Exemplars,1.0,0.5691542288557214,0.3381818181818181,FeTrIL
All Exemplars,1.0,0.6875739644970416,0.4081818181818181,FeTrIL
All Exemplars,0.9971428571428571,0.5147058823529411,0.35090909090909084,FeTrIL
All Exemplars,0.9714285714285713,0.5173469387755102,0.3554545454545454,FeTrIL
All Exemplars,0.9914285714285714,0.5877551020408165,0.3581818181818181,FeTrIL
All Exemplars,1.0,0.47064676616915424,0.35,FeTrIL
All Exemplars,1.0,0.5710982658959537,0.3263636363636363,FeTrIL
All Exemplars,1.0,0.5100591715976333,0.3854545454545454,FeTrIL
All Exemplars,0.9848484848484848,0.5448979591836736,0.4390909090909091,FeTrIL
All Exemplars,0.9767441860465116,0.5005780346820808,0.25636363636363624,FeTrIL
All Exemplars,1.0,0.5479289940828402,0.4354545454545454,FeTrIL
All Exemplars,1.0,0.5094527363184079,0.349090909090909,FeTrIL
All Exemplars,0.9809523809523808,0.6331210191082802,0.3227272727272727,FeTrIL
All Exemplars,0.9964912280701753,0.715606936416185,0.5118181818181818,FeTrIL
All Exemplars,0.9767441860465116,0.48047337278106506,0.3618181818181818,FeTrIL
All Exemplars,1.0,0.4928571428571429,0.3218181818181818,FeTrIL
All Exemplars,0.9975609756097562,0.47861271676300576,0.36636363636363634,FeTrIL
All Exemplars,0.9848484848484848,0.5605095541401275,0.4709090909090909,FeTrIL
All Exemplars,0.9767441860465116,0.49248554913294795,0.24636363636363628,FeTrIL
All Exemplars,1.0,0.47745098039215683,0.359090909090909,FeTrIL
All Exemplars,1.0,0.518407960199005,0.24999999999999992,FeTrIL
All Exemplars,1.0,0.5681592039800994,0.3381818181818182,FeTrIL
All Exemplars,0.9848484848484848,0.6272189349112425,0.37181818181818177,FeTrIL
All Exemplars,1.0,0.4955223880597015,0.3254545454545454,FeTrIL
All Exemplars,1.0,0.5070063694267516,0.3518181818181818,FeTrIL
All Exemplars,0.9714285714285713,0.4970414201183432,0.3672727272727272,FeTrIL
All Exemplars,0.9971830985915492,0.48152866242038217,0.3181818181818181,FeTrIL
All Exemplars,0.9848484848484848,0.49591836734693884,0.3645454545454545,FeTrIL
All Exemplars,1.0,0.5836734693877551,0.3609090909090909,FeTrIL
All Exemplars,1.0,0.5325443786982249,0.3845454545454545,FeTrIL
All Exemplars,1.0,0.5691542288557214,0.3381818181818181,FeTrIL
All Exemplars,1.0,0.6875739644970416,0.4081818181818181,FeTrIL
All Exemplars,0.9971428571428571,0.5147058823529411,0.35090909090909084,FeTrIL
All Exemplars,0.9714285714285713,0.5173469387755102,0.3554545454545454,FeTrIL
All Exemplars,0.9914285714285714,0.5877551020408165,0.3581818181818181,FeTrIL
All Exemplars,1.0,0.47064676616915424,0.35,FeTrIL
All Exemplars,1.0,0.5710982658959537,0.3263636363636363,FeTrIL
All Exemplars,1.0,0.5100591715976333,0.3854545454545454,FeTrIL
All Exemplars,0.9848484848484848,0.5448979591836736,0.4390909090909091,FeTrIL
All Exemplars,0.9767441860465116,0.5005780346820808,0.25636363636363624,FeTrIL
All Exemplars,1.0,0.5479289940828402,0.4354545454545454,FeTrIL
All Exemplars,1.0,0.5094527363184079,0.349090909090909,FeTrIL
All Exemplars,0.9809523809523808,0.6331210191082802,0.3227272727272727,FeTrIL
All Exemplars,0.9964912280701753,0.715606936416185,0.5118181818181818,FeTrIL
All Exemplars,0.9767441860465116,0.48047337278106506,0.3618181818181818,FeTrIL
All Exemplars,1.0,0.4928571428571429,0.3218181818181818,FeTrIL
All Exemplars,0.9975609756097562,0.47861271676300576,0.36636363636363634,FeTrIL
All Exemplars,0.9848484848484848,0.7210191082802548,0.45090909090909087,DDGR
All Exemplars,0.9767441860465116,0.7583815028901735,0.2663636363636363,DDGR
All Exemplars,1.0,0.6588235294117647,0.2636363636363636,DDGR
All Exemplars,1.0,0.6676616915422886,0.5045454545454546,DDGR
All Exemplars,1.0,0.5482587064676616,0.40909090909090906,DDGR
All Exemplars,0.9848484848484848,0.7218934911242603,0.39454545454545453,DDGR
All Exemplars,1.0,0.6019900497512438,0.3054545454545454,DDGR
All Exemplars,1.0,0.5363057324840764,0.4709090909090909,DDGR
All Exemplars,0.822857142857143,0.8911242603550296,0.5227272727272727,DDGR
All Exemplars,1.0,0.7605095541401274,0.5490909090909091,DDGR
All Exemplars,0.9848484848484848,0.6795918367346939,0.2627272727272727,DDGR
All Exemplars,0.9951219512195122,0.6255102040816327,0.30181818181818176,DDGR
All Exemplars,1.0,0.6082840236686391,0.4245454545454545,DDGR
All Exemplars,1.0,0.7064676616915424,0.4818181818181818,DDGR
All Exemplars,1.0,0.7408284023668639,0.45272727272727276,DDGR
All Exemplars,1.0,0.719607843137255,0.20181818181818176,DDGR
All Exemplars,0.9714285714285713,0.8428571428571429,0.2736363636363636,DDGR
All Exemplars,0.9971428571428571,0.6857142857142857,0.22999999999999998,DDGR
All Exemplars,1.0,0.6059701492537314,0.3890909090909091,DDGR
All Exemplars,0.9977011494252874,0.5722543352601155,0.3509090909090909,DDGR
All Exemplars,1.0,0.5514792899408284,0.45181818181818184,DDGR
All Exemplars,0.9848484848484848,0.7397959183673469,0.26545454545454544,DDGR
All Exemplars,0.9767441860465116,0.7965317919075144,0.28818181818181815,DDGR
All Exemplars,1.0,0.5088757396449705,0.429090909090909,DDGR
All Exemplars,1.0,0.5960199004975124,0.3518181818181818,DDGR
All Exemplars,0.9904761904761905,0.829299363057325,0.5136363636363637,DDGR
All Exemplars,0.994736842105263,0.5202312138728323,0.3836363636363636,DDGR
All Exemplars,0.9767441860465116,0.8071005917159763,0.5236363636363637,DDGR
All Exemplars,1.0,0.7122448979591838,0.22818181818181812,DDGR
All Exemplars,1.0,0.576878612716763,0.28181818181818186,DDGR
All Exemplars,0.9848484848484848,0.7210191082802548,0.45090909090909087,DDGR
All Exemplars,0.9767441860465116,0.7583815028901735,0.2663636363636363,DDGR
All Exemplars,1.0,0.6588235294117647,0.2636363636363636,DDGR
All Exemplars,1.0,0.6676616915422886,0.5045454545454546,DDGR
All Exemplars,1.0,0.5482587064676616,0.40909090909090906,DDGR
All Exemplars,0.9848484848484848,0.7218934911242603,0.39454545454545453,DDGR
All Exemplars,1.0,0.6019900497512438,0.3054545454545454,DDGR
All Exemplars,1.0,0.5363057324840764,0.4709090909090909,DDGR
All Exemplars,0.822857142857143,0.8911242603550296,0.5227272727272727,DDGR
All Exemplars,1.0,0.7605095541401274,0.5490909090909091,DDGR
All Exemplars,0.9848484848484848,0.6795918367346939,0.2627272727272727,DDGR
All Exemplars,0.9951219512195122,0.6255102040816327,0.30181818181818176,DDGR
All Exemplars,1.0,0.6082840236686391,0.4245454545454545,DDGR
All Exemplars,1.0,0.7064676616915424,0.4818181818181818,DDGR
All Exemplars,1.0,0.7408284023668639,0.45272727272727276,DDGR
All Exemplars,1.0,0.719607843137255,0.20181818181818176,DDGR
