Exemplar_Size,Method,Task 3
All Exemplars,FeTrIL,0.6575539568345323
All Exemplars,FeTrIL,0.626923076923077
All Exemplars,FeTrIL,0.6575757575757575
All Exemplars,FeTrIL,0.6112500000000001
All Exemplars,FeTrIL,0.6451612903225807
All Exemplars,FeTrIL,0.7639097744360902
All Exemplars,FeTrIL,0.6632258064516129
All Exemplars,FeTrIL,0.8029850746268657
All Exemplars,FeTrIL,0.7513513513513514
All Exemplars,FeTrIL,0.6187050359712231
All Exemplars,FeTrIL,0.6656716417910447
All Exemplars,FeTrIL,0.6602564102564102
All Exemplars,FeTrIL,0.6980769230769232
All Exemplars,FeTrIL,0.61125
All Exemplars,FeTrIL,0.6586466165413534
All Exemplars,FeTrIL,0.7568345323741007
All Exemplars,FeTrIL,0.6440944881889763
All Exemplars,FeTrIL,0.7259842519685039
All Exemplars,FeTrIL,0.5666666666666667
All Exemplars,FeTrIL,0.6610687022900763
All Exemplars,FeTrIL,0.5363636363636364
All Exemplars,FeTrIL,0.708974358974359
All Exemplars,FeTrIL,0.7763636363636364
All Exemplars,FeTrIL,0.8
All Exemplars,FeTrIL,0.7333333333333333
All Exemplars,FeTrIL,0.6318840579710144
All Exemplars,FeTrIL,0.7924242424242424
All Exemplars,FeTrIL,0.637593984962406
All Exemplars,FeTrIL,0.5984251968503937
All Exemplars,FeTrIL,0.5153846153846153
All Exemplars,FeTrIL,0.6575539568345323
All Exemplars,FeTrIL,0.626923076923077
All Exemplars,FeTrIL,0.6575757575757575
All Exemplars,FeTrIL,0.6112500000000001
All Exemplars,FeTrIL,0.6451612903225807
All Exemplars,FeTrIL,0.7639097744360902
All Exemplars,FeTrIL,0.6632258064516129
All Exemplars,FeTrIL,0.8029850746268657
All Exemplars,FeTrIL,0.7513513513513514
All Exemplars,FeTrIL,0.6187050359712231
All Exemplars,FeTrIL,0.6656716417910447
All Exemplars,FeTrIL,0.6602564102564102
All Exemplars,FeTrIL,0.6980769230769232
All Exemplars,FeTrIL,0.61125
All Exemplars,FeTrIL,0.6586466165413534
All Exemplars,FeTrIL,0.7568345323741007
All Exemplars,FeTrIL,0.6440944881889763
All Exemplars,FeTrIL,0.7259842519685039
All Exemplars,FeTrIL,0.5666666666666667
All Exemplars,FeTrIL,0.6610687022900763
All Exemplars,FeTrIL,0.5363636363636364
All Exemplars,FeTrIL,0.708974358974359
All Exemplars,FeTrIL,0.7763636363636364
All Exemplars,FeTrIL,0.8
All Exemplars,FeTrIL,0.7333333333333333
All Exemplars,FeTrIL,0.6318840579710144
All Exemplars,FeTrIL,0.7924242424242424
All Exemplars,FeTrIL,0.637593984962406
All Exemplars,FeTrIL,0.5984251968503937
All Exemplars,FeTrIL,0.5153846153846153
All Exemplars,DDGR,0.1841726618705035
All Exemplars,DDGR,0.3019230769230768
All Exemplars,DDGR,0.3454545454545454
All Exemplars,DDGR,0.28625
All Exemplars,DDGR,0.1999999999999999
All Exemplars,DDGR,0.2511278195488721
All Exemplars,DDGR,0.3070967741935483
All Exemplars,DDGR,0.3522388059701492
All Exemplars,DDGR,0.4522522522522522
All Exemplars,DDGR,0.2129496402877698
All Exemplars,DDGR,0.4477611940298508
All Exemplars,DDGR,0.2961538461538461
All Exemplars,DDGR,0.3865384615384615
All Exemplars,DDGR,0.1575
All Exemplars,DDGR,0.263157894736842
All Exemplars,DDGR,0.3625899280575539
All Exemplars,DDGR,0.168503937007874
All Exemplars,DDGR,0.1496062992125983
All Exemplars,DDGR,0.4045454545454546
All Exemplars,DDGR,0.1083969465648854
All Exemplars,DDGR,0.5181818181818182
All Exemplars,DDGR,0.323076923076923
All Exemplars,DDGR,0.2363636363636362
All Exemplars,DDGR,0.2992481203007518
All Exemplars,DDGR,0.3666666666666666
All Exemplars,DDGR,0.5855072463768116
All Exemplars,DDGR,0.1196969696969696
All Exemplars,DDGR,0.2390977443609022
All Exemplars,DDGR,0.211023622047244
All Exemplars,DDGR,0.3153846153846153
All Exemplars,DDGR,0.1841726618705035
All Exemplars,DDGR,0.3019230769230768
All Exemplars,DDGR,0.3454545454545454
All Exemplars,DDGR,0.28625
All Exemplars,DDGR,0.1999999999999999
All Exemplars,DDGR,0.2511278195488721
All Exemplars,DDGR,0.3070967741935483
All Exemplars,DDGR,0.3522388059701492
All Exemplars,DDGR,0.4522522522522522
All Exemplars,DDGR,0.2129496402877698
All Exemplars,DDGR,0.4477611940298508
All Exemplars,DDGR,0.2961538461538461
All Exemplars,DDGR,0.3865384615384615
All Exemplars,DDGR,0.1575
All Exemplars,DDGR,0.263157894736842
All Exemplars,DDGR,0.3625899280575539
All Exemplars,DDGR,0.168503937007874
All Exemplars,DDGR,0.1496062992125983
All Exemplars,DDGR,0.4045454545454546
All Exemplars,DDGR,0.1083969465648854
All Exemplars,DDGR,0.5181818181818182
All Exemplars,DDGR,0.323076923076923
All Exemplars,DDGR,0.2363636363636362
All Exemplars,DDGR,0.2992481203007518
All Exemplars,DDGR,0.3666666666666666
All Exemplars,DDGR,0.5855072463768116
All Exemplars,DDGR,0.1196969696969696
All Exemplars,DDGR,0.2390977443609022
All Exemplars,DDGR,0.211023622047244
All Exemplars,DDGR,0.3153846153846153
All Exemplars,VAE_BBox,0.1928057553956834
All Exemplars,VAE_BBox,0.55
All Exemplars,VAE_BBox,0.6681818181818182
All Exemplars,VAE_BBox,0.65
All Exemplars,VAE_BBox,0.6283870967741936
All Exemplars,VAE_BBox,0.4105263157894736
All Exemplars,VAE_BBox,0.5612903225806452
All Exemplars,VAE_BBox,0.6791044776119403
All Exemplars,VAE_BBox,0.3261261261261261
All Exemplars,VAE_BBox,0.2201438848920863
All Exemplars,VAE_BBox,0.0970149253731343
All Exemplars,VAE_BBox,0.4602564102564102
All Exemplars,VAE_BBox,0.5884615384615385
All Exemplars,VAE_BBox,0.55125
All Exemplars,VAE_BBox,0.1233082706766916
All Exemplars,VAE_BBox,0.5323741007194245
All Exemplars,VAE_BBox,0.5984251968503937
All Exemplars,VAE_BBox,0.678740157480315
All Exemplars,VAE_BBox,0.5606060606060607
All Exemplars,VAE_BBox,0.6824427480916031
All Exemplars,VAE_BBox,0.6575757575757576
All Exemplars,VAE_BBox,0.3448717948717948
All Exemplars,VAE_BBox,0.6036363636363636
All Exemplars,VAE_BBox,0.4812030075187969
All Exemplars,VAE_BBox,0.5833333333333333
All Exemplars,VAE_BBox,0.2536231884057972
All Exemplars,VAE_BBox,0.6318181818181818
All Exemplars,VAE_BBox,0.1052631578947368
All Exemplars,VAE_BBox,0.4330708661417322
All Exemplars,VAE_BBox,0.4557692307692307
All Exemplars,VAE_BBox,0.1928057553956834
All Exemplars,VAE_BBox,0.55
All Exemplars,VAE_BBox,0.6681818181818182
All Exemplars,VAE_BBox,0.65
All Exemplars,VAE_BBox,0.6283870967741936
All Exemplars,VAE_BBox,0.4105263157894736
All Exemplars,VAE_BBox,0.5612903225806452
All Exemplars,VAE_BBox,0.6791044776119403
All Exemplars,VAE_BBox,0.3261261261261261
All Exemplars,VAE_BBox,0.2201438848920863
All Exemplars,VAE_BBox,0.0970149253731343
All Exemplars,VAE_BBox,0.4602564102564102
All Exemplars,VAE_BBox,0.5884615384615385
All Exemplars,VAE_BBox,0.55125
All Exemplars,VAE_BBox,0.1233082706766916
All Exemplars,VAE_BBox,0.5323741007194245
All Exemplars,VAE_BBox,0.5984251968503937
All Exemplars,VAE_BBox,0.678740157480315
All Exemplars,VAE_BBox,0.5606060606060607
All Exemplars,VAE_BBox,0.6824427480916031
All Exemplars,VAE_BBox,0.6575757575757576
All Exemplars,VAE_BBox,0.3448717948717948
All Exemplars,VAE_BBox,0.6036363636363636
All Exemplars,VAE_BBox,0.4812030075187969
All Exemplars,VAE_BBox,0.5833333333333333
All Exemplars,VAE_BBox,0.2536231884057972
All Exemplars,VAE_BBox,0.6318181818181818
All Exemplars,VAE_BBox,0.1052631578947368
All Exemplars,VAE_BBox,0.4330708661417322
All Exemplars,VAE_BBox,0.4557692307692307
All Exemplars,VAE_Filter,0.279136690647482
All Exemplars,VAE_Filter,0.5038461538461539
All Exemplars,VAE_Filter,0.7636363636363638
All Exemplars,VAE_Filter,0.49625
All Exemplars,VAE_Filter,0.5470967741935484
All Exemplars,VAE_Filter,0.3954887218045112
All Exemplars,VAE_Filter,0.5058064516129033
All Exemplars,VAE_Filter,0.6373134328358209
All Exemplars,VAE_Filter,0.3189189189189188
All Exemplars,VAE_Filter,0.2014388489208633
All Exemplars,VAE_Filter,0.1417910447761193
All Exemplars,VAE_Filter,0.3717948717948718
All Exemplars,VAE_Filter,0.6961538461538461
All Exemplars,VAE_Filter,0.5800000000000001
All Exemplars,VAE_Filter,0.1398496240601503
All Exemplars,VAE_Filter,0.5568345323741007
All Exemplars,VAE_Filter,0.4519685039370077
All Exemplars,VAE_Filter,0.7511811023622049
All Exemplars,VAE_Filter,0.543939393939394
All Exemplars,VAE_Filter,0.6152671755725191
All Exemplars,VAE_Filter,0.7196969696969698
All Exemplars,VAE_Filter,0.3884615384615384
All Exemplars,VAE_Filter,0.4745454545454545
All Exemplars,VAE_Filter,0.4345864661654134
All Exemplars,VAE_Filter,0.5515151515151515
All Exemplars,VAE_Filter,0.0507246376811594
All Exemplars,VAE_Filter,0.7257575757575758
All Exemplars,VAE_Filter,0.1353383458646616
All Exemplars,VAE_Filter,0.44251968503937
All Exemplars,VAE_Filter,0.5326923076923077
All Exemplars,VAE_Filter,0.279136690647482
All Exemplars,VAE_Filter,0.5038461538461539
All Exemplars,VAE_Filter,0.7636363636363638
All Exemplars,VAE_Filter,0.49625
All Exemplars,VAE_Filter,0.5470967741935484
All Exemplars,VAE_Filter,0.3954887218045112
All Exemplars,VAE_Filter,0.5058064516129033
All Exemplars,VAE_Filter,0.6373134328358209
All Exemplars,VAE_Filter,0.3189189189189188
All Exemplars,VAE_Filter,0.2014388489208633
All Exemplars,VAE_Filter,0.1417910447761193
All Exemplars,VAE_Filter,0.3717948717948718
All Exemplars,VAE_Filter,0.6961538461538461
All Exemplars,VAE_Filter,0.5800000000000001
All Exemplars,VAE_Filter,0.1398496240601503
All Exemplars,VAE_Filter,0.5568345323741007
All Exemplars,VAE_Filter,0.4519685039370077
All Exemplars,VAE_Filter,0.7511811023622049
All Exemplars,VAE_Filter,0.543939393939394
All Exemplars,VAE_Filter,0.6152671755725191
All Exemplars,VAE_Filter,0.7196969696969698
All Exemplars,VAE_Filter,0.3884615384615384
All Exemplars,VAE_Filter,0.4745454545454545
All Exemplars,VAE_Filter,0.4345864661654134
All Exemplars,VAE_Filter,0.5515151515151515
All Exemplars,VAE_Filter,0.0507246376811594
All Exemplars,VAE_Filter,0.7257575757575758
All Exemplars,VAE_Filter,0.1353383458646616
All Exemplars,VAE_Filter,0.44251968503937
All Exemplars,VAE_Filter,0.5326923076923077
All Exemplars,VAE_GMM,0.5309352517985612
All Exemplars,VAE_GMM,0.6519230769230769
All Exemplars,VAE_GMM,0.8530303030303031
All Exemplars,VAE_GMM,0.8100000000000002
All Exemplars,VAE_GMM,0.8167741935483871
All Exemplars,VAE_GMM,0.618045112781955
All Exemplars,VAE_GMM,0.8993548387096775
All Exemplars,VAE_GMM,0.8208955223880599
All Exemplars,VAE_GMM,0.5405405405405406
All Exemplars,VAE_GMM,0.543884892086331
All Exemplars,VAE_GMM,0.5522388059701493
All Exemplars,VAE_GMM,0.7653846153846153
All Exemplars,VAE_GMM,0.5442307692307693
All Exemplars,VAE_GMM,0.8550000000000001
