Exemplar_Size,Task 2,Task 3,Method
All Exemplars,0.791304347826087,0.5721518987341773,FeTrIL
All Exemplars,0.8305882352941177,0.45430463576158936,FeTrIL
All Exemplars,0.7803571428571429,0.5333333333333332,FeTrIL
All Exemplars,0.7676470588235295,0.5575418994413408,FeTrIL
All Exemplars,0.6602941176470589,0.5743016759776536,FeTrIL
All Exemplars,0.9376146788990827,0.5539473684210525,FeTrIL
All Exemplars,0.7074074074074074,0.5329608938547485,FeTrIL
All Exemplars,0.8859649122807018,0.6746835443037975,FeTrIL
All Exemplars,0.9310344827586208,0.5421052631578946,FeTrIL
All Exemplars,0.8239130434782609,0.6835443037974683,FeTrIL
All Exemplars,0.8252873563218392,0.6434285714285715,FeTrIL
All Exemplars,0.6146788990825688,0.5474285714285714,FeTrIL
All Exemplars,0.830952380952381,0.48552631578947364,FeTrIL
All Exemplars,0.7267857142857143,0.5094972067039106,FeTrIL
All Exemplars,0.7869565217391306,0.48026315789473684,FeTrIL
All Exemplars,0.7930434782608696,0.5922222222222222,FeTrIL
All Exemplars,0.8162790697674419,0.4902857142857143,FeTrIL
All Exemplars,0.85,0.5497142857142857,FeTrIL
All Exemplars,0.6672566371681417,0.4022346368715084,FeTrIL
All Exemplars,0.8303571428571429,0.5933774834437087,FeTrIL
All Exemplars,0.7333333333333333,0.34342105263157896,FeTrIL
All Exemplars,0.6921739130434782,0.5725714285714285,FeTrIL
All Exemplars,0.767032967032967,0.5152317880794702,FeTrIL
All Exemplars,0.9137614678899082,0.5381578947368422,FeTrIL
All Exemplars,0.727433628318584,0.46145251396648046,FeTrIL
All Exemplars,0.8659340659340661,0.6670886075949368,FeTrIL
All Exemplars,0.8925925925925926,0.6370860927152318,FeTrIL
All Exemplars,0.7413043478260869,0.5578947368421053,FeTrIL
All Exemplars,0.7139534883720929,0.5291428571428571,FeTrIL
All Exemplars,0.3976470588235294,0.4158940397350993,FeTrIL
All Exemplars,0.791304347826087,0.5721518987341773,FeTrIL
All Exemplars,0.8305882352941177,0.45430463576158936,FeTrIL
All Exemplars,0.7803571428571429,0.5333333333333332,FeTrIL
All Exemplars,0.7676470588235295,0.5575418994413408,FeTrIL
All Exemplars,0.6602941176470589,0.5743016759776536,FeTrIL
All Exemplars,0.9376146788990827,0.5539473684210525,FeTrIL
All Exemplars,0.7074074074074074,0.5329608938547485,FeTrIL
All Exemplars,0.8859649122807018,0.6746835443037975,FeTrIL
All Exemplars,0.9310344827586208,0.5421052631578946,FeTrIL
All Exemplars,0.8239130434782609,0.6835443037974683,FeTrIL
All Exemplars,0.8252873563218392,0.6434285714285715,FeTrIL
All Exemplars,0.6146788990825688,0.5474285714285714,FeTrIL
All Exemplars,0.830952380952381,0.48552631578947364,FeTrIL
All Exemplars,0.7267857142857143,0.5094972067039106,FeTrIL
All Exemplars,0.7869565217391306,0.48026315789473684,FeTrIL
All Exemplars,0.7930434782608696,0.5922222222222222,FeTrIL
All Exemplars,0.8162790697674419,0.4902857142857143,FeTrIL
All Exemplars,0.85,0.5497142857142857,FeTrIL
All Exemplars,0.6672566371681417,0.4022346368715084,FeTrIL
All Exemplars,0.8303571428571429,0.5933774834437087,FeTrIL
All Exemplars,0.7333333333333333,0.34342105263157896,FeTrIL
All Exemplars,0.6921739130434782,0.5725714285714285,FeTrIL
All Exemplars,0.767032967032967,0.5152317880794702,FeTrIL
All Exemplars,0.9137614678899082,0.5381578947368422,FeTrIL
All Exemplars,0.727433628318584,0.46145251396648046,FeTrIL
All Exemplars,0.8659340659340661,0.6670886075949368,FeTrIL
All Exemplars,0.8925925925925926,0.6370860927152318,FeTrIL
All Exemplars,0.7413043478260869,0.5578947368421053,FeTrIL
All Exemplars,0.7139534883720929,0.5291428571428571,FeTrIL
All Exemplars,0.3976470588235294,0.4158940397350993,FeTrIL
All Exemplars,0.34782608695652173,0.29999999999999993,DDGR
All Exemplars,0.23058823529411762,0.09403973509933772,DDGR
All Exemplars,0.3160714285714286,0.13444444444444442,DDGR
All Exemplars,0.40441176470588236,0.353072625698324,DDGR
All Exemplars,0.29264705882352937,0.2972067039106145,DDGR
All Exemplars,0.418348623853211,0.36184210526315785,DDGR
All Exemplars,0.48703703703703705,0.44245810055865925,DDGR
All Exemplars,0.41578947368421054,0.28481012658227844,DDGR
All Exemplars,0.35862068965517235,0.35,DDGR
All Exemplars,0.3499999999999999,0.3177215189873418,DDGR
All Exemplars,0.9057471264367816,0.2491428571428571,DDGR
All Exemplars,0.32477064220183494,0.20114285714285712,DDGR
All Exemplars,0.2857142857142857,0.4171052631578947,DDGR
All Exemplars,0.2803571428571428,0.45698324022346365,DDGR
All Exemplars,0.32391304347826083,0.24210526315789468,DDGR
All Exemplars,0.42434782608695654,0.25999999999999995,DDGR
All Exemplars,0.3069767441860465,0.19999999999999996,DDGR
All Exemplars,0.08518518518518514,0.07199999999999998,DDGR
All Exemplars,0.5203539823008849,0.5407821229050279,DDGR
All Exemplars,0.14285714285714282,0.1615894039735099,DDGR
All Exemplars,0.27619047619047615,0.3052631578947368,DDGR
All Exemplars,0.36695652173913046,0.26857142857142857,DDGR
All Exemplars,0.21538461538461534,0.12450331125827811,DDGR
All Exemplars,0.48073394495412847,0.36973684210526314,DDGR
All Exemplars,0.4442477876106194,0.46927374301675967,DDGR
All Exemplars,0.7626373626373626,0.36835443037974686,DDGR
All Exemplars,0.14629629629629629,0.18807947019867546,DDGR
All Exemplars,0.3456521739130435,0.3263157894736842,DDGR
All Exemplars,0.2162790697674418,0.17028571428571423,DDGR
All Exemplars,0.27294117647058824,0.13509933774834434,DDGR
All Exemplars,0.34782608695652173,0.29999999999999993,DDGR
All Exemplars,0.23058823529411762,0.09403973509933772,DDGR
All Exemplars,0.3160714285714286,0.13444444444444442,DDGR
All Exemplars,0.40441176470588236,0.353072625698324,DDGR
All Exemplars,0.29264705882352937,0.2972067039106145,DDGR
All Exemplars,0.418348623853211,0.36184210526315785,DDGR
All Exemplars,0.48703703703703705,0.44245810055865925,DDGR
All Exemplars,0.41578947368421054,0.28481012658227844,DDGR
All Exemplars,0.35862068965517235,0.35,DDGR
All Exemplars,0.3499999999999999,0.3177215189873418,DDGR
All Exemplars,0.9057471264367816,0.2491428571428571,DDGR
All Exemplars,0.32477064220183494,0.20114285714285712,DDGR
All Exemplars,0.2857142857142857,0.4171052631578947,DDGR
All Exemplars,0.2803571428571428,0.45698324022346365,DDGR
All Exemplars,0.32391304347826083,0.24210526315789468,DDGR
All Exemplars,0.42434782608695654,0.25999999999999995,DDGR
All Exemplars,0.3069767441860465,0.19999999999999996,DDGR
All Exemplars,0.08518518518518514,0.07199999999999998,DDGR
All Exemplars,0.5203539823008849,0.5407821229050279,DDGR
All Exemplars,0.14285714285714282,0.1615894039735099,DDGR
All Exemplars,0.27619047619047615,0.3052631578947368,DDGR
All Exemplars,0.36695652173913046,0.26857142857142857,DDGR
All Exemplars,0.21538461538461534,0.12450331125827811,DDGR
All Exemplars,0.48073394495412847,0.36973684210526314,DDGR
All Exemplars,0.4442477876106194,0.46927374301675967,DDGR
All Exemplars,0.7626373626373626,0.36835443037974686,DDGR
All Exemplars,0.14629629629629629,0.18807947019867546,DDGR
All Exemplars,0.3456521739130435,0.3263157894736842,DDGR
All Exemplars,0.2162790697674418,0.17028571428571423,DDGR
All Exemplars,0.27294117647058824,0.13509933774834434,DDGR
All Exemplars,0.4043478260869565,0.1974683544303797,VAE_BBox
All Exemplars,0.7035294117647058,0.4807947019867549,VAE_BBox
All Exemplars,0.8428571428571429,0.54,VAE_BBox
