Exemplar_Size,Task 2,Method
All Exemplars,0.3861538461538461,FeTrIL
All Exemplars,0.6280701754385964,FeTrIL
All Exemplars,0.27560975609756094,FeTrIL
All Exemplars,0.21355932203389832,FeTrIL
All Exemplars,0.20338983050847453,FeTrIL
All Exemplars,0.42637362637362636,FeTrIL
All Exemplars,0.48510638297872344,FeTrIL
All Exemplars,0.5207547169811321,FeTrIL
All Exemplars,0.4695652173913044,FeTrIL
All Exemplars,0.4,FeTrIL
All Exemplars,0.3681159420289854,FeTrIL
All Exemplars,0.5340659340659342,FeTrIL
All Exemplars,0.4581196581196581,FeTrIL
All Exemplars,0.27560975609756094,FeTrIL
All Exemplars,0.35846153846153844,FeTrIL
All Exemplars,0.4640776699029126,FeTrIL
All Exemplars,0.3820895522388059,FeTrIL
All Exemplars,0.34942528735632183,FeTrIL
All Exemplars,0.6511627906976745,FeTrIL
All Exemplars,0.2804878048780487,FeTrIL
All Exemplars,0.3965811965811965,FeTrIL
All Exemplars,0.5941747572815534,FeTrIL
All Exemplars,0.46984126984126984,FeTrIL
All Exemplars,0.4813186813186813,FeTrIL
All Exemplars,0.24186046511627907,FeTrIL
All Exemplars,0.4015037593984962,FeTrIL
All Exemplars,0.36781609195402293,FeTrIL
All Exemplars,0.4323076923076923,FeTrIL
All Exemplars,0.6328358208955225,FeTrIL
All Exemplars,0.5719298245614035,FeTrIL
All Exemplars,0.3861538461538461,FeTrIL
All Exemplars,0.6280701754385964,FeTrIL
All Exemplars,0.27560975609756094,FeTrIL
All Exemplars,0.21355932203389832,FeTrIL
All Exemplars,0.20338983050847453,FeTrIL
All Exemplars,0.42637362637362636,FeTrIL
All Exemplars,0.48510638297872344,FeTrIL
All Exemplars,0.5207547169811321,FeTrIL
All Exemplars,0.4695652173913044,FeTrIL
All Exemplars,0.4,FeTrIL
All Exemplars,0.3681159420289854,FeTrIL
All Exemplars,0.5340659340659342,FeTrIL
All Exemplars,0.4581196581196581,FeTrIL
All Exemplars,0.27560975609756094,FeTrIL
All Exemplars,0.35846153846153844,FeTrIL
All Exemplars,0.4640776699029126,FeTrIL
All Exemplars,0.3820895522388059,FeTrIL
All Exemplars,0.34942528735632183,FeTrIL
All Exemplars,0.6511627906976745,FeTrIL
All Exemplars,0.2804878048780487,FeTrIL
All Exemplars,0.3965811965811965,FeTrIL
All Exemplars,0.5941747572815534,FeTrIL
All Exemplars,0.46984126984126984,FeTrIL
All Exemplars,0.4813186813186813,FeTrIL
All Exemplars,0.24186046511627907,FeTrIL
All Exemplars,0.4015037593984962,FeTrIL
All Exemplars,0.36781609195402293,FeTrIL
All Exemplars,0.4323076923076923,FeTrIL
All Exemplars,0.6328358208955225,FeTrIL
All Exemplars,0.5719298245614035,FeTrIL
All Exemplars,0.853846153846154,DDGR
All Exemplars,0.9403508771929827,DDGR
All Exemplars,0.8853658536585366,DDGR
All Exemplars,0.9355932203389832,DDGR
All Exemplars,0.9220338983050848,DDGR
All Exemplars,0.9736263736263737,DDGR
All Exemplars,0.9893617021276595,DDGR
All Exemplars,0.9905660377358492,DDGR
All Exemplars,0.9072463768115941,DDGR
All Exemplars,0.8676923076923078,DDGR
All Exemplars,0.9173913043478261,DDGR
All Exemplars,0.9758241758241757,DDGR
All Exemplars,0.9914529914529917,DDGR
All Exemplars,0.9292682926829269,DDGR
All Exemplars,0.9630769230769232,DDGR
All Exemplars,0.9611650485436896,DDGR
All Exemplars,0.9970149253731343,DDGR
All Exemplars,0.9517241379310345,DDGR
All Exemplars,0.9883720930232558,DDGR
All Exemplars,0.9317073170731709,DDGR
All Exemplars,0.9914529914529917,DDGR
All Exemplars,0.9766990291262138,DDGR
All Exemplars,0.9492063492063492,DDGR
All Exemplars,0.9626373626373625,DDGR
All Exemplars,0.9883720930232558,DDGR
All Exemplars,0.8842105263157896,DDGR
All Exemplars,0.9471264367816093,DDGR
All Exemplars,0.9307692307692308,DDGR
All Exemplars,1.0,DDGR
All Exemplars,0.9631578947368421,DDGR
All Exemplars,0.853846153846154,DDGR
All Exemplars,0.9403508771929827,DDGR
All Exemplars,0.8853658536585366,DDGR
All Exemplars,0.9355932203389832,DDGR
All Exemplars,0.9220338983050848,DDGR
All Exemplars,0.9736263736263737,DDGR
All Exemplars,0.9893617021276595,DDGR
All Exemplars,0.9905660377358492,DDGR
All Exemplars,0.9072463768115941,DDGR
All Exemplars,0.8676923076923078,DDGR
All Exemplars,0.9173913043478261,DDGR
All Exemplars,0.9758241758241757,DDGR
All Exemplars,0.9914529914529917,DDGR
All Exemplars,0.9292682926829269,DDGR
All Exemplars,0.9630769230769232,DDGR
All Exemplars,0.9611650485436896,DDGR
All Exemplars,0.9970149253731343,DDGR
All Exemplars,0.9517241379310345,DDGR
All Exemplars,0.9883720930232558,DDGR
All Exemplars,0.9317073170731709,DDGR
All Exemplars,0.9914529914529917,DDGR
All Exemplars,0.9766990291262138,DDGR
All Exemplars,0.9492063492063492,DDGR
All Exemplars,0.9626373626373625,DDGR
All Exemplars,0.9883720930232558,DDGR
All Exemplars,0.8842105263157896,DDGR
All Exemplars,0.9471264367816093,DDGR
All Exemplars,0.9307692307692308,DDGR
All Exemplars,1.0,DDGR
All Exemplars,0.9631578947368421,DDGR
All Exemplars,0.9969230769230769,VAE_BBox
All Exemplars,0.9982456140350877,VAE_BBox
All Exemplars,0.9829268292682926,VAE_BBox
All Exemplars,0.945762711864407,VAE_BBox
All Exemplars,0.9322033898305084,VAE_BBox
All Exemplars,0.9912087912087912,VAE_BBox
All Exemplars,0.9851063829787234,VAE_BBox
All Exemplars,0.9886792452830191,VAE_BBox
All Exemplars,0.9869565217391305,VAE_BBox
All Exemplars,0.9876923076923078,VAE_BBox
All Exemplars,0.9840579710144928,VAE_BBox
All Exemplars,0.9956043956043956,VAE_BBox
All Exemplars,0.9914529914529917,VAE_BBox
All Exemplars,0.9878048780487804,VAE_BBox
All Exemplars,0.9876923076923078,VAE_BBox
All Exemplars,0.9883495145631069,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,0.9816091954022989,VAE_BBox
All Exemplars,0.9813953488372092,VAE_BBox
All Exemplars,0.9829268292682926,VAE_BBox
All Exemplars,0.9914529914529917,VAE_BBox
All Exemplars,0.9922330097087378,VAE_BBox
All Exemplars,0.96984126984127,VAE_BBox
All Exemplars,0.9824175824175825,VAE_BBox
All Exemplars,0.9790697674418605,VAE_BBox
All Exemplars,0.9849624060150376,VAE_BBox
All Exemplars,0.9862068965517242,VAE_BBox
All Exemplars,0.9892307692307692,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,0.9969230769230769,VAE_BBox
All Exemplars,0.9982456140350877,VAE_BBox
All Exemplars,0.9829268292682926,VAE_BBox
All Exemplars,0.945762711864407,VAE_BBox
All Exemplars,0.9322033898305084,VAE_BBox
All Exemplars,0.9912087912087912,VAE_BBox
All Exemplars,0.9851063829787234,VAE_BBox
All Exemplars,0.9886792452830191,VAE_BBox
All Exemplars,0.9869565217391305,VAE_BBox
All Exemplars,0.9876923076923078,VAE_BBox
All Exemplars,0.9840579710144928,VAE_BBox
All Exemplars,0.9956043956043956,VAE_BBox
All Exemplars,0.9914529914529917,VAE_BBox
All Exemplars,0.9878048780487804,VAE_BBox
All Exemplars,0.9876923076923078,VAE_BBox
All Exemplars,0.9883495145631069,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,0.9816091954022989,VAE_BBox
All Exemplars,0.9813953488372092,VAE_BBox
All Exemplars,0.9829268292682926,VAE_BBox
All Exemplars,0.9914529914529917,VAE_BBox
All Exemplars,0.9922330097087378,VAE_BBox
All Exemplars,0.96984126984127,VAE_BBox
All Exemplars,0.9824175824175825,VAE_BBox
All Exemplars,0.9790697674418605,VAE_BBox
All Exemplars,0.9849624060150376,VAE_BBox
All Exemplars,0.9862068965517242,VAE_BBox
All Exemplars,0.9892307692307692,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,1.0,VAE_BBox
All Exemplars,0.9676923076923076,VAE_Filter
All Exemplars,0.9964912280701755,VAE_Filter
All Exemplars,0.9853658536585366,VAE_Filter
All Exemplars,0.9288135593220339,VAE_Filter
All Exemplars,0.9423728813559322,VAE_Filter
All Exemplars,0.9868131868131869,VAE_Filter
All Exemplars,0.9893617021276595,VAE_Filter
All Exemplars,0.9886792452830189,VAE_Filter
All Exemplars,0.9884057971014493,VAE_Filter
All Exemplars,0.9815384615384616,VAE_Filter
All Exemplars,0.9840579710144928,VAE_Filter
All Exemplars,0.9802197802197803,VAE_Filter
All Exemplars,0.9914529914529917,VAE_Filter
All Exemplars,0.9731707317073172,VAE_Filter
All Exemplars,0.9846153846153847,VAE_Filter
All Exemplars,0.996116504854369,VAE_Filter
All Exemplars,1.0,VAE_Filter
All Exemplars,0.9816091954022989,VAE_Filter
All Exemplars,0.9767441860465116,VAE_Filter
All Exemplars,0.9756097560975612,VAE_Filter
All Exemplars,0.9897435897435898,VAE_Filter
All Exemplars,0.9864077669902913,VAE_Filter
All Exemplars,0.9682539682539681,VAE_Filter
All Exemplars,0.9758241758241757,VAE_Filter
All Exemplars,0.9790697674418605,VAE_Filter
All Exemplars,0.9849624060150376,VAE_Filter
All Exemplars,0.9632183908045977,VAE_Filter
All Exemplars,0.9830769230769232,VAE_Filter
All Exemplars,0.9985074626865671,VAE_Filter
All Exemplars,0.9947368421052631,VAE_Filter
All Exemplars,0.9676923076923076,VAE_Filter
All Exemplars,0.9964912280701755,VAE_Filter
All Exemplars,0.9853658536585366,VAE_Filter
All Exemplars,0.9288135593220339,VAE_Filter
All Exemplars,0.9423728813559322,VAE_Filter
All Exemplars,0.9868131868131869,VAE_Filter
All Exemplars,0.9893617021276595,VAE_Filter
All Exemplars,0.9886792452830189,VAE_Filter
All Exemplars,0.9884057971014493,VAE_Filter
All Exemplars,0.9815384615384616,VAE_Filter
All Exemplars,0.9840579710144928,VAE_Filter
All Exemplars,0.9802197802197803,VAE_Filter
All Exemplars,0.9914529914529917,VAE_Filter
All Exemplars,0.9731707317073172,VAE_Filter
All Exemplars,0.9846153846153847,VAE_Filter
All Exemplars,0.996116504854369,VAE_Filter
All Exemplars,1.0,VAE_Filter
All Exemplars,0.9816091954022989,VAE_Filter
All Exemplars,0.9767441860465116,VAE_Filter
All Exemplars,0.9756097560975612,VAE_Filter
All Exemplars,0.9897435897435898,VAE_Filter
All Exemplars,0.9864077669902913,VAE_Filter
All Exemplars,0.9682539682539681,VAE_Filter
All Exemplars,0.9758241758241757,VAE_Filter
All Exemplars,0.9790697674418605,VAE_Filter
All Exemplars,0.9849624060150376,VAE_Filter
All Exemplars,0.9632183908045977,VAE_Filter
All Exemplars,0.9830769230769232,VAE_Filter
All Exemplars,0.9985074626865671,VAE_Filter
All Exemplars,0.9947368421052631,VAE_Filter
