Exemplar_Size,Task 2,Method
All Exemplars,0.7044444444444444,FeTrIL
All Exemplars,0.6264150943396226,FeTrIL
All Exemplars,0.8246376811594203,FeTrIL
All Exemplars,0.768944099378882,FeTrIL
All Exemplars,0.7639751552795031,FeTrIL
All Exemplars,0.8294573643410852,FeTrIL
All Exemplars,0.7857142857142858,FeTrIL
All Exemplars,0.6280701754385964,FeTrIL
All Exemplars,0.6682926829268293,FeTrIL
All Exemplars,0.7488888888888889,FeTrIL
All Exemplars,0.6536585365853659,FeTrIL
All Exemplars,0.6341085271317829,FeTrIL
All Exemplars,0.5902912621359222,FeTrIL
All Exemplars,0.8202898550724639,FeTrIL
All Exemplars,0.7044444444444444,FeTrIL
All Exemplars,0.6427350427350428,FeTrIL
All Exemplars,0.713953488372093,FeTrIL
All Exemplars,0.8466165413533835,FeTrIL
All Exemplars,0.31492537313432833,FeTrIL
All Exemplars,0.8333333333333334,FeTrIL
All Exemplars,0.5941747572815533,FeTrIL
All Exemplars,0.6615384615384616,FeTrIL
All Exemplars,0.5787234042553191,FeTrIL
All Exemplars,0.7596899224806201,FeTrIL
All Exemplars,0.6880597014925374,FeTrIL
All Exemplars,0.6091954022988506,FeTrIL
All Exemplars,0.8721804511278195,FeTrIL
All Exemplars,0.6266666666666667,FeTrIL
All Exemplars,0.5813953488372092,FeTrIL
All Exemplars,0.618867924528302,FeTrIL
All Exemplars,0.7044444444444444,FeTrIL
All Exemplars,0.6264150943396226,FeTrIL
All Exemplars,0.8246376811594203,FeTrIL
All Exemplars,0.768944099378882,FeTrIL
All Exemplars,0.7639751552795031,FeTrIL
All Exemplars,0.8294573643410852,FeTrIL
All Exemplars,0.7857142857142858,FeTrIL
All Exemplars,0.6280701754385964,FeTrIL
All Exemplars,0.6682926829268293,FeTrIL
All Exemplars,0.7488888888888889,FeTrIL
All Exemplars,0.6536585365853659,FeTrIL
All Exemplars,0.6341085271317829,FeTrIL
All Exemplars,0.5902912621359222,FeTrIL
All Exemplars,0.8202898550724639,FeTrIL
All Exemplars,0.7044444444444444,FeTrIL
All Exemplars,0.6427350427350428,FeTrIL
All Exemplars,0.713953488372093,FeTrIL
All Exemplars,0.8466165413533835,FeTrIL
All Exemplars,0.31492537313432833,FeTrIL
All Exemplars,0.8333333333333334,FeTrIL
All Exemplars,0.5941747572815533,FeTrIL
All Exemplars,0.6615384615384616,FeTrIL
All Exemplars,0.5787234042553191,FeTrIL
All Exemplars,0.7596899224806201,FeTrIL
All Exemplars,0.6880597014925374,FeTrIL
All Exemplars,0.6091954022988506,FeTrIL
All Exemplars,0.8721804511278195,FeTrIL
All Exemplars,0.6266666666666667,FeTrIL
All Exemplars,0.5813953488372092,FeTrIL
All Exemplars,0.618867924528302,FeTrIL
All Exemplars,0.29555555555555557,DDGR
All Exemplars,0.17924528301886788,DDGR
All Exemplars,0.21594202898550718,DDGR
All Exemplars,0.25590062111801243,DDGR
All Exemplars,0.25590062111801243,DDGR
All Exemplars,0.4015503875968992,DDGR
All Exemplars,0.37777777777777766,DDGR
All Exemplars,0.4491228070175438,DDGR
All Exemplars,0.646341463414634,DDGR
All Exemplars,0.4866666666666667,DDGR
All Exemplars,0.5658536585365853,DDGR
All Exemplars,0.4015503875968992,DDGR
All Exemplars,0.25631067961165044,DDGR
All Exemplars,0.20724637681159414,DDGR
All Exemplars,0.3666666666666666,DDGR
All Exemplars,0.3863247863247863,DDGR
All Exemplars,0.2604651162790697,DDGR
All Exemplars,0.11428571428571424,DDGR
All Exemplars,0.33582089552238803,DDGR
All Exemplars,0.16376811594202895,DDGR
All Exemplars,0.22135922330097085,DDGR
All Exemplars,0.44102564102564107,DDGR
All Exemplars,0.26382978723404255,DDGR
All Exemplars,0.3922480620155039,DDGR
All Exemplars,0.3522388059701492,DDGR
All Exemplars,0.4804597701149425,DDGR
All Exemplars,0.10375939849624054,DDGR
All Exemplars,0.4955555555555556,DDGR
All Exemplars,0.2883720930232558,DDGR
All Exemplars,0.13396226415094337,DDGR
All Exemplars,0.29555555555555557,DDGR
All Exemplars,0.17924528301886788,DDGR
All Exemplars,0.21594202898550718,DDGR
All Exemplars,0.25590062111801243,DDGR
All Exemplars,0.25590062111801243,DDGR
All Exemplars,0.4015503875968992,DDGR
All Exemplars,0.37777777777777766,DDGR
All Exemplars,0.4491228070175438,DDGR
All Exemplars,0.646341463414634,DDGR
All Exemplars,0.4866666666666667,DDGR
All Exemplars,0.5658536585365853,DDGR
All Exemplars,0.4015503875968992,DDGR
All Exemplars,0.25631067961165044,DDGR
All Exemplars,0.20724637681159414,DDGR
All Exemplars,0.3666666666666666,DDGR
All Exemplars,0.3863247863247863,DDGR
All Exemplars,0.2604651162790697,DDGR
All Exemplars,0.11428571428571424,DDGR
All Exemplars,0.33582089552238803,DDGR
All Exemplars,0.16376811594202895,DDGR
All Exemplars,0.22135922330097085,DDGR
All Exemplars,0.44102564102564107,DDGR
All Exemplars,0.26382978723404255,DDGR
All Exemplars,0.3922480620155039,DDGR
All Exemplars,0.3522388059701492,DDGR
All Exemplars,0.4804597701149425,DDGR
All Exemplars,0.10375939849624054,DDGR
All Exemplars,0.4955555555555556,DDGR
All Exemplars,0.2883720930232558,DDGR
All Exemplars,0.13396226415094337,DDGR
All Exemplars,0.40444444444444444,VAE_BBox
All Exemplars,0.4113207547169811,VAE_BBox
All Exemplars,0.8782608695652174,VAE_BBox
All Exemplars,0.6857142857142857,VAE_BBox
All Exemplars,0.8782608695652174,VAE_BBox
All Exemplars,0.434108527131783,VAE_BBox
All Exemplars,0.8015873015873016,VAE_BBox
All Exemplars,0.8210526315789475,VAE_BBox
All Exemplars,0.5365853658536586,VAE_BBox
All Exemplars,0.49777777777777776,VAE_BBox
All Exemplars,0.5121951219512194,VAE_BBox
All Exemplars,0.4744186046511628,VAE_BBox
All Exemplars,0.45436893203883494,VAE_BBox
All Exemplars,0.8927536231884059,VAE_BBox
All Exemplars,0.45555555555555555,VAE_BBox
All Exemplars,0.5145299145299146,VAE_BBox
All Exemplars,0.6372093023255815,VAE_BBox
All Exemplars,0.8345864661654137,VAE_BBox
All Exemplars,0.6343283582089553,VAE_BBox
All Exemplars,0.855072463768116,VAE_BBox
All Exemplars,0.47378640776699027,VAE_BBox
All Exemplars,0.6,VAE_BBox
All Exemplars,0.648936170212766,VAE_BBox
All Exemplars,0.44651162790697674,VAE_BBox
All Exemplars,0.6164179104477612,VAE_BBox
All Exemplars,0.554022988505747,VAE_BBox
All Exemplars,0.8526315789473685,VAE_BBox
All Exemplars,0.42666666666666675,VAE_BBox
All Exemplars,0.6139534883720931,VAE_BBox
All Exemplars,0.4962264150943397,VAE_BBox
All Exemplars,0.40444444444444444,VAE_BBox
All Exemplars,0.4113207547169811,VAE_BBox
All Exemplars,0.8782608695652174,VAE_BBox
All Exemplars,0.6857142857142857,VAE_BBox
All Exemplars,0.8782608695652174,VAE_BBox
All Exemplars,0.434108527131783,VAE_BBox
All Exemplars,0.8015873015873016,VAE_BBox
All Exemplars,0.8210526315789475,VAE_BBox
All Exemplars,0.5365853658536586,VAE_BBox
All Exemplars,0.49777777777777776,VAE_BBox
All Exemplars,0.5121951219512194,VAE_BBox
All Exemplars,0.4744186046511628,VAE_BBox
All Exemplars,0.45436893203883494,VAE_BBox
All Exemplars,0.8927536231884059,VAE_BBox
All Exemplars,0.45555555555555555,VAE_BBox
All Exemplars,0.5145299145299146,VAE_BBox
All Exemplars,0.6372093023255815,VAE_BBox
All Exemplars,0.8345864661654137,VAE_BBox
All Exemplars,0.6343283582089553,VAE_BBox
All Exemplars,0.855072463768116,VAE_BBox
All Exemplars,0.47378640776699027,VAE_BBox
All Exemplars,0.6,VAE_BBox
All Exemplars,0.648936170212766,VAE_BBox
All Exemplars,0.44651162790697674,VAE_BBox
All Exemplars,0.6164179104477612,VAE_BBox
All Exemplars,0.554022988505747,VAE_BBox
All Exemplars,0.8526315789473685,VAE_BBox
All Exemplars,0.42666666666666675,VAE_BBox
All Exemplars,0.6139534883720931,VAE_BBox
All Exemplars,0.4962264150943397,VAE_BBox
All Exemplars,0.37777777777777777,VAE_Filter
All Exemplars,0.46037735849056605,VAE_Filter
All Exemplars,0.946376811594203,VAE_Filter
All Exemplars,0.6757763975155279,VAE_Filter
All Exemplars,0.8621118012422361,VAE_Filter
All Exemplars,0.5271317829457365,VAE_Filter
All Exemplars,0.6825396825396826,VAE_Filter
All Exemplars,0.6526315789473685,VAE_Filter
All Exemplars,0.4341463414634146,VAE_Filter
All Exemplars,0.3977777777777778,VAE_Filter
