Exemplar_Size,Method,Task 2
All Exemplars,FeTrIL,0.7971631205673759
All Exemplars,FeTrIL,0.8442622950819672
All Exemplars,FeTrIL,0.8114649681528663
All Exemplars,FeTrIL,0.7891891891891893
All Exemplars,FeTrIL,0.8564971751412431
All Exemplars,FeTrIL,0.8679738562091505
All Exemplars,FeTrIL,0.8271186440677966
All Exemplars,FeTrIL,0.8345864661654134
All Exemplars,FeTrIL,0.739622641509434
All Exemplars,FeTrIL,0.8056737588652482
All Exemplars,FeTrIL,0.8631578947368421
All Exemplars,FeTrIL,0.9244444444444444
All Exemplars,FeTrIL,0.7508196721311475
All Exemplars,FeTrIL,0.7783783783783784
All Exemplars,FeTrIL,0.9032679738562092
All Exemplars,FeTrIL,0.8397163120567376
All Exemplars,FeTrIL,0.8818791946308725
All Exemplars,FeTrIL,0.8093959731543624
All Exemplars,FeTrIL,0.6546666666666667
All Exemplars,FeTrIL,0.8233766233766234
All Exemplars,FeTrIL,0.632
All Exemplars,FeTrIL,0.9233333333333336
All Exemplars,FeTrIL,0.8363636363636363
All Exemplars,FeTrIL,0.8156862745098039
All Exemplars,FeTrIL,0.7453333333333333
All Exemplars,FeTrIL,0.4985507246376811
All Exemplars,FeTrIL,0.867515923566879
All Exemplars,FeTrIL,0.9163398692810458
All Exemplars,FeTrIL,0.8469798657718121
All Exemplars,FeTrIL,0.7163934426229509
All Exemplars,FeTrIL,0.7971631205673759
All Exemplars,FeTrIL,0.8442622950819672
All Exemplars,FeTrIL,0.8114649681528663
All Exemplars,FeTrIL,0.7891891891891893
All Exemplars,FeTrIL,0.8564971751412431
All Exemplars,FeTrIL,0.8679738562091505
All Exemplars,FeTrIL,0.8271186440677966
All Exemplars,FeTrIL,0.8345864661654134
All Exemplars,FeTrIL,0.739622641509434
All Exemplars,FeTrIL,0.8056737588652482
All Exemplars,FeTrIL,0.8631578947368421
All Exemplars,FeTrIL,0.9244444444444444
All Exemplars,FeTrIL,0.7508196721311475
All Exemplars,FeTrIL,0.7783783783783784
All Exemplars,FeTrIL,0.9032679738562092
All Exemplars,FeTrIL,0.8397163120567376
All Exemplars,FeTrIL,0.8818791946308725
All Exemplars,FeTrIL,0.8093959731543624
All Exemplars,FeTrIL,0.6546666666666667
All Exemplars,FeTrIL,0.8233766233766234
All Exemplars,FeTrIL,0.632
All Exemplars,FeTrIL,0.9233333333333336
All Exemplars,FeTrIL,0.8363636363636363
All Exemplars,FeTrIL,0.8156862745098039
All Exemplars,FeTrIL,0.7453333333333333
All Exemplars,FeTrIL,0.4985507246376811
All Exemplars,FeTrIL,0.867515923566879
All Exemplars,FeTrIL,0.9163398692810458
All Exemplars,FeTrIL,0.8469798657718121
All Exemplars,FeTrIL,0.7163934426229509
All Exemplars,DDGR,0.4056737588652482
All Exemplars,DDGR,0.2065573770491803
All Exemplars,DDGR,0.1885350318471337
All Exemplars,DDGR,0.2843243243243243
All Exemplars,DDGR,0.3389830508474576
All Exemplars,DDGR,0.3673202614379084
All Exemplars,DDGR,0.3050847457627118
All Exemplars,DDGR,0.487218045112782
All Exemplars,DDGR,0.6943396226415094
All Exemplars,DDGR,0.426950354609929
All Exemplars,DDGR,0.5052631578947369
All Exemplars,DDGR,0.3266666666666666
All Exemplars,DDGR,0.2163934426229507
All Exemplars,DDGR,0.2972972972972972
All Exemplars,DDGR,0.4143790849673203
All Exemplars,DDGR,0.4312056737588651
All Exemplars,DDGR,0.1436241610738254
All Exemplars,DDGR,0.1449664429530201
All Exemplars,DDGR,0.3533333333333333
All Exemplars,DDGR,0.2142857142857142
All Exemplars,DDGR,0.4213333333333333
All Exemplars,DDGR,0.3033333333333333
All Exemplars,DDGR,0.1872727272727272
All Exemplars,DDGR,0.3934640522875816
All Exemplars,DDGR,0.3666666666666666
All Exemplars,DDGR,0.4
All Exemplars,DDGR,0.2050955414012738
All Exemplars,DDGR,0.3908496732026142
All Exemplars,DDGR,0.1516778523489932
All Exemplars,DDGR,0.2245901639344261
All Exemplars,DDGR,0.4056737588652482
All Exemplars,DDGR,0.2065573770491803
All Exemplars,DDGR,0.1885350318471337
All Exemplars,DDGR,0.2843243243243243
All Exemplars,DDGR,0.3389830508474576
All Exemplars,DDGR,0.3673202614379084
All Exemplars,DDGR,0.3050847457627118
All Exemplars,DDGR,0.487218045112782
All Exemplars,DDGR,0.6943396226415094
All Exemplars,DDGR,0.426950354609929
All Exemplars,DDGR,0.5052631578947369
All Exemplars,DDGR,0.3266666666666666
All Exemplars,DDGR,0.2163934426229507
All Exemplars,DDGR,0.2972972972972972
All Exemplars,DDGR,0.4143790849673203
All Exemplars,DDGR,0.4312056737588651
All Exemplars,DDGR,0.1436241610738254
All Exemplars,DDGR,0.1449664429530201
All Exemplars,DDGR,0.3533333333333333
All Exemplars,DDGR,0.2142857142857142
All Exemplars,DDGR,0.4213333333333333
All Exemplars,DDGR,0.3033333333333333
All Exemplars,DDGR,0.1872727272727272
All Exemplars,DDGR,0.3934640522875816
All Exemplars,DDGR,0.3666666666666666
All Exemplars,DDGR,0.4
All Exemplars,DDGR,0.2050955414012738
All Exemplars,DDGR,0.3908496732026142
All Exemplars,DDGR,0.1516778523489932
All Exemplars,DDGR,0.2245901639344261
All Exemplars,VAE_BBox,0.6326241134751773
All Exemplars,VAE_BBox,0.360655737704918
All Exemplars,VAE_BBox,0.7694267515923566
All Exemplars,VAE_BBox,0.8648648648648649
All Exemplars,VAE_BBox,0.8067796610169491
All Exemplars,VAE_BBox,0.5071895424836601
All Exemplars,VAE_BBox,0.8372881355932205
All Exemplars,VAE_BBox,0.5218045112781955
All Exemplars,VAE_BBox,0.3981132075471698
All Exemplars,VAE_BBox,0.5900709219858156
All Exemplars,VAE_BBox,0.7112781954887218
All Exemplars,VAE_BBox,0.8099999999999999
All Exemplars,VAE_BBox,0.4344262295081967
All Exemplars,VAE_BBox,0.8551351351351352
All Exemplars,VAE_BBox,0.5333333333333333
All Exemplars,VAE_BBox,0.5531914893617021
All Exemplars,VAE_BBox,0.7825503355704697
All Exemplars,VAE_BBox,0.7758389261744967
All Exemplars,VAE_BBox,0.6266666666666667
All Exemplars,VAE_BBox,0.8246753246753246
All Exemplars,VAE_BBox,0.6213333333333334
All Exemplars,VAE_BBox,0.7833333333333334
All Exemplars,VAE_BBox,0.4909090909090909
All Exemplars,VAE_BBox,0.4980392156862744
All Exemplars,VAE_BBox,0.5653333333333335
All Exemplars,VAE_BBox,0.618840579710145
All Exemplars,VAE_BBox,0.7859872611464969
All Exemplars,VAE_BBox,0.4431372549019608
All Exemplars,VAE_BBox,0.7543624161073826
All Exemplars,VAE_BBox,0.3770491803278689
All Exemplars,VAE_BBox,0.6326241134751773
All Exemplars,VAE_BBox,0.360655737704918
All Exemplars,VAE_BBox,0.7694267515923566
All Exemplars,VAE_BBox,0.8648648648648649
All Exemplars,VAE_BBox,0.8067796610169491
All Exemplars,VAE_BBox,0.5071895424836601
All Exemplars,VAE_BBox,0.8372881355932205
All Exemplars,VAE_BBox,0.5218045112781955
All Exemplars,VAE_BBox,0.3981132075471698
All Exemplars,VAE_BBox,0.5900709219858156
All Exemplars,VAE_BBox,0.7112781954887218
All Exemplars,VAE_BBox,0.8099999999999999
All Exemplars,VAE_BBox,0.4344262295081967
All Exemplars,VAE_BBox,0.8551351351351352
All Exemplars,VAE_BBox,0.5333333333333333
All Exemplars,VAE_BBox,0.5531914893617021
All Exemplars,VAE_BBox,0.7825503355704697
All Exemplars,VAE_BBox,0.7758389261744967
All Exemplars,VAE_BBox,0.6266666666666667
All Exemplars,VAE_BBox,0.8246753246753246
All Exemplars,VAE_BBox,0.6213333333333334
All Exemplars,VAE_BBox,0.7833333333333334
All Exemplars,VAE_BBox,0.4909090909090909
All Exemplars,VAE_BBox,0.4980392156862744
All Exemplars,VAE_BBox,0.5653333333333335
All Exemplars,VAE_BBox,0.618840579710145
All Exemplars,VAE_BBox,0.7859872611464969
All Exemplars,VAE_BBox,0.4431372549019608
All Exemplars,VAE_BBox,0.7543624161073826
All Exemplars,VAE_BBox,0.3770491803278689
All Exemplars,VAE_Filter,0.5943262411347517
All Exemplars,VAE_Filter,0.4016393442622951
All Exemplars,VAE_Filter,0.732484076433121
All Exemplars,VAE_Filter,0.8010810810810811
All Exemplars,VAE_Filter,0.864406779661017
All Exemplars,VAE_Filter,0.5450980392156863
All Exemplars,VAE_Filter,0.8418079096045197
All Exemplars,VAE_Filter,0.724812030075188
All Exemplars,VAE_Filter,0.4528301886792453
All Exemplars,VAE_Filter,0.676595744680851
All Exemplars,VAE_Filter,0.4781954887218044
All Exemplars,VAE_Filter,0.7722222222222223
All Exemplars,VAE_Filter,0.4049180327868852
All Exemplars,VAE_Filter,0.8648648648648649
All Exemplars,VAE_Filter,0.5830065359477125
All Exemplars,VAE_Filter,0.5617021276595745
All Exemplars,VAE_Filter,0.7651006711409396
All Exemplars,VAE_Filter,0.7489932885906041
All Exemplars,VAE_Filter,0.5693333333333334
All Exemplars,VAE_Filter,0.7805194805194805
All Exemplars,VAE_Filter,0.4986666666666666
All Exemplars,VAE_Filter,0.7077777777777778
All Exemplars,VAE_Filter,0.4854545454545454
All Exemplars,VAE_Filter,0.4666666666666666
All Exemplars,VAE_Filter,0.6146666666666667
All Exemplars,VAE_Filter,0.572463768115942
All Exemplars,VAE_Filter,0.7528662420382166
All Exemplars,VAE_Filter,0.4026143790849673
All Exemplars,VAE_Filter,0.7704697986577183
All Exemplars,VAE_Filter,0.3426229508196721
All Exemplars,VAE_Filter,0.5943262411347517
All Exemplars,VAE_Filter,0.4016393442622951
All Exemplars,VAE_Filter,0.732484076433121
All Exemplars,VAE_Filter,0.8010810810810811
All Exemplars,VAE_Filter,0.864406779661017
All Exemplars,VAE_Filter,0.5450980392156863
