Exemplar_Size,Method,Task 4
All Exemplars,FeTrIL,0.2059405940594059
All Exemplars,FeTrIL,0.181456953642384
All Exemplars,FeTrIL,0.179381443298969
All Exemplars,FeTrIL,0.172013651877133
All Exemplars,FeTrIL,0.1713395638629282
All Exemplars,FeTrIL,0.3531468531468531
All Exemplars,FeTrIL,0.2449999999999999
All Exemplars,FeTrIL,0.2407766990291261
All Exemplars,FeTrIL,0.2137704918032786
All Exemplars,FeTrIL,0.1701694915254237
All Exemplars,FeTrIL,0.1933993399339934
All Exemplars,FeTrIL,0.1856164383561644
All Exemplars,FeTrIL,0.1792642140468227
All Exemplars,FeTrIL,0.3184210526315789
All Exemplars,FeTrIL,0.3117845117845118
All Exemplars,FeTrIL,0.3271523178807947
All Exemplars,FeTrIL,0.2788927335640138
All Exemplars,FeTrIL,0.1826086956521739
All Exemplars,FeTrIL,0.1952218430034129
All Exemplars,FeTrIL,0.1687707641196013
All Exemplars,FeTrIL,0.1842622950819671
All Exemplars,FeTrIL,0.1457044673539518
All Exemplars,FeTrIL,0.2159235668789809
All Exemplars,FeTrIL,0.2608391608391608
All Exemplars,FeTrIL,0.1808219178082191
All Exemplars,FeTrIL,0.2207119741100323
All Exemplars,FeTrIL,0.1959322033898304
All Exemplars,FeTrIL,0.1863481228668941
All Exemplars,FeTrIL,0.2078947368421052
All Exemplars,FeTrIL,0.3388316151202749
All Exemplars,DDGR,0.33003300330033
All Exemplars,DDGR,0.3311258278145695
All Exemplars,DDGR,0.415807560137457
All Exemplars,DDGR,0.3392491467576791
All Exemplars,DDGR,0.4
All Exemplars,DDGR,0.3370629370629371
All Exemplars,DDGR,0.3221428571428572
All Exemplars,DDGR,0.3514563106796116
All Exemplars,DDGR,0.3016393442622951
All Exemplars,DDGR,0.4298305084745763
All Exemplars,DDGR,0.3254125412541253
All Exemplars,DDGR,0.3897260273972602
All Exemplars,DDGR,0.3979933110367892
All Exemplars,DDGR,0.3710526315789473
All Exemplars,DDGR,0.2511784511784512
All Exemplars,DDGR,0.3178807947019867
All Exemplars,DDGR,0.3868512110726643
All Exemplars,DDGR,0.3725752508361203
All Exemplars,DDGR,0.3672354948805461
All Exemplars,DDGR,0.3714285714285714
All Exemplars,DDGR,0.380327868852459
All Exemplars,DDGR,0.3408934707903779
All Exemplars,DDGR,0.3681528662420382
All Exemplars,DDGR,0.386013986013986
All Exemplars,DDGR,0.4630136986301369
All Exemplars,DDGR,0.3398058252427184
All Exemplars,DDGR,0.4501694915254237
All Exemplars,DDGR,0.2907849829351535
All Exemplars,DDGR,0.3980263157894736
All Exemplars,DDGR,0.3099656357388315
All Exemplars,VAE_BBox,0.4099009900990098
All Exemplars,VAE_BBox,0.4
All Exemplars,VAE_BBox,0.6742268041237114
All Exemplars,VAE_BBox,0.4006825938566553
All Exemplars,VAE_BBox,0.5233644859813084
All Exemplars,VAE_BBox,0.6342657342657342
All Exemplars,VAE_BBox,0.5314285714285714
All Exemplars,VAE_BBox,0.4148867313915857
All Exemplars,VAE_BBox,0.3836065573770492
All Exemplars,VAE_BBox,0.375593220338983
All Exemplars,VAE_BBox,0.403960396039604
All Exemplars,VAE_BBox,0.5164383561643836
All Exemplars,VAE_BBox,0.5204013377926421
All Exemplars,VAE_BBox,0.5263157894736843
All Exemplars,VAE_BBox,0.4929292929292929
All Exemplars,VAE_BBox,0.5185430463576159
All Exemplars,VAE_BBox,0.4878892733564013
All Exemplars,VAE_BBox,0.5230769230769231
All Exemplars,VAE_BBox,0.5802047781569966
All Exemplars,VAE_BBox,0.5581395348837209
All Exemplars,VAE_BBox,0.5554098360655738
All Exemplars,VAE_BBox,0.4494845360824742
All Exemplars,VAE_BBox,0.5853503184713376
All Exemplars,VAE_BBox,0.3846153846153846
All Exemplars,VAE_BBox,0.5013698630136986
All Exemplars,VAE_BBox,0.4802588996763753
All Exemplars,VAE_BBox,0.5010169491525425
All Exemplars,VAE_BBox,0.3986348122866894
All Exemplars,VAE_BBox,0.4026315789473684
All Exemplars,VAE_BBox,0.4329896907216494
All Exemplars,VAE_Filter,0.4191419141914191
All Exemplars,VAE_Filter,0.3821192052980132
All Exemplars,VAE_Filter,0.6219931271477663
All Exemplars,VAE_Filter,0.3569965870307167
All Exemplars,VAE_Filter,0.4922118380062305
All Exemplars,VAE_Filter,0.6433566433566433
All Exemplars,VAE_Filter,0.4985714285714285
All Exemplars,VAE_Filter,0.401294498381877
All Exemplars,VAE_Filter,0.3468852459016392
All Exemplars,VAE_Filter,0.391864406779661
All Exemplars,VAE_Filter,0.5016501650165016
All Exemplars,VAE_Filter,0.4883561643835616
All Exemplars,VAE_Filter,0.4628762541806019
All Exemplars,VAE_Filter,0.45
All Exemplars,VAE_Filter,0.4821548821548821
All Exemplars,VAE_Filter,0.5357615894039736
All Exemplars,VAE_Filter,0.485121107266436
All Exemplars,VAE_Filter,0.5150501672240801
All Exemplars,VAE_Filter,0.4873720136518771
All Exemplars,VAE_Filter,0.5395348837209302
All Exemplars,VAE_Filter,0.582295081967213
All Exemplars,VAE_Filter,0.5243986254295532
All Exemplars,VAE_Filter,0.5012738853503185
All Exemplars,VAE_Filter,0.3496503496503496
All Exemplars,VAE_Filter,0.4643835616438356
