Exemplar_Size,Task 1,Task 2,Task 3,Task 4,Task 5,Method
All Exemplars,0.8805194805194805,0.7519480519480519,0.3531914893617021,0.2059405940594059,0.09894736842105256,FeTrIL
All Exemplars,0.9266666666666667,0.6670807453416149,0.3327935222672064,0.18145695364238407,0.0821052631578947,FeTrIL
All Exemplars,0.935483870967742,0.8446043165467627,0.5350253807106599,0.17938144329896902,0.1342105263157894,FeTrIL
All Exemplars,0.9424242424242424,0.5631205673758864,0.4143459915611814,0.17201365187713305,0.1289473684210526,FeTrIL
All Exemplars,0.9885057471264368,0.7036585365853659,0.3854838709677419,0.17133956386292826,0.1052631578947368,FeTrIL
All Exemplars,0.9186813186813187,0.6858974358974358,0.5127962085308057,0.3531468531468531,0.1247368421052631,FeTrIL
All Exemplars,0.9378378378378379,0.6676923076923076,0.3693023255813953,0.24499999999999994,0.133157894736842,FeTrIL
All Exemplars,0.8589743589743589,0.7285714285714286,0.3883817427385893,0.24077669902912618,0.1184210526315789,FeTrIL
All Exemplars,0.9783132530120483,0.6690058479532164,0.45039999999999997,0.21377049180327864,0.1289473684210526,FeTrIL
All Exemplars,0.9375,0.6721311475409836,0.40765550239234444,0.1701694915254237,0.11578947368421048,FeTrIL
All Exemplars,0.9012987012987013,0.6308641975308642,0.3894736842105263,0.1933993399339934,0.11947368421052622,FeTrIL
All Exemplars,0.9087719298245615,0.5716312056737589,0.42512077294685985,0.1856164383561644,0.1342105263157894,FeTrIL
All Exemplars,0.841025641025641,0.6313432835820896,0.43886255924170614,0.17926421404682272,0.1184210526315789,FeTrIL
All Exemplars,0.9640449438202247,0.691764705882353,0.5069767441860465,0.31842105263157894,0.10263157894736838,FeTrIL
All Exemplars,1.0,0.7706214689265536,0.6181818181818182,0.3117845117845118,0.11473684210526311,FeTrIL
All Exemplars,0.9928571428571429,0.7171597633136094,0.5857777777777777,0.32715231788079474,0.10210526315789473,FeTrIL
All Exemplars,0.9857142857142858,0.8057142857142857,0.6323529411764706,0.2788927335640138,0.1342105263157894,FeTrIL
All Exemplars,0.9275862068965519,0.6435374149659864,0.3780952380952381,0.1826086956521739,0.1184210526315789,FeTrIL
All Exemplars,0.9571428571428571,0.7578947368421053,0.5298076923076923,0.19522184300341291,0.1289473684210526,FeTrIL
All Exemplars,0.9345454545454546,0.6119205298013246,0.47255813953488374,0.16877076411960132,0.1047368421052631,FeTrIL
All Exemplars,0.9272727272727274,0.6421052631578947,0.5023923444976075,0.18426229508196718,0.1289473684210526,FeTrIL
All Exemplars,0.9359999999999999,0.6629370629370629,0.375438596491228,0.14570446735395184,0.1268421052631578,FeTrIL
All Exemplars,0.9466666666666667,0.5988304093567252,0.42426778242677826,0.2159235668789809,0.10368421052631574,FeTrIL
All Exemplars,0.8589743589743589,0.519047619047619,0.38591549295774646,0.2608391608391608,0.1289473684210526,FeTrIL
All Exemplars,0.9480519480519479,0.7477611940298508,0.4739726027397261,0.18082191780821918,0.1289473684210526,FeTrIL
All Exemplars,0.9631578947368421,0.7276073619631902,0.5271966527196652,0.22071197411003235,0.1184210526315789,FeTrIL
All Exemplars,0.93125,0.7432835820895523,0.32522522522522523,0.19593220338983047,0.1184210526315789,FeTrIL
All Exemplars,0.9384615384615383,0.6855263157894738,0.410126582278481,0.18634812286689412,0.11368421052631575,FeTrIL
All Exemplars,0.9333333333333333,0.6761904761904762,0.4240343347639485,0.20789473684210527,0.09947368421052626,FeTrIL
All Exemplars,0.980722891566265,0.5985507246376811,0.4915887850467289,0.33883161512027493,0.1289473684210526,FeTrIL
All Exemplars,0.8779220779220778,0.5831168831168831,0.42468085106382975,0.33003300330033,0.3131578947368421,DDGR
All Exemplars,0.9111111111111112,0.7366459627329192,0.4712550607287449,0.3311258278145695,0.2726315789473684,DDGR
All Exemplars,0.9483870967741936,0.6949640287769784,0.46091370558375633,0.415807560137457,0.3321052631578948,DDGR
All Exemplars,0.9424242424242424,0.676595744680851,0.44556962025316454,0.33924914675767914,0.3215789473684211,DDGR
All Exemplars,0.9862068965517242,0.5951219512195122,0.4653225806451613,0.4,0.2847368421052631,DDGR
All Exemplars,0.9120879120879121,0.5333333333333333,0.3469194312796208,0.3370629370629371,0.32999999999999996,DDGR
All Exemplars,0.9405405405405407,0.4661538461538461,0.4186046511627907,0.3221428571428572,0.32052631578947366,DDGR
All Exemplars,0.823076923076923,0.6467532467532467,0.43153526970954353,0.35145631067961164,0.27947368421052626,DDGR
All Exemplars,0.9686746987951806,0.6994152046783625,0.4816,0.3016393442622951,0.33157894736842103,DDGR
All Exemplars,0.934375,0.6491803278688524,0.5081339712918661,0.4298305084745763,0.2894736842105263,DDGR
All Exemplars,0.8675324675324674,0.680246913580247,0.44534412955465585,0.32541254125412533,0.30684210526315786,DDGR
All Exemplars,0.9192982456140351,0.7148936170212765,0.3690821256038647,0.38972602739726026,0.3605263157894737,DDGR
