Exemplar_Size,Method,Task 3
All Exemplars,FeTrIL,0.108
All Exemplars,FeTrIL,0.0836601307189542
All Exemplars,FeTrIL,0.0621468926553672
All Exemplars,FeTrIL,0.2413333333333333
All Exemplars,FeTrIL,0.2662420382165604
All Exemplars,FeTrIL,0.197452229299363
All Exemplars,FeTrIL,0.1254658385093167
All Exemplars,FeTrIL,0.1418181818181818
All Exemplars,FeTrIL,0.3971631205673759
All Exemplars,FeTrIL,0.1139664804469273
All Exemplars,FeTrIL,0.0099999999999999
All Exemplars,FeTrIL,0.0634730538922155
All Exemplars,FeTrIL,0.264804469273743
All Exemplars,FeTrIL,0.2
All Exemplars,FeTrIL,0.3371428571428571
All Exemplars,FeTrIL,0.2327272727272727
All Exemplars,FeTrIL,0.1773809523809523
All Exemplars,FeTrIL,0.2514970059880239
All Exemplars,FeTrIL,0.2291139240506328
All Exemplars,FeTrIL,0.24625
All Exemplars,FeTrIL,0.2024242424242424
All Exemplars,FeTrIL,0.0104575163398692
All Exemplars,FeTrIL,0.1308823529411764
All Exemplars,FeTrIL,0.2098591549295774
All Exemplars,FeTrIL,0.2118343195266271
All Exemplars,FeTrIL,0.1026666666666666
All Exemplars,FeTrIL,0.0224852071005917
All Exemplars,FeTrIL,0.263768115942029
All Exemplars,FeTrIL,0.0431372549019607
All Exemplars,FeTrIL,0.1302857142857142
All Exemplars,DDGR,0.9293333333333336
All Exemplars,DDGR,0.9477124183006536
All Exemplars,DDGR,0.8338983050847458
All Exemplars,DDGR,0.9386666666666666
All Exemplars,DDGR,0.9668789808917196
All Exemplars,DDGR,0.954140127388535
All Exemplars,DDGR,0.9664596273291928
All Exemplars,DDGR,0.9563636363636364
All Exemplars,DDGR,0.9801418439716312
All Exemplars,DDGR,0.9452513966480448
All Exemplars,DDGR,0.965714285714286
All Exemplars,DDGR,0.9592814371257484
All Exemplars,DDGR,0.8636871508379889
All Exemplars,DDGR,0.8146666666666667
All Exemplars,DDGR,0.9342857142857144
All Exemplars,DDGR,0.9551515151515152
All Exemplars,DDGR,0.979761904761905
All Exemplars,DDGR,0.8407185628742516
All Exemplars,DDGR,0.9329113924050632
All Exemplars,DDGR,0.96
All Exemplars,DDGR,0.873939393939394
All Exemplars,DDGR,0.9620915032679738
All Exemplars,DDGR,0.9573529411764706
All Exemplars,DDGR,0.9549295774647886
All Exemplars,DDGR,0.9431952662721894
All Exemplars,DDGR,0.8773333333333333
All Exemplars,DDGR,0.937278106508876
All Exemplars,DDGR,0.9594202898550724
All Exemplars,DDGR,0.972549019607843
All Exemplars,DDGR,0.8800000000000001
All Exemplars,VAE_BBox,0.9506666666666668
All Exemplars,VAE_BBox,0.9516339869281044
All Exemplars,VAE_BBox,0.8632768361581922
All Exemplars,VAE_BBox,0.9493333333333336
All Exemplars,VAE_BBox,0.9681528662420384
All Exemplars,VAE_BBox,0.9541401273885352
All Exemplars,VAE_BBox,0.9677018633540374
All Exemplars,VAE_BBox,0.9624242424242424
All Exemplars,VAE_BBox,0.9787234042553192
All Exemplars,VAE_BBox,0.9508379888268156
All Exemplars,VAE_BBox,0.97
All Exemplars,VAE_BBox,0.97125748502994
All Exemplars,VAE_BBox,0.8770949720670391
All Exemplars,VAE_BBox,0.8333333333333334
All Exemplars,VAE_BBox,0.95
All Exemplars,VAE_BBox,0.9454545454545455
All Exemplars,VAE_BBox,0.9785714285714286
All Exemplars,VAE_BBox,0.8431137724550899
All Exemplars,VAE_BBox,0.9392405063291142
All Exemplars,VAE_BBox,0.95875
All Exemplars,VAE_BBox,0.8969696969696971
All Exemplars,VAE_BBox,0.9633986928104574
All Exemplars,VAE_BBox,0.9647058823529412
All Exemplars,VAE_BBox,0.9661971830985916
All Exemplars,VAE_BBox,0.9562130177514794
All Exemplars,VAE_BBox,0.8813333333333333
All Exemplars,VAE_BBox,0.940828402366864
All Exemplars,VAE_BBox,0.9608695652173914
All Exemplars,VAE_BBox,0.972549019607843
All Exemplars,VAE_BBox,0.8834285714285712
All Exemplars,VAE_Filter,0.956
All Exemplars,VAE_Filter,0.9411764705882352
