FeTrIL,DDGR,VAE - Filter,VAE - GMM
1.0,0.9894736842105264,0.9842105263157896,1.0
1.0,1.0,1.0,0.9842105263157896
0.8,0.9947368421052633,0.9947368421052633,1.0
1.0,0.9894736842105264,0.9842105263157896,0.9842105263157896
0.4,1.0,0.9913043478260868,1.0
1.0,0.992,0.992,1.0
1.0,0.9846153846153848,1.0,1.0
1.0,0.9842105263157894,0.9947368421052633,1.0
1.0,0.972,1.0,0.988
1.0,0.973684210526316,0.9789473684210528,0.9842105263157896
1.0,1.0,1.0,1.0
1.0,1.0,0.9961538461538462,0.9961538461538462
1.0,0.99,1.0,1.0
0.8,0.9942857142857144,1.0,1.0
1.0,0.9894736842105264,1.0,0.9789473684210528
1.0,0.9842105263157896,0.9947368421052633,0.9894736842105264
1.0,0.9961538461538462,1.0,0.9961538461538462
1.0,1.0,1.0,1.0
1.0,0.976,1.0,1.0
1.0,0.9842105263157896,0.9842105263157896,0.9894736842105264
1.0,0.976,0.996,0.992
1.0,0.9961538461538462,0.9961538461538462,1.0
1.0,0.9947368421052633,0.9947368421052633,0.9947368421052633
0.8,0.976,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.9842105263157894,0.9947368421052633,0.9947368421052633
1.0,0.9789473684210528,1.0,0.9947368421052633
1.0,0.984,0.996,1.0
1.0,1.0,1.0,1.0
0.8,0.9578947368421056,0.9947368421052633,1.0
