Exemplar_Size,Method,Task 3
All Exemplars,FeTrIL,0.1974554707379134
All Exemplars,FeTrIL,0.2386768447837149
All Exemplars,FeTrIL,0.2849872773536895
All Exemplars,FeTrIL,0.2208651399491094
All Exemplars,FeTrIL,0.3206106870229007
All Exemplars,FeTrIL,0.2564885496183205
All Exemplars,FeTrIL,0.1735368956743002
All Exemplars,FeTrIL,0.1837150127226463
All Exemplars,FeTrIL,0.3221374045801527
All Exemplars,FeTrIL,0.1653944020356234
All Exemplars,FeTrIL,0.2249363867684478
All Exemplars,FeTrIL,0.2045801526717556
All Exemplars,FeTrIL,0.2030534351145037
All Exemplars,FeTrIL,0.1949109414758269
All Exemplars,FeTrIL,0.3323155216284987
All Exemplars,FeTrIL,0.3027989821882951
All Exemplars,FeTrIL,0.2147582697201017
All Exemplars,FeTrIL,0.1888040712468193
All Exemplars,FeTrIL,0.2447837150127226
All Exemplars,FeTrIL,0.2203562340966921
All Exemplars,FeTrIL,0.2427480916030534
All Exemplars,FeTrIL,0.2687022900763359
All Exemplars,FeTrIL,0.2366412213740457
All Exemplars,FeTrIL,0.1842239185750635
All Exemplars,FeTrIL,0.215267175572519
All Exemplars,FeTrIL,0.292620865139949
All Exemplars,FeTrIL,0.1923664122137404
All Exemplars,FeTrIL,0.2519083969465648
All Exemplars,FeTrIL,0.1796437659033078
All Exemplars,FeTrIL,0.2167938931297709
All Exemplars,DDGR,0.4015267175572519
All Exemplars,DDGR,0.3694656488549618
All Exemplars,DDGR,0.3526717557251909
All Exemplars,DDGR,0.3623409669211196
All Exemplars,DDGR,0.383206106870229
All Exemplars,DDGR,0.4111959287531807
All Exemplars,DDGR,0.3944020356234096
All Exemplars,DDGR,0.4066157760814249
All Exemplars,DDGR,0.3954198473282442
All Exemplars,DDGR,0.3587786259541984
All Exemplars,DDGR,0.3506361323155216
All Exemplars,DDGR,0.3908396946564885
All Exemplars,DDGR,0.4020356234096692
All Exemplars,DDGR,0.378117048346056
All Exemplars,DDGR,0.3603053435114504
All Exemplars,DDGR,0.3592875318066157
All Exemplars,DDGR,0.4274809160305343
All Exemplars,DDGR,0.3872773536895674
All Exemplars,DDGR,0.4223918575063613
All Exemplars,DDGR,0.3847328244274808
All Exemplars,DDGR,0.3994910941475827
All Exemplars,DDGR,0.3318066157760814
All Exemplars,DDGR,0.4015267175572519
All Exemplars,DDGR,0.3872773536895674
All Exemplars,DDGR,0.3862595419847328
All Exemplars,DDGR,0.3348600508905852
All Exemplars,DDGR,0.3318066157760814
All Exemplars,DDGR,0.3577608142493638
All Exemplars,DDGR,0.4071246819338422
All Exemplars,DDGR,0.4473282442748091
All Exemplars,VAE_BBox,0.7099236641221374
All Exemplars,VAE_BBox,0.5786259541984732
All Exemplars,VAE_BBox,0.6544529262086514
All Exemplars,VAE_BBox,0.6600508905852418
All Exemplars,VAE_BBox,0.4997455470737913
All Exemplars,VAE_BBox,0.6351145038167939
All Exemplars,VAE_BBox,0.6798982188295165
All Exemplars,VAE_BBox,0.5903307888040713
All Exemplars,VAE_BBox,0.6447837150127227
All Exemplars,VAE_BBox,0.5638676844783714
All Exemplars,VAE_BBox,0.5572519083969466
All Exemplars,VAE_BBox,0.6580152671755725
All Exemplars,VAE_BBox,0.5333333333333333
All Exemplars,VAE_BBox,0.5348600508905852
All Exemplars,VAE_BBox,0.5302798982188295
All Exemplars,VAE_BBox,0.4936386768447837
All Exemplars,VAE_BBox,0.4982188295165394
All Exemplars,VAE_BBox,0.6513994910941476
All Exemplars,VAE_BBox,0.6279898218829516
All Exemplars,VAE_BBox,0.5603053435114503
All Exemplars,VAE_BBox,0.6244274809160306
All Exemplars,VAE_BBox,0.5791348600508905
All Exemplars,VAE_BBox,0.5424936386768447
All Exemplars,VAE_BBox,0.6432569974554706
All Exemplars,VAE_BBox,0.7312977099236642
All Exemplars,VAE_BBox,0.4727735368956743
All Exemplars,VAE_BBox,0.6274809160305344
