Exemplar_Size,Task 2,Task 3,Method
All Exemplars,0.373469387755102,0.22018348623853212,FeTrIL
All Exemplars,0.22654867256637162,0.2302325581395349,FeTrIL
All Exemplars,0.29090909090909095,0.1233082706766917,FeTrIL
All Exemplars,0.07272727272727272,0.19999999999999993,FeTrIL
All Exemplars,0.29482758620689653,0.1797752808988764,FeTrIL
All Exemplars,0.2872340425531915,0.0,FeTrIL
All Exemplars,0.1873873873873874,0.3492537313432836,FeTrIL
All Exemplars,0.45172413793103444,0.19137931034482758,FeTrIL
All Exemplars,0.32967032967032966,0.18018018018018017,FeTrIL
All Exemplars,0.3540740740740741,0.18727272727272726,FeTrIL
All Exemplars,0.11150442477876103,0.30782608695652175,FeTrIL
All Exemplars,0.32621359223300966,0.2985294117647059,FeTrIL
All Exemplars,0.2134328358208955,0.12869565217391304,FeTrIL
All Exemplars,0.27191011235955054,0.00447761194029848,FeTrIL
All Exemplars,0.1963302752293578,0.05473684210526314,FeTrIL
All Exemplars,0.36752136752136744,0.20800000000000002,FeTrIL
All Exemplars,0.2574074074074074,0.1889763779527559,FeTrIL
All Exemplars,0.4152671755725191,0.0527272727272727,FeTrIL
All Exemplars,0.3756521739130435,0.22857142857142856,FeTrIL
All Exemplars,0.14444444444444443,0.08224299065420557,FeTrIL
All Exemplars,0.2827586206896552,0.2880597014925373,FeTrIL
All Exemplars,0.15999999999999998,0.25826771653543307,FeTrIL
All Exemplars,0.44489795918367336,0.09199999999999998,FeTrIL
All Exemplars,0.35652173913043483,0.07118644067796609,FeTrIL
All Exemplars,0.23119266055045867,0.1252173913043478,FeTrIL
All Exemplars,0.07611940298507458,0.3443298969072165,FeTrIL
All Exemplars,0.3350877192982456,0.26545454545454544,FeTrIL
All Exemplars,0.19999999999999993,0.0018181818181818,FeTrIL
All Exemplars,0.39642857142857135,0.1853211009174312,FeTrIL
All Exemplars,0.11044776119402977,0.2037383177570093,FeTrIL
All Exemplars,0.9326530612244899,0.965137614678899,DDGR
All Exemplars,0.9628318584070797,0.8348837209302327,DDGR
All Exemplars,0.9474747474747474,0.9067669172932332,DDGR
All Exemplars,0.9438016528925622,0.9436363636363637,DDGR
All Exemplars,0.953448275862069,0.9146067415730338,DDGR
All Exemplars,0.9212765957446809,0.9508771929824563,DDGR
All Exemplars,0.9423423423423424,0.9597014925373134,DDGR
All Exemplars,0.8431034482758621,0.9413793103448276,DDGR
All Exemplars,0.8945054945054945,0.9513513513513514,DDGR
All Exemplars,0.8918518518518518,0.9581818181818182,DDGR
All Exemplars,0.9663716814159292,0.9165217391304349,DDGR
All Exemplars,0.9359223300970875,0.972058823529412,DDGR
All Exemplars,0.9597014925373134,0.8939130434782608,DDGR
All Exemplars,0.8269662921348313,0.7447761194029852,DDGR
All Exemplars,0.8678899082568808,0.8673684210526316,DDGR
All Exemplars,0.9333333333333333,0.9019999999999999,DDGR
All Exemplars,0.9314814814814815,0.8535433070866141,DDGR
All Exemplars,0.9312977099236642,0.9399999999999998,DDGR
All Exemplars,0.8956521739130437,0.9314285714285713,DDGR
All Exemplars,0.9166666666666667,0.902803738317757,DDGR
All Exemplars,0.953448275862069,0.955223880597015,DDGR
All Exemplars,0.9436363636363637,0.8818897637795275,DDGR
All Exemplars,0.9428571428571427,0.916,DDGR
All Exemplars,0.8978260869565219,0.9559322033898306,DDGR
All Exemplars,0.9596330275229359,0.9617391304347824,DDGR
All Exemplars,0.7761194029850746,0.9195876288659794,DDGR
All Exemplars,0.9122807017543861,0.949090909090909,DDGR
All Exemplars,0.948936170212766,0.9418181818181818,DDGR
All Exemplars,0.9410714285714284,0.9522935779816514,DDGR
All Exemplars,0.735820895522388,0.9588785046728973,DDGR
All Exemplars,0.9306122448979591,0.9688073394495413,VAE_BBox
All Exemplars,0.9575221238938052,0.8930232558139535,VAE_BBox
All Exemplars,0.9333333333333332,0.9037593984962407,VAE_BBox
All Exemplars,0.9404958677685951,0.9436363636363637,VAE_BBox
All Exemplars,0.9482758620689656,0.9258426966292135,VAE_BBox
All Exemplars,0.9127659574468087,0.9473684210526316,VAE_BBox
All Exemplars,0.9477477477477478,0.9567164179104477,VAE_BBox
All Exemplars,0.8724137931034484,0.9689655172413794,VAE_BBox
All Exemplars,0.9098901098901099,0.9369369369369369,VAE_BBox
All Exemplars,0.9155555555555557,0.949090909090909,VAE_BBox
All Exemplars,0.9557522123893806,0.9199999999999999,VAE_BBox
All Exemplars,0.9223300970873789,0.973529411764706,VAE_BBox
All Exemplars,0.9611940298507463,0.9043478260869566,VAE_BBox
All Exemplars,0.8561797752808988,0.7641791044776121,VAE_BBox
All Exemplars,0.8935779816513761,0.8863157894736842,VAE_BBox
All Exemplars,0.9384615384615385,0.9120000000000001,VAE_BBox
All Exemplars,0.9314814814814815,0.8803149606299213,VAE_BBox
All Exemplars,0.9282442748091603,0.9436363636363637,VAE_BBox
All Exemplars,0.9217391304347826,0.9371428571428572,VAE_BBox
All Exemplars,0.9277777777777777,0.8897196261682243,VAE_BBox
All Exemplars,0.9482758620689656,0.9626865671641791,VAE_BBox
All Exemplars,0.9527272727272728,0.8818897637795274,VAE_BBox
All Exemplars,0.9510204081632653,0.892,VAE_BBox
All Exemplars,0.8913043478260871,0.9491525423728813,VAE_BBox
All Exemplars,0.9614678899082569,0.9513043478260869,VAE_BBox
All Exemplars,0.8179104477611941,0.9195876288659793,VAE_BBox
All Exemplars,0.9350877192982457,0.9527272727272728,VAE_BBox
All Exemplars,0.9595744680851064,0.9345454545454546,VAE_BBox
All Exemplars,0.9482142857142858,0.9614678899082569,VAE_BBox
All Exemplars,0.8044776119402985,0.977570093457944,VAE_BBox
All Exemplars,0.9306122448979591,0.9669724770642203,VAE_Filter
All Exemplars,0.9699115044247788,0.8534883720930233,VAE_Filter
All Exemplars,0.9393939393939394,0.9383458646616543,VAE_Filter
All Exemplars,0.9421487603305783,0.9472727272727273,VAE_Filter
All Exemplars,0.9482758620689655,0.9258426966292135,VAE_Filter
All Exemplars,0.9191489361702129,0.9526315789473687,VAE_Filter
All Exemplars,0.9531531531531533,0.9611940298507463,VAE_Filter
All Exemplars,0.8775862068965518,0.9620689655172414,VAE_Filter
All Exemplars,0.9142857142857144,0.9459459459459459,VAE_Filter
All Exemplars,0.8918518518518519,0.9527272727272728,VAE_Filter
All Exemplars,0.9575221238938054,0.9043478260869566,VAE_Filter
All Exemplars,0.9300970873786408,0.9705882352941178,VAE_Filter
All Exemplars,0.953731343283582,0.9269565217391305,VAE_Filter
All Exemplars,0.8359550561797754,0.8119402985074627,VAE_Filter
All Exemplars,0.8935779816513761,0.888421052631579,VAE_Filter
All Exemplars,0.935042735042735,0.906,VAE_Filter
All Exemplars,0.9351851851851851,0.8771653543307087,VAE_Filter
All Exemplars,0.9358778625954199,0.9454545454545455,VAE_Filter
All Exemplars,0.9130434782608697,0.9466666666666667,VAE_Filter
All Exemplars,0.9333333333333333,0.8953271028037385,VAE_Filter
All Exemplars,0.9413793103448278,0.9522388059701493,VAE_Filter
All Exemplars,0.9454545454545455,0.9023622047244094,VAE_Filter
All Exemplars,0.9489795918367345,0.914,VAE_Filter
All Exemplars,0.9,0.9542372881355933,VAE_Filter
All Exemplars,0.965137614678899,0.9634782608695653,VAE_Filter
