Exemplar_Size,Task 2,Task 3,Task 4,Task 5,Task 6,Method
All Exemplars,0.11500000000000002,0.4,0.4,1.0,0.6,FeTrIL
All Exemplars,0.064,0.6,1.0,1.0,0.8,FeTrIL
All Exemplars,0.2971428571428571,0.0,1.0,1.0,0.2,FeTrIL
All Exemplars,0.03,0.20869565217391303,0.5891891891891892,1.0,0.8,FeTrIL
All Exemplars,0.30999999999999994,0.18378378378378385,0.8,0.8,0.4,FeTrIL
All Exemplars,0.16666666666666666,0.0,0.9947368421052631,1.0,0.4,FeTrIL
All Exemplars,0.25789473684210523,0.32000000000000006,0.9263157894736842,1.0,0.6,FeTrIL
All Exemplars,0.13461538461538458,0.13043478260869565,0.284,0.8,1.0,FeTrIL
All Exemplars,0.23157894736842105,0.2695652173913043,0.27142857142857146,1.0,1.0,FeTrIL
All Exemplars,0.03846153846153842,0.04,1.0,0.8,0.4,FeTrIL
All Exemplars,0.004761904761904761,0.21621621621621617,0.8434782608695652,1.0,1.0,FeTrIL
All Exemplars,0.20526315789473681,0.0,0.4,1.0,1.0,FeTrIL
All Exemplars,0.2692307692307692,0.05600000000000001,1.0,1.0,0.2,FeTrIL
All Exemplars,0.3565217391304348,0.042105263157894715,0.6961538461538461,1.0,0.0,FeTrIL
All Exemplars,0.03428571428571426,0.0,0.9652173913043478,1.0,0.2,FeTrIL
All Exemplars,0.05945945945945945,0.023076923076923057,1.0,0.8,0.6,FeTrIL
All Exemplars,0.09999999999999998,0.252,1.0,0.8,1.0,FeTrIL
All Exemplars,0.1891891891891892,0.0,1.0,0.8,0.4,FeTrIL
All Exemplars,0.3190476190476191,0.325,1.0,1.0,1.0,FeTrIL
All Exemplars,0.05789473684210524,0.09199999999999997,1.0,1.0,1.0,FeTrIL
All Exemplars,0.2857142857142857,0.205,0.7961538461538462,1.0,1.0,FeTrIL
All Exemplars,0.04,0.5513513513513514,1.0,1.0,1.0,FeTrIL
All Exemplars,0.2347826086956522,0.16756756756756758,0.5736842105263158,1.0,1.0,FeTrIL
All Exemplars,0.1217391304347826,0.2,0.6000000000000001,1.0,1.0,FeTrIL
All Exemplars,0.16999999999999998,0.17619047619047618,0.9945945945945945,1.0,0.0,FeTrIL
All Exemplars,0.18285714285714283,0.03076923076923076,0.5304347826086957,0.945,0.2,FeTrIL
All Exemplars,0.008,0.4714285714285714,1.0,1.0,0.4,FeTrIL
All Exemplars,0.265,0.3652173913043478,0.7837837837837838,1.0,1.0,FeTrIL
All Exemplars,0.34594594594594597,0.0,0.6,1.0,0.8,FeTrIL
All Exemplars,0.21714285714285714,0.0,1.0,1.0,0.2,FeTrIL
All Exemplars,0.99,1.0,1.0,0.9783783783783784,1.0,DDGR
All Exemplars,0.976,1.0,1.0,0.9947368421052631,1.0,DDGR
All Exemplars,1.0,0.992,0.9949999999999999,0.9961538461538462,0.9947368421052631,DDGR
All Exemplars,0.99,0.9913043478260869,0.9891891891891891,1.0,1.0,DDGR
All Exemplars,0.99,0.9837837837837838,1.0,0.9789473684210528,1.0,DDGR
All Exemplars,1.0,0.9837837837837838,0.9947368421052631,0.99,0.992,DDGR
All Exemplars,0.9789473684210528,0.9942857142857143,0.9894736842105264,0.976,0.9923076923076923,DDGR
All Exemplars,0.9923076923076923,0.9826086956521738,0.9960000000000001,0.9850000000000001,1.0,DDGR
All Exemplars,0.9842105263157895,1.0,1.0,0.9894736842105264,0.984,DDGR
All Exemplars,1.0,0.992,0.9891891891891891,0.9949999999999999,0.9894736842105264,DDGR
All Exemplars,1.0,0.9783783783783784,1.0,0.9736842105263157,1.0,DDGR
All Exemplars,0.9894736842105264,1.0,0.9800000000000001,0.9783783783783784,0.9961538461538462,DDGR
All Exemplars,0.9884615384615385,0.9960000000000001,0.9942857142857143,1.0,0.9949999999999999,DDGR
All Exemplars,0.9826086956521738,1.0,1.0,0.9891891891891891,1.0,DDGR
All Exemplars,1.0,1.0,0.9913043478260869,0.99,0.9894736842105264,DDGR
All Exemplars,0.9837837837837838,0.9923076923076923,0.9842105263157895,0.9789473684210528,1.0,DDGR
All Exemplars,0.9894736842105264,1.0,1.0,0.9894736842105264,0.9923076923076923,DDGR
All Exemplars,0.972972972972973,0.9807692307692308,0.9842105263157895,0.9800000000000001,1.0,DDGR
All Exemplars,1.0,0.9800000000000001,0.9894736842105264,0.9947368421052631,0.976,DDGR
All Exemplars,0.9842105263157895,0.984,0.9891891891891891,1.0,1.0,DDGR
All Exemplars,1.0,0.985,0.9846153846153847,0.9894736842105264,0.984,DDGR
All Exemplars,0.9949999999999999,0.9891891891891891,0.9894736842105264,1.0,1.0,DDGR
All Exemplars,1.0,0.9837837837837838,0.9947368421052631,0.9894736842105264,1.0,DDGR
All Exemplars,1.0,1.0,0.9837837837837837,0.9949999999999999,0.992,DDGR
All Exemplars,0.99,1.0,0.9891891891891891,0.976,1.0,DDGR
All Exemplars,1.0,0.9923076923076923,1.0,0.9799999999999999,0.9842105263157895,DDGR
All Exemplars,0.984,1.0,0.9783783783783784,0.985,1.0,DDGR
All Exemplars,0.9949999999999999,1.0,0.9945945945945945,0.9894736842105264,1.0,DDGR
All Exemplars,0.9891891891891891,0.9842105263157895,0.99,0.9947368421052631,1.0,DDGR
All Exemplars,1.0,0.9961538461538462,0.9894736842105264,1.0,0.9894736842105264,DDGR
All Exemplars,1.0,1.0,1.0,0.9945945945945945,0.9947368421052631,VAE_BBox
All Exemplars,1.0,1.0,1.0,0.9894736842105264,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,0.9961538461538462,0.9894736842105264,VAE_BBox
All Exemplars,1.0,1.0,0.9945945945945945,1.0,1.0,VAE_BBox
All Exemplars,1.0,0.9837837837837837,1.0,1.0,0.9913043478260869,VAE_BBox
All Exemplars,1.0,0.9891891891891891,1.0,1.0,1.0,VAE_BBox
All Exemplars,0.9894736842105264,0.9942857142857143,1.0,1.0,0.9961538461538462,VAE_BBox
All Exemplars,1.0,1.0,0.992,1.0,1.0,VAE_BBox
All Exemplars,0.9894736842105264,1.0,1.0,0.9894736842105264,0.992,VAE_BBox
All Exemplars,0.9961538461538462,1.0,0.9945945945945945,1.0,1.0,VAE_BBox
All Exemplars,1.0,0.9891891891891891,1.0,1.0,0.9961538461538462,VAE_BBox
All Exemplars,1.0,1.0,0.992,0.9837837837837838,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,0.9913043478260869,1.0,0.9961538461538462,0.9837837837837837,0.9942857142857143,VAE_BBox
All Exemplars,1.0,1.0,0.9826086956521738,1.0,1.0,VAE_BBox
All Exemplars,0.9837837837837837,0.9961538461538462,1.0,1.0,0.9894736842105264,VAE_BBox
