Exemplar_Size,Method,Task 5
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,0.8
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,0.8
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,0.4076923076923077
All Exemplars,FeTrIL,0.8
All Exemplars,FeTrIL,0.5846153846153846
All Exemplars,FeTrIL,0.8
All Exemplars,FeTrIL,0.2
All Exemplars,FeTrIL,0.8
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,0.6
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,0.5692307692307692
All Exemplars,FeTrIL,0.8
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,1.0
All Exemplars,FeTrIL,1.0
All Exemplars,DDGR,0.9891891891891892
All Exemplars,DDGR,0.9684210526315792
All Exemplars,DDGR,0.984313725490196
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9350000000000002
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9959183673469388
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9384615384615383
All Exemplars,DDGR,0.9837837837837836
All Exemplars,DDGR,0.977777777777778
All Exemplars,DDGR,0.9945945945945944
All Exemplars,DDGR,0.9955555555555556
All Exemplars,DDGR,0.955
All Exemplars,DDGR,0.9
All Exemplars,DDGR,0.9955555555555556
All Exemplars,DDGR,0.9578947368421054
All Exemplars,DDGR,0.9589743589743592
All Exemplars,DDGR,0.9153846153846156
All Exemplars,DDGR,0.9736842105263156
All Exemplars,DDGR,0.9692307692307692
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9959183673469388
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9911111111111112
All Exemplars,DDGR,0.9789473684210528
All Exemplars,DDGR,0.9350000000000002
All Exemplars,DDGR,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9947368421052633
All Exemplars,VAE_BBox,0.996078431372549
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.985
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9945945945945944
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.985
