FeTrIL,DDGR,VAE - Filter,VAE - GMM
1.0,0.9567567567567568,0.9837837837837838,0.9837837837837838
1.0,0.987878787878788,1.0,0.993939393939394
1.0,0.9898305084745764,1.0,1.0
1.0,1.0,1.0,1.0
0.8,1.0,0.9875,1.0
1.0,0.9609756097560976,0.9951219512195122,0.9951219512195122
1.0,0.995,1.0,0.995
1.0,0.9609756097560976,1.0,1.0
1.0,0.9371428571428572,0.9085714285714286,0.92
1.0,0.9609756097560976,0.9902439024390244,0.9951219512195122
0.4,0.8857142857142858,0.9314285714285716,0.9428571428571428
1.0,0.9297297297297298,0.9891891891891892,0.9783783783783784
0.4,0.977777777777778,0.9944444444444444,0.9777777777777776
1.0,0.9513513513513514,1.0,0.9837837837837838
0.8,0.9707317073170731,0.9902439024390244,1.0
0.8,0.9875,1.0,1.0
0.4,0.975,0.9875,0.99375
1.0,0.9609756097560976,1.0,1.0
1.0,0.993939393939394,1.0,1.0
1.0,0.968421052631579,0.963157894736842,0.9894736842105264
0.4,0.9028571428571428,0.9485714285714286,0.92
1.0,0.987878787878788,0.993939393939394,0.993939393939394
0.8,0.9314285714285716,0.9885714285714288,0.9771428571428572
1.0,0.9609756097560976,1.0,0.9902439024390244
1.0,1.0,1.0,1.0
1.0,0.9658536585365856,0.9902439024390244,1.0
1.0,0.9804878048780488,0.9902439024390244,0.9902439024390244
1.0,1.0,1.0,0.993939393939394
0.8,0.9875,0.99375,0.98125
1.0,1.0,1.0,1.0
