Exemplar_Size,Task 2,Method
All Exemplars,0.17692307692307688,FeTrIL
All Exemplars,0.33114754098360655,FeTrIL
All Exemplars,0.01618497109826586,FeTrIL
All Exemplars,0.0748091603053435,FeTrIL
All Exemplars,0.20317460317460317,FeTrIL
All Exemplars,0.09801324503311255,FeTrIL
All Exemplars,0.11744186046511629,FeTrIL
All Exemplars,0.1021897810218978,FeTrIL
All Exemplars,0.25,FeTrIL
All Exemplars,0.1413333333333333,FeTrIL
All Exemplars,0.14473684210526316,FeTrIL
All Exemplars,0.13720930232558132,FeTrIL
All Exemplars,0.10709677419354838,FeTrIL
All Exemplars,0.11976047904191614,FeTrIL
All Exemplars,0.01068702290076334,FeTrIL
All Exemplars,0.02264150943396226,FeTrIL
All Exemplars,0.16886227544910176,FeTrIL
All Exemplars,0.08994082840236683,FeTrIL
All Exemplars,0.05890410958904109,FeTrIL
All Exemplars,0.30204081632653057,FeTrIL
All Exemplars,0.12571428571428572,FeTrIL
All Exemplars,0.08048780487804877,FeTrIL
All Exemplars,0.22773722627737225,FeTrIL
All Exemplars,0.0896103896103896,FeTrIL
All Exemplars,0.10596026490066224,FeTrIL
All Exemplars,0.01410256410256408,FeTrIL
All Exemplars,0.1054794520547945,FeTrIL
All Exemplars,0.07328244274809158,FeTrIL
All Exemplars,0.12638888888888883,FeTrIL
All Exemplars,0.06746987951807229,FeTrIL
All Exemplars,0.9446153846153846,DDGR
All Exemplars,0.8655737704918032,DDGR
All Exemplars,0.9121387283236995,DDGR
All Exemplars,0.8916030534351146,DDGR
All Exemplars,0.9015873015873017,DDGR
All Exemplars,0.9443708609271525,DDGR
All Exemplars,0.7883720930232558,DDGR
All Exemplars,0.9284671532846716,DDGR
All Exemplars,0.9090909090909092,DDGR
All Exemplars,0.9546666666666667,DDGR
All Exemplars,0.9223684210526315,DDGR
All Exemplars,0.8895348837209303,DDGR
All Exemplars,0.9045161290322581,DDGR
All Exemplars,0.7580838323353293,DDGR
