Exemplar_Size,Method,Task 3
All Exemplars,FeTrIL,0.2846787479406918
All Exemplars,FeTrIL,0.1867109634551494
All Exemplars,FeTrIL,0.1676767676767676
All Exemplars,FeTrIL,0.1984877126654063
All Exemplars,FeTrIL,0.2210922787193973
All Exemplars,FeTrIL,0.1363636363636363
All Exemplars,FeTrIL,0.3064077669902912
All Exemplars,FeTrIL,0.1522431259044862
All Exemplars,FeTrIL,0.164297520661157
All Exemplars,FeTrIL,0.1786310517529215
All Exemplars,FeTrIL,0.2303448275862068
All Exemplars,FeTrIL,0.1912280701754385
All Exemplars,FeTrIL,0.166472303206997
All Exemplars,FeTrIL,0.1860113421550094
All Exemplars,FeTrIL,0.1689189189189188
All Exemplars,FeTrIL,0.1582491582491582
All Exemplars,FeTrIL,0.1737762237762237
All Exemplars,FeTrIL,0.1533132530120481
All Exemplars,FeTrIL,0.2845437616387337
All Exemplars,FeTrIL,0.2395973154362415
All Exemplars,FeTrIL,0.1270018621973928
All Exemplars,FeTrIL,0.1364912280701754
All Exemplars,FeTrIL,0.1838550247116968
All Exemplars,FeTrIL,0.1895622895622895
All Exemplars,FeTrIL,0.2242085661080074
All Exemplars,FeTrIL,0.1843071786310516
All Exemplars,FeTrIL,0.186241610738255
All Exemplars,FeTrIL,0.1739864864864864
All Exemplars,FeTrIL,0.144578313253012
All Exemplars,FeTrIL,0.0710963455149501
All Exemplars,DDGR,0.4237232289950576
All Exemplars,DDGR,0.5049833887043189
All Exemplars,DDGR,0.272053872053872
All Exemplars,DDGR,0.5156899810964083
All Exemplars,DDGR,0.608286252354049
All Exemplars,DDGR,0.6104377104377104
All Exemplars,DDGR,0.4904854368932038
All Exemplars,DDGR,0.5175108538350217
All Exemplars,DDGR,0.5272727272727272
All Exemplars,DDGR,0.5292153589315526
All Exemplars,DDGR,0.3779310344827586
All Exemplars,DDGR,0.3687719298245613
All Exemplars,DDGR,0.4854227405247813
All Exemplars,DDGR,0.4544423440453686
All Exemplars,DDGR,0.506418918918919
All Exemplars,DDGR,0.3144781144781144
All Exemplars,DDGR,0.4115384615384615
All Exemplars,DDGR,0.4674698795180722
All Exemplars,DDGR,0.629050279329609
All Exemplars,DDGR,0.3973154362416106
All Exemplars,DDGR,0.6037243947858473
All Exemplars,DDGR,0.523859649122807
All Exemplars,DDGR,0.5051070840197693
All Exemplars,DDGR,0.4787878787878787
All Exemplars,DDGR,0.6067039106145252
All Exemplars,DDGR,0.4530884808013355
All Exemplars,DDGR,0.5107382550335571
All Exemplars,DDGR,0.4442567567567567
All Exemplars,DDGR,0.408433734939759
All Exemplars,DDGR,0.5205980066445182
All Exemplars,VAE_BBox,0.6655683690280065
All Exemplars,VAE_BBox,0.5242524916943522
All Exemplars,VAE_BBox,0.6202020202020202
All Exemplars,VAE_BBox,0.5992438563327033
All Exemplars,VAE_BBox,0.6821092278719398
All Exemplars,VAE_BBox,0.7737373737373737
All Exemplars,VAE_BBox,0.4555339805825243
