Exemplar_Size,Method,Task 3
All Exemplars,FeTrIL,0.5436692506459948
All Exemplars,FeTrIL,0.1317829457364341
All Exemplars,FeTrIL,0.0748387096774193
All Exemplars,FeTrIL,0.1912225705329153
All Exemplars,FeTrIL,0.1979238754325259
All Exemplars,FeTrIL,0.123076923076923
All Exemplars,FeTrIL,0.4655737704918032
All Exemplars,FeTrIL,0.1012931034482758
All Exemplars,FeTrIL,0.0700808625336927
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.4060913705583756
All Exemplars,FeTrIL,0.0594142259414225
All Exemplars,FeTrIL,0.2151447661469932
All Exemplars,FeTrIL,0.2311557788944723
All Exemplars,FeTrIL,0.054
All Exemplars,FeTrIL,0.0223628691983122
All Exemplars,FeTrIL,0.1910714285714285
All Exemplars,FeTrIL,0.1157232704402515
All Exemplars,FeTrIL,0.3761755485893417
All Exemplars,FeTrIL,0.1886178861788617
All Exemplars,FeTrIL,0.2094276094276094
All Exemplars,FeTrIL,0.0105263157894736
All Exemplars,FeTrIL,0.0652849740932642
All Exemplars,FeTrIL,0.0553846153846153
All Exemplars,FeTrIL,0.0946708463949842
All Exemplars,FeTrIL,0.0822916666666666
All Exemplars,FeTrIL,0.1020833333333333
All Exemplars,FeTrIL,0.0986737400530504
All Exemplars,FeTrIL,0.0445414847161571
All Exemplars,FeTrIL,0.2842465753424658
All Exemplars,DDGR,0.1441860465116278
All Exemplars,DDGR,0.3266149870801033
All Exemplars,DDGR,0.1419354838709677
All Exemplars,DDGR,0.2018808777429467
All Exemplars,DDGR,0.1833910034602076
All Exemplars,DDGR,0.2742705570291776
All Exemplars,DDGR,0.2059016393442622
All Exemplars,DDGR,0.1387931034482758
All Exemplars,DDGR,0.2765498652291104
All Exemplars,DDGR,0.2715025906735751
All Exemplars,DDGR,0.0888324873096446
All Exemplars,DDGR,0.1887029288702928
All Exemplars,DDGR,0.3024498886414253
All Exemplars,DDGR,0.2090452261306533
All Exemplars,DDGR,0.198
All Exemplars,DDGR,0.221097046413502
All Exemplars,DDGR,0.2919642857142857
All Exemplars,DDGR,0.1672955974842767
All Exemplars,DDGR,0.2608150470219436
All Exemplars,DDGR,0.1186991869918699
All Exemplars,DDGR,0.3043771043771043
All Exemplars,DDGR,0.2641604010025062
All Exemplars,DDGR,0.2580310880829015
All Exemplars,DDGR,0.2523076923076922
All Exemplars,DDGR,0.3203761755485893
All Exemplars,DDGR,0.1911458333333333
All Exemplars,DDGR,0.2526041666666666
All Exemplars,DDGR,0.2360742705570291
All Exemplars,DDGR,0.2266375545851528
All Exemplars,DDGR,0.2041095890410958
All Exemplars,VAE_BBox,0.5250645994832042
All Exemplars,VAE_BBox,0.3803617571059431
All Exemplars,VAE_BBox,0.4873118279569892
All Exemplars,VAE_BBox,0.3379310344827586
All Exemplars,VAE_BBox,0.6802768166089966
All Exemplars,VAE_BBox,0.53315649867374
All Exemplars,VAE_BBox,0.5731147540983607
All Exemplars,VAE_BBox,0.3232758620689654
All Exemplars,VAE_BBox,0.5741239892183289
All Exemplars,VAE_BBox,0.3580310880829015
All Exemplars,VAE_BBox,0.5192893401015228
All Exemplars,VAE_BBox,0.5627615062761506
All Exemplars,VAE_BBox,0.2971046770601335
All Exemplars,VAE_BBox,0.6522613065326632
All Exemplars,VAE_BBox,0.3889999999999999
All Exemplars,VAE_BBox,0.5464135021097046
All Exemplars,VAE_BBox,0.4660714285714286
All Exemplars,VAE_BBox,0.280922431865828
All Exemplars,VAE_BBox,0.5009404388714733
All Exemplars,VAE_BBox,0.4065040650406503
All Exemplars,VAE_BBox,0.4929292929292929
All Exemplars,VAE_BBox,0.5563909774436089
All Exemplars,VAE_BBox,0.3917098445595854
All Exemplars,VAE_BBox,0.4835897435897435
All Exemplars,VAE_BBox,0.3021943573667711
All Exemplars,VAE_BBox,0.5666666666666667
All Exemplars,VAE_BBox,0.4744791666666666
All Exemplars,VAE_BBox,0.5856763925729442
All Exemplars,VAE_BBox,0.4004366812227074
All Exemplars,VAE_BBox,0.1993150684931506
All Exemplars,VAE_Filter,0.5369509043927649
All Exemplars,VAE_Filter,0.4118863049095607
All Exemplars,VAE_Filter,0.3896774193548387
All Exemplars,VAE_Filter,0.4313479623824451
All Exemplars,VAE_Filter,0.4429065743944637
All Exemplars,VAE_Filter,0.63342175066313
All Exemplars,VAE_Filter,0.5704918032786885
All Exemplars,VAE_Filter,0.3176724137931034
All Exemplars,VAE_Filter,0.5024258760107816
All Exemplars,VAE_Filter,0.461139896373057
All Exemplars,VAE_Filter,0.4624365482233502
All Exemplars,VAE_Filter,0.5075313807531381
All Exemplars,VAE_Filter,0.3171492204899777
All Exemplars,VAE_Filter,0.8678391959798996
All Exemplars,VAE_Filter,0.424
All Exemplars,VAE_Filter,0.4649789029535865
