Exemplar_Size,Task 2,Task 3,Task 4,Method
All Exemplars,0.45999999999999996,0.21878453038674034,0.4776119402985074,FeTrIL
All Exemplars,0.2898989898989899,0.4569767441860465,0.5142857142857142,FeTrIL
All Exemplars,0.062093862815884485,0.6974358974358974,0.5775401069518716,FeTrIL
All Exemplars,0.29795918367346935,0.20710659898477157,0.6877470355731226,FeTrIL
All Exemplars,0.6651933701657459,0.21083743842364527,0.628158844765343,FeTrIL
All Exemplars,0.44361702127659575,0.3390374331550802,0.5014634146341463,FeTrIL
All Exemplars,0.7593220338983051,0.00410256410256408,0.6468401486988847,FeTrIL
All Exemplars,0.3285714285714286,0.3035532994923858,0.861111111111111,FeTrIL
All Exemplars,0.0671480144404332,0.4,0.5230769230769231,FeTrIL
All Exemplars,0.13695652173913042,0.5155080213903744,0.5255102040816326,FeTrIL
All Exemplars,0.6762711864406781,0.45232558139534884,0.5192118226600985,FeTrIL
All Exemplars,0.3761194029850746,0.6974358974358974,0.5459770114942529,FeTrIL
All Exemplars,0.20632411067193673,0.09359605911330048,0.8717948717948719,FeTrIL
All Exemplars,0.32666666666666666,0.5830508474576271,0.6877470355731226,FeTrIL
All Exemplars,0.23174603174603173,0.39574468085106385,0.56353591160221,FeTrIL
All Exemplars,0.5686868686868687,0.861111111111111,0.5775401069518716,FeTrIL
All Exemplars,0.11491712707182318,0.6373983739837399,0.5202020202020202,FeTrIL
All Exemplars,0.03475177304964536,0.44945054945054946,0.8636363636363636,FeTrIL
All Exemplars,0.5728813559322034,0.10804597701149425,0.5260869565217392,FeTrIL
All Exemplars,0.2707182320441989,0.46878306878306886,0.4976303317535544,FeTrIL
All Exemplars,0.15402298850574708,0.09387755102040815,0.6304347826086957,FeTrIL
All Exemplars,0.27904761904761904,0.40102040816326534,0.5459770114942529,FeTrIL
All Exemplars,0.11216931216931214,0.510989010989011,0.5223880597014926,FeTrIL
All Exemplars,0.3773049645390071,0.4367816091954023,0.5004878048780488,FeTrIL
All Exemplars,0.43979591836734694,0.09425287356321839,0.6304347826086957,FeTrIL
All Exemplars,0.33990147783251234,0.5523809523809524,0.5255102040816326,FeTrIL
All Exemplars,0.15131086142322095,0.26206896551724135,0.5071090047393365,FeTrIL
All Exemplars,0.33191489361702126,0.2928909952606635,0.56353591160221,FeTrIL
All Exemplars,0.5712707182320442,0.3701492537313433,0.8636363636363636,FeTrIL
All Exemplars,0.5967032967032968,0.00524344569288388,0.5142857142857142,FeTrIL
All Exemplars,0.981818181818182,0.9922651933701658,0.9850746268656716,DDGR
All Exemplars,0.9737373737373737,0.9895348837209303,0.9895238095238096,DDGR
All Exemplars,0.9819494584837546,0.9914529914529917,0.9754010695187167,DDGR
All Exemplars,0.9775510204081634,0.981725888324873,0.9881422924901188,DDGR
All Exemplars,0.9933701657458563,0.9477832512315271,0.9819494584837546,DDGR
All Exemplars,0.9797872340425533,0.9732620320855615,0.9756097560975612,DDGR
All Exemplars,0.9864406779661017,0.9589743589743589,0.9799256505576208,DDGR
All Exemplars,0.9835164835164836,0.9746192893401014,0.9833333333333334,DDGR
All Exemplars,0.9819494584837546,0.9576354679802958,0.96,DDGR
All Exemplars,0.9702898550724637,0.9786096256684493,0.9734693877551021,DDGR
All Exemplars,0.9915254237288135,0.9895348837209301,0.9576354679802958,DDGR
All Exemplars,0.9830845771144278,0.9914529914529917,0.9862068965517242,DDGR
All Exemplars,0.9889328063241107,0.9665024630541874,0.9863247863247864,DDGR
All Exemplars,0.9933333333333334,0.9881355932203391,0.981818181818182,DDGR
All Exemplars,0.9915343915343915,0.9819148936170213,0.994475138121547,DDGR
All Exemplars,0.9727272727272727,0.9925925925925927,0.9743315508021393,DDGR
All Exemplars,0.9900552486187845,0.988617886178862,0.9737373737373737,DDGR
All Exemplars,0.9808510638297874,0.9824175824175825,0.9527272727272728,DDGR
All Exemplars,0.9898305084745763,0.9862068965517242,0.9695652173913043,DDGR
All Exemplars,0.9922651933701658,0.9947089947089948,0.9800947867298578,DDGR
All Exemplars,0.9965517241379311,0.976530612244898,0.9695652173913043,DDGR
All Exemplars,0.9942857142857143,0.976530612244898,0.9885057471264368,DDGR
All Exemplars,0.9957671957671959,0.987912087912088,0.9850746268656717,DDGR
All Exemplars,0.9836879432624114,0.9862068965517242,0.9804878048780488,DDGR
All Exemplars,0.9755102040816327,0.9781609195402299,0.9695652173913043,DDGR
All Exemplars,0.9615763546798031,0.9925925925925926,0.9755102040816327,DDGR
All Exemplars,0.7715355805243447,0.9793103448275862,0.9781990521327014,DDGR
All Exemplars,0.9829787234042554,0.9791469194312796,0.9922651933701656,DDGR
All Exemplars,0.9900552486187845,0.9870646766169155,0.9563636363636364,DDGR
All Exemplars,0.987912087912088,0.7722846441947565,0.9952380952380953,DDGR
All Exemplars,0.9672727272727274,0.988950276243094,0.9860696517412937,VAE_BBox
All Exemplars,0.9696969696969695,0.9930232558139535,0.9914285714285714,VAE_BBox
All Exemplars,0.984115523465704,0.9914529914529917,0.9764705882352942,VAE_BBox
All Exemplars,0.9775510204081634,0.9786802030456851,0.9897233201581029,VAE_BBox
All Exemplars,0.9933701657458563,0.9694581280788178,0.9826714801444044,VAE_BBox
All Exemplars,0.9787234042553192,0.9743315508021391,0.9765853658536587,VAE_BBox
All Exemplars,0.9864406779661017,0.955897435897436,0.9843866171003717,VAE_BBox
All Exemplars,0.9857142857142858,0.981725888324873,0.9833333333333334,VAE_BBox
All Exemplars,0.9819494584837546,0.9645320197044336,0.9589743589743589,VAE_BBox
All Exemplars,0.9702898550724639,0.9743315508021393,0.976530612244898,VAE_BBox
All Exemplars,0.9898305084745763,0.9872093023255812,0.9714285714285715,VAE_BBox
All Exemplars,0.9870646766169155,0.9914529914529917,0.9885057471264368,VAE_BBox
All Exemplars,0.9849802371541504,0.9546798029556649,0.9914529914529917,VAE_BBox
All Exemplars,0.9923809523809524,0.9847457627118643,0.9857707509881424,VAE_BBox
All Exemplars,0.9925925925925926,0.9819148936170213,0.9900552486187847,VAE_BBox
All Exemplars,0.9727272727272727,0.9851851851851852,0.9796791443850268,VAE_BBox
All Exemplars,0.9922651933701658,0.9918699186991871,0.9737373737373737,VAE_BBox
All Exemplars,0.9801418439716313,0.989010989010989,0.9854545454545457,VAE_BBox
All Exemplars,0.9915254237288135,0.9942528735632183,0.9724637681159422,VAE_BBox
All Exemplars,0.9922651933701658,0.9936507936507937,0.981042654028436,VAE_BBox
All Exemplars,0.9896551724137932,0.9734693877551021,0.9717391304347827,VAE_BBox
All Exemplars,0.9933333333333334,0.9744897959183675,0.9873563218390805,VAE_BBox
All Exemplars,0.9915343915343916,0.9857142857142858,0.9870646766169155,VAE_BBox
All Exemplars,0.9801418439716313,0.9896551724137932,0.975609756097561,VAE_BBox
All Exemplars,0.9744897959183675,0.9804597701149425,0.9695652173913043,VAE_BBox
All Exemplars,0.9645320197044336,0.9915343915343916,0.9755102040816327,VAE_BBox
All Exemplars,0.7685393258426967,0.9965517241379309,0.981042654028436,VAE_BBox
All Exemplars,0.9819148936170213,0.9781990521327014,0.9900552486187845,VAE_BBox
All Exemplars,0.9922651933701658,0.9890547263681592,0.9727272727272729,VAE_BBox
All Exemplars,0.9846153846153847,0.8134831460674157,0.9866666666666667,VAE_BBox
All Exemplars,0.9890909090909092,0.9922651933701658,0.9900497512437811,VAE_Filter
All Exemplars,0.9757575757575758,0.9918604651162791,0.9866666666666667,VAE_Filter
All Exemplars,0.9819494584837546,0.9914529914529917,0.9882352941176471,VAE_Filter
All Exemplars,0.976530612244898,0.9796954314720813,0.9873517786561266,VAE_Filter
All Exemplars,0.9933701657458563,0.9596059113300492,0.9833935018050542,VAE_Filter
All Exemplars,0.9840425531914894,0.9860962566844919,0.9775609756097561,VAE_Filter
All Exemplars,0.9847457627118643,0.9569230769230769,0.98364312267658,VAE_Filter
All Exemplars,0.987912087912088,0.980710659898477,0.9907407407407408,VAE_Filter
All Exemplars,0.9826714801444044,0.9645320197044336,0.9569230769230769,VAE_Filter
All Exemplars,0.9702898550724637,0.990374331550802,0.9724489795918367,VAE_Filter
All Exemplars,0.9847457627118643,0.9895348837209301,0.9586206896551726,VAE_Filter
All Exemplars,0.9860696517412935,0.9914529914529917,0.9954022988505746,VAE_Filter
All Exemplars,0.9913043478260871,0.9546798029556649,0.9914529914529917,VAE_Filter
All Exemplars,0.9914285714285714,0.9864406779661017,0.9897233201581029,VAE_Filter
All Exemplars,0.9947089947089947,0.9797872340425533,0.9911602209944752,VAE_Filter
All Exemplars,0.9747474747474747,0.9888888888888889,0.9786096256684493,VAE_Filter
All Exemplars,0.9900552486187845,0.9902439024390246,0.9737373737373737,VAE_Filter
All Exemplars,0.9808510638297874,0.9857142857142858,0.9800000000000001,VAE_Filter
All Exemplars,0.9898305084745763,0.993103448275862,0.9702898550724639,VAE_Filter
All Exemplars,0.994475138121547,0.9925925925925926,0.9838862559241708,VAE_Filter
All Exemplars,0.9919540229885058,0.9744897959183675,0.9695652173913043,VAE_Filter
All Exemplars,0.9933333333333334,0.9755102040816327,0.9839080459770114,VAE_Filter
All Exemplars,0.9936507936507937,0.9857142857142858,0.9880597014925374,VAE_Filter
All Exemplars,0.9829787234042552,0.993103448275862,0.9765853658536587,VAE_Filter
All Exemplars,0.9775510204081634,0.9839080459770116,0.9717391304347827,VAE_Filter
All Exemplars,0.9635467980295568,0.9904761904761903,0.9755102040816327,VAE_Filter
All Exemplars,0.800749063670412,0.9954022988505749,0.9781990521327014,VAE_Filter
All Exemplars,0.9819148936170213,0.9781990521327014,0.9933701657458563,VAE_Filter
All Exemplars,0.994475138121547,0.9880597014925374,0.9818181818181818,VAE_Filter
All Exemplars,0.9857142857142858,0.8134831460674157,0.9866666666666666,VAE_Filter
All Exemplars,0.9836363636363638,0.9922651933701658,0.9870646766169155,VAE_GMM
All Exemplars,0.9727272727272727,0.9918604651162791,0.9914285714285714,VAE_GMM
All Exemplars,0.9819494584837546,0.9914529914529917,0.983957219251337,VAE_GMM
All Exemplars,0.9775510204081634,0.980710659898477,0.982608695652174,VAE_GMM
All Exemplars,0.9933701657458563,0.9655172413793105,0.9812274368231048,VAE_GMM
All Exemplars,0.9797872340425533,0.9893048128342248,0.9814634146341465,VAE_GMM
All Exemplars,0.9830508474576272,0.957948717948718,0.9836431226765798,VAE_GMM
All Exemplars,0.987912087912088,0.9776649746192894,0.987037037037037,VAE_GMM
All Exemplars,0.9819494584837546,0.9655172413793105,0.9600000000000002,VAE_GMM
All Exemplars,0.9702898550724637,0.9786096256684494,0.9755102040816327,VAE_GMM
All Exemplars,0.9847457627118643,0.9872093023255815,0.9655172413793105,VAE_GMM
All Exemplars,0.9840796019900496,0.9914529914529917,0.9942528735632183,VAE_GMM
All Exemplars,0.9897233201581027,0.9674876847290641,0.9914529914529917,VAE_GMM
