Exemplar_Size,Method,Task 3
All Exemplars,FeTrIL,0.2633802816901408
All Exemplars,FeTrIL,0.1663685152057245
All Exemplars,FeTrIL,0.2920962199312714
All Exemplars,FeTrIL,0.1852713178294573
All Exemplars,FeTrIL,0.1796747967479674
All Exemplars,FeTrIL,0.1815602836879432
All Exemplars,FeTrIL,0.1084
All Exemplars,FeTrIL,0.194251134644478
All Exemplars,FeTrIL,0.1655052264808362
All Exemplars,FeTrIL,0.1884816753926701
All Exemplars,FeTrIL,0.1445229681978798
All Exemplars,FeTrIL,0.122016806722689
All Exemplars,FeTrIL,0.1503067484662576
All Exemplars,FeTrIL,0.355813953488372
All Exemplars,FeTrIL,0.1632653061224489
All Exemplars,FeTrIL,0.2261168384879724
All Exemplars,FeTrIL,0.4402802101576181
All Exemplars,FeTrIL,0.1520485584218512
All Exemplars,FeTrIL,0.2860040567951317
All Exemplars,FeTrIL,0.3197132616487455
All Exemplars,FeTrIL,0.2012170385395537
All Exemplars,FeTrIL,0.1563025210084033
All Exemplars,FeTrIL,0.1813380281690141
All Exemplars,FeTrIL,0.1400709219858156
All Exemplars,FeTrIL,0.1914807302231236
All Exemplars,FeTrIL,0.0931937172774868
All Exemplars,FeTrIL,0.146594982078853
All Exemplars,FeTrIL,0.1690476190476189
All Exemplars,FeTrIL,0.1596358118361153
All Exemplars,FeTrIL,0.1663685152057245
All Exemplars,DDGR,0.545774647887324
All Exemplars,DDGR,0.5792486583184258
All Exemplars,DDGR,0.4969072164948453
All Exemplars,DDGR,0.6379844961240311
All Exemplars,DDGR,0.6772357723577236
All Exemplars,DDGR,0.5687943262411348
All Exemplars,DDGR,0.4244
All Exemplars,DDGR,0.4771558245083206
All Exemplars,DDGR,0.5794425087108014
All Exemplars,DDGR,0.6104712041884817
All Exemplars,DDGR,0.4477031802120141
All Exemplars,DDGR,0.3895798319327731
All Exemplars,DDGR,0.5107361963190183
All Exemplars,DDGR,0.539922480620155
All Exemplars,DDGR,0.4683673469387756
All Exemplars,DDGR,0.3835051546391752
All Exemplars,DDGR,0.5106830122591944
All Exemplars,DDGR,0.4810318664643399
All Exemplars,DDGR,0.5724137931034482
All Exemplars,DDGR,0.4562724014336917
All Exemplars,DDGR,0.6300202839756592
All Exemplars,DDGR,0.5273949579831932
All Exemplars,DDGR,0.6158450704225352
All Exemplars,DDGR,0.5886524822695036
All Exemplars,DDGR,0.6462474645030426
