Exemplar_Size,Task 1,Task 2,Task 3,Task 4,Task 5,Method
All Exemplars,0.9826714801444043,0.7484662576687117,0.2633802816901408,0.1597633136094674,0.1209362808842652,FeTrIL
All Exemplars,0.9947089947089948,0.5197424892703862,0.1663685152057245,0.1543116490166414,0.1404421326397919,FeTrIL
All Exemplars,0.9808510638297874,0.27548500881834215,0.29209621993127144,0.12956521739130436,0.1027308192457737,FeTrIL
All Exemplars,0.991869918699187,0.433729216152019,0.18527131782945733,0.1327731092436974,0.22626788036410922,FeTrIL
All Exemplars,0.9907407407407408,0.5671875,0.17967479674796744,0.173109243697479,0.22626788036410922,FeTrIL
All Exemplars,0.9947089947089948,0.5153508771929824,0.1815602836879432,0.1544227886056971,0.1326397919375812,FeTrIL
All Exemplars,0.9807486631016042,0.5964824120603016,0.10840000000000001,0.1596638655462184,0.22626788036410922,FeTrIL
All Exemplars,0.9815602836879433,0.5975265017667845,0.19425113464447805,0.123342175066313,0.1209362808842652,FeTrIL
All Exemplars,0.9893617021276597,0.23423799582463464,0.1655052264808362,0.1394302848575712,0.1326397919375812,FeTrIL
All Exemplars,0.990909090909091,0.18279569892473116,0.1884816753926701,0.1396396396396396,0.1339401820546163,FeTrIL
All Exemplars,0.9688405797101449,0.6993657505285412,0.14452296819787983,0.1602373887240356,0.12353706111833548,FeTrIL
All Exemplars,0.9826714801444043,0.5732251521298174,0.122016806722689,0.1172106824925816,0.12353706111833548,FeTrIL
All Exemplars,0.9755102040816327,0.4069852941176471,0.15030674846625763,0.1235382308845577,0.1326397919375812,FeTrIL
All Exemplars,0.9829787234042554,0.4331337325349301,0.355813953488372,0.14823529411764702,0.22626788036410922,FeTrIL
All Exemplars,0.9838862559241706,0.3975757575757576,0.16326530612244894,0.1184407796101949,0.1326397919375812,FeTrIL
All Exemplars,0.9688405797101449,0.714519427402863,0.22611683848797243,0.1565217391304348,0.1027308192457737,FeTrIL
All Exemplars,0.8397003745318352,0.4913669064748201,0.44028021015761815,0.19495548961424328,0.12353706111833548,FeTrIL
All Exemplars,0.955897435897436,0.31438848920863305,0.15204855842185125,0.1259946949602122,0.12353706111833548,FeTrIL
All Exemplars,0.9880597014925373,0.5367149758454106,0.28600405679513174,0.1714285714285714,0.22626788036410922,FeTrIL
All Exemplars,0.9797872340425533,0.40920810313075506,0.31971326164874553,0.1558245083207261,0.1404421326397919,FeTrIL
All Exemplars,0.991869918699187,0.5015000000000001,0.20121703853955375,0.2608695652173913,0.1326397919375812,FeTrIL
