Exemplar_Size,Method,Task 3
All Exemplars,FeTrIL,0.4952879581151833
All Exemplars,FeTrIL,0.5010204081632652
All Exemplars,FeTrIL,0.5245098039215687
All Exemplars,FeTrIL,0.6022304832713755
All Exemplars,FeTrIL,0.5640449438202247
All Exemplars,FeTrIL,0.4911764705882353
All Exemplars,FeTrIL,0.2
All Exemplars,FeTrIL,0.8785046728971964
All Exemplars,FeTrIL,0.4974093264248704
All Exemplars,FeTrIL,0.4834170854271356
All Exemplars,FeTrIL,0.3330275229357798
All Exemplars,FeTrIL,0.1061403508771929
All Exemplars,FeTrIL,0.8839285714285714
All Exemplars,FeTrIL,0.2795539033457249
All Exemplars,FeTrIL,0.4961165048543689
All Exemplars,FeTrIL,0.3931372549019608
All Exemplars,FeTrIL,0.2929203539823009
All Exemplars,FeTrIL,0.9029850746268656
All Exemplars,FeTrIL,0.2
All Exemplars,FeTrIL,0.4158415841584159
All Exemplars,FeTrIL,0.6206896551724138
All Exemplars,FeTrIL,0.481578947368421
All Exemplars,FeTrIL,0.393717277486911
All Exemplars,FeTrIL,0.4970588235294118
All Exemplars,FeTrIL,0.4758620689655172
All Exemplars,FeTrIL,0.3889447236180904
All Exemplars,FeTrIL,0.5198019801980198
All Exemplars,FeTrIL,0.4961165048543689
All Exemplars,FeTrIL,0.9029850746268656
All Exemplars,FeTrIL,0.5051020408163265
All Exemplars,DDGR,0.9968586387434556
All Exemplars,DDGR,0.979591836734694
All Exemplars,DDGR,0.9872549019607844
All Exemplars,DDGR,0.9620817843866172
All Exemplars,DDGR,0.9692883895131088
All Exemplars,DDGR,0.9715686274509804
All Exemplars,DDGR,0.9696113074204946
All Exemplars,DDGR,0.9906542056074766
All Exemplars,DDGR,0.966839378238342
All Exemplars,DDGR,0.9597989949748744
All Exemplars,DDGR,0.989908256880734
All Exemplars,DDGR,0.9877192982456142
All Exemplars,DDGR,0.9821428571428572
All Exemplars,DDGR,0.9650557620817842
All Exemplars,DDGR,0.9699029126213594
All Exemplars,DDGR,0.9862745098039216
All Exemplars,DDGR,0.9946902654867256
All Exemplars,DDGR,0.9970149253731344
All Exemplars,DDGR,0.971647509578544
All Exemplars,DDGR,0.992079207920792
All Exemplars,DDGR,0.9708812260536398
All Exemplars,DDGR,0.9903508771929824
All Exemplars,DDGR,0.9937172774869112
All Exemplars,DDGR,0.9715686274509804
All Exemplars,DDGR,0.970114942528736
All Exemplars,DDGR,0.9628140703517588
All Exemplars,DDGR,0.993069306930693
All Exemplars,DDGR,0.9650485436893204
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9826530612244898
All Exemplars,VAE_BBox,0.993717277486911
All Exemplars,VAE_BBox,0.9826530612244898
All Exemplars,VAE_BBox,0.98921568627451
All Exemplars,VAE_BBox,0.9650557620817845
All Exemplars,VAE_BBox,0.9707865168539328
All Exemplars,VAE_BBox,0.9725490196078432
All Exemplars,VAE_BBox,0.9738515901060072
All Exemplars,VAE_BBox,0.9962616822429908
All Exemplars,VAE_BBox,0.9720207253886012
All Exemplars,VAE_BBox,0.9678391959798996
All Exemplars,VAE_BBox,0.9944954128440366
All Exemplars,VAE_BBox,0.987719298245614
All Exemplars,VAE_BBox,0.9857142857142858
All Exemplars,VAE_BBox,0.9650557620817842
All Exemplars,VAE_BBox,0.9708737864077672
All Exemplars,VAE_BBox,0.98921568627451
All Exemplars,VAE_BBox,0.9973451327433628
All Exemplars,VAE_BBox,0.9955223880597014
All Exemplars,VAE_BBox,0.9724137931034482
All Exemplars,VAE_BBox,0.99009900990099
All Exemplars,VAE_BBox,0.970114942528736
All Exemplars,VAE_BBox,0.9903508771929824
All Exemplars,VAE_BBox,0.9947643979057592
All Exemplars,VAE_BBox,0.9754901960784316
All Exemplars,VAE_BBox,0.97088122605364
All Exemplars,VAE_BBox,0.9698492462311556
All Exemplars,VAE_BBox,0.992079207920792
All Exemplars,VAE_BBox,0.9728155339805828
All Exemplars,VAE_BBox,0.991044776119403
All Exemplars,VAE_BBox,0.9816326530612246
All Exemplars,VAE_Filter,0.9958115183246072
All Exemplars,VAE_Filter,0.9877551020408164
All Exemplars,VAE_Filter,0.9852941176470588
All Exemplars,VAE_Filter,0.9613382899628252
All Exemplars,VAE_Filter,0.9685393258426966
All Exemplars,VAE_Filter,0.9666666666666668
All Exemplars,VAE_Filter,0.9795053003533568
All Exemplars,VAE_Filter,0.9962616822429908
All Exemplars,VAE_Filter,0.9699481865284976
All Exemplars,VAE_Filter,0.9748743718592964
All Exemplars,VAE_Filter,0.989908256880734
All Exemplars,VAE_Filter,0.9850877192982456
All Exemplars,VAE_Filter,0.9910714285714284
All Exemplars,VAE_Filter,0.9620817843866172
All Exemplars,VAE_Filter,0.9689320388349516
All Exemplars,VAE_Filter,0.984313725490196
All Exemplars,VAE_Filter,0.9938053097345132
All Exemplars,VAE_Filter,0.9970149253731344
All Exemplars,VAE_Filter,0.9724137931034482
All Exemplars,VAE_Filter,0.9871287128712872
All Exemplars,VAE_Filter,0.9724137931034482
All Exemplars,VAE_Filter,0.986842105263158
All Exemplars,VAE_Filter,0.9958115183246072
All Exemplars,VAE_Filter,0.969607843137255
All Exemplars,VAE_Filter,0.9731800766283524
All Exemplars,VAE_Filter,0.9698492462311558
All Exemplars,VAE_Filter,0.9910891089108912
All Exemplars,VAE_Filter,0.9728155339805828
All Exemplars,VAE_Filter,0.9940298507462686
All Exemplars,VAE_Filter,0.9836734693877552
All Exemplars,VAE_GMM,0.9989528795811518
All Exemplars,VAE_GMM,0.9816326530612246
All Exemplars,VAE_GMM,0.9862745098039216
All Exemplars,VAE_GMM,0.9710037174721188
All Exemplars,VAE_GMM,0.9700374531835207
All Exemplars,VAE_GMM,0.9715686274509804
All Exemplars,VAE_GMM,0.978798586572438
All Exemplars,VAE_GMM,0.9981308411214954
All Exemplars,VAE_GMM,0.9720207253886012
All Exemplars,VAE_GMM,0.986934673366834
All Exemplars,VAE_GMM,0.9880733944954128
All Exemplars,VAE_GMM,0.9903508771929824
All Exemplars,VAE_GMM,0.9821428571428572
All Exemplars,VAE_GMM,0.9628252788104088
All Exemplars,VAE_GMM,0.9776699029126216
All Exemplars,VAE_GMM,0.9911764705882355
All Exemplars,VAE_GMM,0.9964601769911504
All Exemplars,VAE_GMM,0.991044776119403
All Exemplars,VAE_GMM,0.971647509578544
All Exemplars,VAE_GMM,0.988118811881188
All Exemplars,VAE_GMM,0.9724137931034482
All Exemplars,VAE_GMM,0.9850877192982456
All Exemplars,VAE_GMM,0.9958115183246072
All Exemplars,VAE_GMM,0.9794117647058824
All Exemplars,VAE_GMM,0.9724137931034482
All Exemplars,VAE_GMM,0.9819095477386934
All Exemplars,VAE_GMM,0.9930693069306932
All Exemplars,VAE_GMM,0.974757281553398
All Exemplars,VAE_GMM,0.9955223880597014
All Exemplars,VAE_GMM,0.979591836734694
