Exemplar_Size,Task 2,Task 3,Method
All Exemplars,0.6211340206185567,0.0,FeTrIL
All Exemplars,0.7128378378378379,0.0,FeTrIL
All Exemplars,0.80625,0.0,FeTrIL
All Exemplars,0.8303921568627451,0.0,FeTrIL
All Exemplars,0.9271844660194175,0.0,FeTrIL
All Exemplars,0.7977695167286245,0.0,FeTrIL
All Exemplars,0.8750809061488674,0.04776699029126212,FeTrIL
All Exemplars,0.5513661202185792,0.0,FeTrIL
All Exemplars,0.6794326241134752,0.0,FeTrIL
All Exemplars,0.8013513513513514,0.0,FeTrIL
All Exemplars,0.674863387978142,0.07379310344827587,FeTrIL
All Exemplars,0.6349030470914128,0.10912280701754384,FeTrIL
All Exemplars,0.634640522875817,0.0,FeTrIL
All Exemplars,0.6560509554140127,0.0763705103969754,FeTrIL
All Exemplars,0.46325581395348836,0.0,FeTrIL
All Exemplars,0.618324607329843,0.04511784511784512,FeTrIL
All Exemplars,0.7272727272727273,0.06923076923076919,FeTrIL
All Exemplars,0.7605633802816902,0.0,FeTrIL
All Exemplars,0.8331081081081081,0.11210428305400369,FeTrIL
All Exemplars,0.6700636942675159,0.03590604026845638,FeTrIL
All Exemplars,0.808294930875576,0.0,FeTrIL
All Exemplars,0.7620437956204379,0.0,FeTrIL
All Exemplars,0.7005235602094241,0.03459637561779242,FeTrIL
All Exemplars,0.75,0.0,FeTrIL
All Exemplars,0.8186046511627907,0.0,FeTrIL
All Exemplars,0.581039755351682,0.03238731218697828,FeTrIL
All Exemplars,0.6475728155339806,0.0,FeTrIL
All Exemplars,0.8675675675675676,0.0,FeTrIL
All Exemplars,0.7644808743169399,0.0,FeTrIL
All Exemplars,0.6903765690376569,0.0,FeTrIL
All Exemplars,0.4118556701030928,0.26556836902800657,DDGR
All Exemplars,0.48040540540540544,0.1455149501661129,DDGR
All Exemplars,0.22562499999999996,0.2057239057239057,DDGR
All Exemplars,0.2970588235294117,0.14555765595463135,DDGR
All Exemplars,0.23980582524271843,0.2613935969868173,DDGR
All Exemplars,0.2014869888475836,0.29393939393939383,DDGR
All Exemplars,0.5385113268608415,0.23262135922330093,DDGR
All Exemplars,0.29180327868852457,0.226917510853835,DDGR
All Exemplars,0.3872340425531914,0.2816528925619835,DDGR
All Exemplars,0.3513513513513513,0.32287145242070114,DDGR
All Exemplars,0.14098360655737702,0.15896551724137928,DDGR
All Exemplars,0.1124653739612188,0.17614035087719299,DDGR
All Exemplars,0.2803921568627451,0.27346938775510204,DDGR
All Exemplars,0.3019108280254777,0.1504725897920605,DDGR
All Exemplars,0.4158139534883721,0.2878378378378378,DDGR
All Exemplars,0.3329842931937172,0.27104377104377103,DDGR
All Exemplars,0.3768595041322314,0.16678321678321675,DDGR
All Exemplars,0.12507042253521122,0.18734939759036143,DDGR
All Exemplars,0.25878378378378375,0.27560521415270023,DDGR
