FeTrIL,DDGR,VAE - Filter,VAE - GMM
1.0,1.0,0.9979381443298968,1.0
1.0,0.9858585858585858,0.987878787878788,0.987878787878788
0.5567010309278351,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.9885714285714288,1.0,0.9961904761904762
1.0,0.9961904761904762,0.9961904761904762,0.998095238095238
0.8,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.0,1.0,0.9981308411214954,1.0
0.4,0.953846153846154,0.9692307692307692,0.953846153846154
0.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
0.0019047619047619,0.9942857142857144,0.9904761904761904,0.9942857142857144
1.0,1.0,0.9983471074380166,1.0
1.0,0.9838383838383836,0.997979797979798,0.9959595959595958
0.8,0.998095238095238,0.998095238095238,0.9904761904761904
0.8,0.9987654320987656,1.0,0.9975308641975308
0.8,1.0,1.0,1.0
0.8,1.0,1.0,1.0
1.0,0.9942857142857144,0.9961904761904762,1.0
1.0,0.987878787878788,0.997979797979798,0.991919191919192
0.6,0.9942857142857144,0.9961904761904762,0.9961904761904762
1.0,0.9961904761904762,0.998095238095238,0.9942857142857144
0.8,1.0,1.0,1.0
0.4307692307692308,1.0,1.0,0.9692307692307692
1.0,0.993939393939394,0.9959595959595958,0.98989898989899
