Exemplar_Size,Method,Task 2
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0827586206896551
All Exemplars,FeTrIL,0.1594470046082949
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.1601328903654485
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.1438596491228069
All Exemplars,FeTrIL,0.119108280254777
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.2497607655502391
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0646666666666666
All Exemplars,FeTrIL,0.0013422818791946
All Exemplars,FeTrIL,0.106276150627615
All Exemplars,FeTrIL,0.0870292887029288
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0483720930232557
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0033783783783783
All Exemplars,FeTrIL,0.0347266881028938
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0515235457063711
All Exemplars,FeTrIL,0.0679611650485436
All Exemplars,FeTrIL,0.0
All Exemplars,FeTrIL,0.0077922077922077
All Exemplars,FeTrIL,0.0937931034482758
All Exemplars,DDGR,0.9791946308724834
All Exemplars,DDGR,0.9751724137931032
All Exemplars,DDGR,0.9889400921658986
All Exemplars,DDGR,0.9548717948717949
All Exemplars,DDGR,0.9615384615384616
All Exemplars,DDGR,0.9767441860465116
All Exemplars,DDGR,0.9591623036649216
All Exemplars,DDGR,0.9947368421052633
All Exemplars,DDGR,0.9796178343949044
All Exemplars,DDGR,0.9709459459459462
All Exemplars,DDGR,0.9903846153846152
All Exemplars,DDGR,0.9700305810397554
All Exemplars,DDGR,0.9866028708133971
All Exemplars,DDGR,0.954609929078014
All Exemplars,DDGR,0.9646666666666668
All Exemplars,DDGR,0.976510067114094
All Exemplars,DDGR,0.989958158995816
All Exemplars,DDGR,0.98744769874477
All Exemplars,DDGR,0.9559782608695652
All Exemplars,DDGR,0.9906976744186048
All Exemplars,DDGR,0.9498591549295776
All Exemplars,DDGR,0.9813664596273292
All Exemplars,DDGR,0.9716216216216216
All Exemplars,DDGR,0.9665594855305468
All Exemplars,DDGR,0.9586956521739132
All Exemplars,DDGR,0.9484764542936288
All Exemplars,DDGR,0.9857605177993528
All Exemplars,DDGR,0.9762057877813508
All Exemplars,DDGR,0.987878787878788
All Exemplars,DDGR,0.9786206896551723
All Exemplars,VAE_BBox,0.9791946308724832
All Exemplars,VAE_BBox,0.9786206896551726
All Exemplars,VAE_BBox,0.983410138248848
All Exemplars,VAE_BBox,0.9625641025641029
All Exemplars,VAE_BBox,0.964835164835165
All Exemplars,VAE_BBox,0.9807308970099669
All Exemplars,VAE_BBox,0.9596858638743456
All Exemplars,VAE_BBox,0.9947368421052633
All Exemplars,VAE_BBox,0.9789808917197452
All Exemplars,VAE_BBox,0.9864864864864864
All Exemplars,VAE_BBox,0.9897435897435898
All Exemplars,VAE_BBox,0.9761467889908256
All Exemplars,VAE_BBox,0.9770334928229664
All Exemplars,VAE_BBox,0.948936170212766
All Exemplars,VAE_BBox,0.9653333333333334
All Exemplars,VAE_BBox,0.9791946308724834
All Exemplars,VAE_BBox,0.993305439330544
All Exemplars,VAE_BBox,0.992468619246862
All Exemplars,VAE_BBox,0.9581521739130436
All Exemplars,VAE_BBox,0.9916279069767444
All Exemplars,VAE_BBox,0.9622535211267604
All Exemplars,VAE_BBox,0.984472049689441
All Exemplars,VAE_BBox,0.987837837837838
All Exemplars,VAE_BBox,0.9691318327974278
All Exemplars,VAE_BBox,0.9554347826086956
All Exemplars,VAE_BBox,0.96398891966759
All Exemplars,VAE_BBox,0.9825242718446604
All Exemplars,VAE_BBox,0.9678456591639872
All Exemplars,VAE_BBox,0.987878787878788
All Exemplars,VAE_BBox,0.976551724137931
All Exemplars,VAE_Filter,0.9832214765100672
All Exemplars,VAE_Filter,0.9779310344827584
All Exemplars,VAE_Filter,0.9880184331797236
All Exemplars,VAE_Filter,0.961025641025641
All Exemplars,VAE_Filter,0.9675824175824176
All Exemplars,VAE_Filter,0.9794019933554818
All Exemplars,VAE_Filter,0.9623036649214658
All Exemplars,VAE_Filter,0.9929824561403509
All Exemplars,VAE_Filter,0.9802547770700636
All Exemplars,VAE_Filter,0.9804054054054052
All Exemplars,VAE_Filter,0.9903846153846152
All Exemplars,VAE_Filter,0.9743119266055048
All Exemplars,VAE_Filter,0.9760765550239234
All Exemplars,VAE_Filter,0.9588652482269502
All Exemplars,VAE_Filter,0.966666666666667
All Exemplars,VAE_Filter,0.980536912751678
All Exemplars,VAE_Filter,0.990794979079498
All Exemplars,VAE_Filter,0.988284518828452
All Exemplars,VAE_Filter,0.9521739130434784
All Exemplars,VAE_Filter,0.9897674418604652
All Exemplars,VAE_Filter,0.9707042253521128
All Exemplars,VAE_Filter,0.9857142857142858
All Exemplars,VAE_Filter,0.9837837837837836
All Exemplars,VAE_Filter,0.972347266881029
All Exemplars,VAE_Filter,0.9559782608695652
All Exemplars,VAE_Filter,0.9612188365650972
All Exemplars,VAE_Filter,0.9838187702265372
All Exemplars,VAE_Filter,0.969774919614148
All Exemplars,VAE_Filter,0.987878787878788
All Exemplars,VAE_Filter,0.9806896551724138
All Exemplars,VAE_GMM,0.9818791946308724
All Exemplars,VAE_GMM,0.9806896551724136
All Exemplars,VAE_GMM,0.9861751152073732
All Exemplars,VAE_GMM,0.9584615384615386
All Exemplars,VAE_GMM,0.9681318681318682
All Exemplars,VAE_GMM,0.9760797342192692
All Exemplars,VAE_GMM,0.9607329842931938
All Exemplars,VAE_GMM,0.9938596491228072
All Exemplars,VAE_GMM,0.978343949044586
All Exemplars,VAE_GMM,0.981081081081081
All Exemplars,VAE_GMM,0.9897435897435898
All Exemplars,VAE_GMM,0.9761467889908256
All Exemplars,VAE_GMM,0.9732057416267942
All Exemplars,VAE_GMM,0.9602836879432624
All Exemplars,VAE_GMM,0.9633333333333336
All Exemplars,VAE_GMM,0.9818791946308728
All Exemplars,VAE_GMM,0.99163179916318
All Exemplars,VAE_GMM,0.989121338912134
All Exemplars,VAE_GMM,0.9586956521739132
All Exemplars,VAE_GMM,0.9888372093023255
All Exemplars,VAE_GMM,0.971830985915493
All Exemplars,VAE_GMM,0.9832298136645962
All Exemplars,VAE_GMM,0.9912162162162164
All Exemplars,VAE_GMM,0.9710610932475884
All Exemplars,VAE_GMM,0.9581521739130436
All Exemplars,VAE_GMM,0.9584487534626038
All Exemplars,VAE_GMM,0.9857605177993528
All Exemplars,VAE_GMM,0.9717041800643088
All Exemplars,VAE_GMM,0.9904761904761908
All Exemplars,VAE_GMM,0.9779310344827584
