Exemplar_Size,Task 2,Method
All Exemplars,0.03749999999999996,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.06344086021505374,FeTrIL
All Exemplars,0.03420289855072462,FeTrIL
All Exemplars,0.051851851851851836,FeTrIL
All Exemplars,0.0627062706270627,FeTrIL
All Exemplars,0.06296296296296294,FeTrIL
All Exemplars,0.1324324324324324,FeTrIL
All Exemplars,0.0052219321148825,FeTrIL
All Exemplars,0.09735099337748342,FeTrIL
All Exemplars,0.002088772845953,FeTrIL
All Exemplars,0.00113960113960112,FeTrIL
All Exemplars,0.45753424657534236,FeTrIL
All Exemplars,0.13666666666666663,FeTrIL
All Exemplars,0.07720588235294117,FeTrIL
All Exemplars,0.041911764705882336,FeTrIL
All Exemplars,0.2428571428571428,FeTrIL
All Exemplars,0.2231292517006803,FeTrIL
All Exemplars,0.06816479400749063,FeTrIL
All Exemplars,0.35555555555555557,FeTrIL
All Exemplars,0.07625418060200669,FeTrIL
All Exemplars,0.05542857142857142,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.0449438202247191,FeTrIL
All Exemplars,0.1304054054054054,FeTrIL
All Exemplars,0.029629629629629617,FeTrIL
All Exemplars,0.09259259259259259,FeTrIL
All Exemplars,0.08417508417508418,FeTrIL
All Exemplars,0.0,FeTrIL
All Exemplars,0.9904411764705884,DDGR
All Exemplars,0.9842622950819673,DDGR
All Exemplars,0.9956989247311828,DDGR
All Exemplars,0.99768115942029,DDGR
All Exemplars,0.987878787878788,DDGR
All Exemplars,0.9874587458745875,DDGR
All Exemplars,0.9978835978835978,DDGR
All Exemplars,0.9993243243243242,DDGR
All Exemplars,0.9869451697127939,DDGR
All Exemplars,0.9887417218543048,DDGR
All Exemplars,0.9984334203655353,DDGR
All Exemplars,0.9897435897435896,DDGR
All Exemplars,0.9945205479452055,DDGR
All Exemplars,0.9844444444444443,DDGR
All Exemplars,0.9757352941176471,DDGR
All Exemplars,0.9941176470588236,DDGR
All Exemplars,0.9952380952380953,DDGR
All Exemplars,0.9959183673469388,DDGR
All Exemplars,0.9887640449438202,DDGR
All Exemplars,0.9842592592592595,DDGR
All Exemplars,0.9832775919732442,DDGR
All Exemplars,0.994857142857143,DDGR
