Exemplar_Size,Method,Task 3
All Exemplars,FeTrIL,0.4784313725490195
All Exemplars,FeTrIL,0.3407407407407407
All Exemplars,FeTrIL,0.4115384615384615
All Exemplars,FeTrIL,0.4727272727272726
All Exemplars,FeTrIL,0.5649122807017544
All Exemplars,FeTrIL,0.4528301886792453
All Exemplars,FeTrIL,0.5438596491228069
All Exemplars,FeTrIL,0.5320754716981131
All Exemplars,FeTrIL,0.3999999999999999
All Exemplars,FeTrIL,0.4980392156862745
All Exemplars,FeTrIL,0.430188679245283
All Exemplars,FeTrIL,0.4264150943396226
All Exemplars,FeTrIL,0.4185185185185184
All Exemplars,FeTrIL,0.4327272727272726
All Exemplars,FeTrIL,0.5547169811320755
All Exemplars,FeTrIL,0.384313725490196
All Exemplars,FeTrIL,0.4259259259259259
All Exemplars,FeTrIL,0.3777777777777778
All Exemplars,FeTrIL,0.4947368421052632
All Exemplars,FeTrIL,0.4285714285714285
All Exemplars,FeTrIL,0.4421052631578946
All Exemplars,FeTrIL,0.4867924528301887
All Exemplars,FeTrIL,0.3307692307692307
All Exemplars,FeTrIL,0.5358490566037736
All Exemplars,FeTrIL,0.4350877192982455
All Exemplars,FeTrIL,0.5563636363636364
All Exemplars,FeTrIL,0.4653846153846153
All Exemplars,FeTrIL,0.3811320754716981
All Exemplars,FeTrIL,0.4074074074074073
All Exemplars,FeTrIL,0.4518518518518518
All Exemplars,DDGR,0.4274509803921568
All Exemplars,DDGR,0.562962962962963
All Exemplars,DDGR,0.3999999999999999
All Exemplars,DDGR,0.3163636363636363
All Exemplars,DDGR,0.4210526315789473
All Exemplars,DDGR,0.5018867924528302
All Exemplars,DDGR,0.3263157894736841
All Exemplars,DDGR,0.3660377358490566
All Exemplars,DDGR,0.5924528301886791
All Exemplars,DDGR,0.5098039215686274
All Exemplars,DDGR,0.4264150943396226
All Exemplars,DDGR,0.3622641509433962
All Exemplars,DDGR,0.374074074074074
All Exemplars,DDGR,0.4109090909090908
All Exemplars,DDGR,0.5094339622641508
All Exemplars,DDGR,0.4392156862745097
All Exemplars,DDGR,0.5407407407407407
All Exemplars,DDGR,0.4111111111111111
All Exemplars,DDGR,0.3333333333333333
All Exemplars,DDGR,0.4357142857142858
All Exemplars,DDGR,0.375438596491228
All Exemplars,DDGR,0.569811320754717
All Exemplars,DDGR,0.4961538461538461
All Exemplars,DDGR,0.3735849056603773
All Exemplars,DDGR,0.3894736842105263
All Exemplars,DDGR,0.5672727272727272
All Exemplars,DDGR,0.4
All Exemplars,DDGR,0.6
All Exemplars,DDGR,0.537037037037037
All Exemplars,DDGR,0.4481481481481481
All Exemplars,VAE_BBox,0.8549019607843139
All Exemplars,VAE_BBox,0.5962962962962963
All Exemplars,VAE_BBox,0.5961538461538461
All Exemplars,VAE_BBox,0.4727272727272726
All Exemplars,VAE_BBox,0.5964912280701755
All Exemplars,VAE_BBox,0.6226415094339622
All Exemplars,VAE_BBox,0.6140350877192983
All Exemplars,VAE_BBox,0.5849056603773585
All Exemplars,VAE_BBox,0.709433962264151
All Exemplars,VAE_BBox,0.7137254901960784
All Exemplars,VAE_BBox,0.8452830188679246
All Exemplars,VAE_BBox,0.6339622641509434
All Exemplars,VAE_BBox,0.5666666666666667
All Exemplars,VAE_BBox,0.6109090909090908
All Exemplars,VAE_BBox,0.8150943396226417
All Exemplars,VAE_BBox,0.7176470588235293
All Exemplars,VAE_BBox,0.5962962962962963
All Exemplars,VAE_BBox,0.6666666666666667
All Exemplars,VAE_BBox,0.7052631578947368
All Exemplars,VAE_BBox,0.5678571428571428
All Exemplars,VAE_BBox,0.6912280701754385
All Exemplars,VAE_BBox,0.6943396226415094
All Exemplars,VAE_BBox,0.6538461538461539
All Exemplars,VAE_BBox,0.5509433962264151
All Exemplars,VAE_BBox,0.719298245614035
All Exemplars,VAE_BBox,0.7781818181818182
All Exemplars,VAE_BBox,0.5038461538461538
All Exemplars,VAE_BBox,0.8830188679245283
All Exemplars,VAE_BBox,0.7185185185185186
All Exemplars,VAE_BBox,0.711111111111111
All Exemplars,VAE_Filter,0.8745098039215687
All Exemplars,VAE_Filter,0.6592592592592592
All Exemplars,VAE_Filter,0.6576923076923078
All Exemplars,VAE_Filter,0.5490909090909091
All Exemplars,VAE_Filter,0.7719298245614036
All Exemplars,VAE_Filter,0.720754716981132
All Exemplars,VAE_Filter,0.6385964912280702
All Exemplars,VAE_Filter,0.5773584905660377
All Exemplars,VAE_Filter,0.6754716981132075
All Exemplars,VAE_Filter,0.7254901960784313
All Exemplars,VAE_Filter,0.9132075471698112
