Exemplar_Size,Method,Task 3
All Exemplars,FeTrIL,0.6888888888888889
All Exemplars,FeTrIL,0.3944444444444445
All Exemplars,FeTrIL,0.5045454545454546
All Exemplars,FeTrIL,0.649056603773585
All Exemplars,FeTrIL,0.7056603773584905
All Exemplars,FeTrIL,0.5466666666666666
All Exemplars,FeTrIL,0.8434782608695652
All Exemplars,FeTrIL,0.6444444444444445
All Exemplars,FeTrIL,0.4972972972972972
All Exemplars,FeTrIL,0.711111111111111
All Exemplars,FeTrIL,0.6972972972972973
All Exemplars,FeTrIL,0.5555555555555556
All Exemplars,FeTrIL,0.5945945945945946
All Exemplars,FeTrIL,0.5818181818181818
All Exemplars,FeTrIL,0.6722222222222223
All Exemplars,FeTrIL,0.4863636363636363
All Exemplars,FeTrIL,0.4277777777777777
All Exemplars,FeTrIL,0.5454545454545454
All Exemplars,FeTrIL,0.5511111111111111
All Exemplars,FeTrIL,0.4727272727272728
All Exemplars,FeTrIL,0.6918918918918919
All Exemplars,FeTrIL,0.6136363636363635
All Exemplars,FeTrIL,0.4342857142857141
All Exemplars,FeTrIL,0.8133333333333332
All Exemplars,FeTrIL,0.6799999999999999
All Exemplars,FeTrIL,0.6594594594594595
All Exemplars,FeTrIL,0.5772727272727273
All Exemplars,FeTrIL,0.3666666666666667
All Exemplars,FeTrIL,0.65
All Exemplars,FeTrIL,0.65
All Exemplars,DDGR,0.2722222222222222
All Exemplars,DDGR,0.3166666666666666
All Exemplars,DDGR,0.1863636363636363
All Exemplars,DDGR,0.2150943396226414
All Exemplars,DDGR,0.3056603773584905
All Exemplars,DDGR,0.2533333333333333
All Exemplars,DDGR,0.2956521739130434
All Exemplars,DDGR,0.2444444444444444
All Exemplars,DDGR,0.2972972972972972
All Exemplars,DDGR,0.2555555555555555
All Exemplars,DDGR,0.2432432432432431
All Exemplars,DDGR,0.1688888888888888
All Exemplars,DDGR,0.2270270270270269
All Exemplars,DDGR,0.2454545454545454
All Exemplars,DDGR,0.1888888888888888
All Exemplars,DDGR,0.159090909090909
All Exemplars,DDGR,0.3611111111111111
All Exemplars,DDGR,0.1909090909090908
All Exemplars,DDGR,0.44
All Exemplars,DDGR,0.1409090909090908
All Exemplars,DDGR,0.227027027027027
All Exemplars,DDGR,0.1499999999999999
All Exemplars,DDGR,0.24
All Exemplars,DDGR,0.32
All Exemplars,DDGR,0.3911111111111111
All Exemplars,DDGR,0.1675675675675675
All Exemplars,DDGR,0.2818181818181818
All Exemplars,DDGR,0.261111111111111
All Exemplars,DDGR,0.1777777777777777
All Exemplars,DDGR,0.1777777777777777
All Exemplars,VAE_BBox,0.6833333333333333
All Exemplars,VAE_BBox,0.2611111111111111
All Exemplars,VAE_BBox,0.5954545454545455
All Exemplars,VAE_BBox,0.3698113207547169
All Exemplars,VAE_BBox,0.3773584905660377
All Exemplars,VAE_BBox,0.3999999999999999
All Exemplars,VAE_BBox,0.2434782608695652
All Exemplars,VAE_BBox,0.4977777777777777
All Exemplars,VAE_BBox,0.4162162162162162
All Exemplars,VAE_BBox,0.6444444444444445
All Exemplars,VAE_BBox,0.6594594594594595
All Exemplars,VAE_BBox,0.5066666666666666
All Exemplars,VAE_BBox,0.372972972972973
All Exemplars,VAE_BBox,0.6045454545454546
All Exemplars,VAE_BBox,0.7166666666666667
All Exemplars,VAE_BBox,0.4136363636363637
All Exemplars,VAE_BBox,0.3
All Exemplars,VAE_BBox,0.4999999999999999
All Exemplars,VAE_BBox,0.1955555555555555
All Exemplars,VAE_BBox,0.6590909090909091
All Exemplars,VAE_BBox,0.6054054054054054
All Exemplars,VAE_BBox,0.390909090909091
All Exemplars,VAE_BBox,0.68
All Exemplars,VAE_BBox,0.1644444444444444
All Exemplars,VAE_BBox,0.4088888888888888
All Exemplars,VAE_BBox,0.7135135135135137
All Exemplars,VAE_BBox,0.5318181818181819
All Exemplars,VAE_BBox,0.5888888888888888
All Exemplars,VAE_BBox,0.6499999999999999
All Exemplars,VAE_BBox,0.3444444444444444
All Exemplars,VAE_Filter,0.5277777777777777
All Exemplars,VAE_Filter,0.3111111111111111
All Exemplars,VAE_Filter,0.7681818181818183
All Exemplars,VAE_Filter,0.5433962264150943
All Exemplars,VAE_Filter,0.460377358490566
All Exemplars,VAE_Filter,0.4266666666666666
All Exemplars,VAE_Filter,0.2913043478260869
All Exemplars,VAE_Filter,0.5111111111111111
All Exemplars,VAE_Filter,0.4918918918918918
All Exemplars,VAE_Filter,0.6611111111111111
All Exemplars,VAE_Filter,0.5837837837837838
All Exemplars,VAE_Filter,0.4177777777777778
All Exemplars,VAE_Filter,0.4540540540540541
All Exemplars,VAE_Filter,0.5636363636363637
All Exemplars,VAE_Filter,0.5277777777777778
All Exemplars,VAE_Filter,0.3727272727272727
All Exemplars,VAE_Filter,0.2722222222222222
All Exemplars,VAE_Filter,0.4954545454545454
All Exemplars,VAE_Filter,0.24
All Exemplars,VAE_Filter,0.85
All Exemplars,VAE_Filter,0.5891891891891893
All Exemplars,VAE_Filter,0.3909090909090909
All Exemplars,VAE_Filter,0.7028571428571428
All Exemplars,VAE_Filter,0.1911111111111111
All Exemplars,VAE_Filter,0.1866666666666666
All Exemplars,VAE_Filter,0.7891891891891892
All Exemplars,VAE_Filter,0.5545454545454546
All Exemplars,VAE_Filter,0.3333333333333333
All Exemplars,VAE_Filter,0.6611111111111111
All Exemplars,VAE_Filter,0.4166666666666667
All Exemplars,VAE_GMM,0.5944444444444444
All Exemplars,VAE_GMM,0.788888888888889
All Exemplars,VAE_GMM,0.8545454545454545
All Exemplars,VAE_GMM,0.7924528301886793
All Exemplars,VAE_GMM,0.5094339622641509
All Exemplars,VAE_GMM,0.6488888888888888
All Exemplars,VAE_GMM,0.5565217391304348
All Exemplars,VAE_GMM,0.7288888888888889
All Exemplars,VAE_GMM,0.8054054054054054
All Exemplars,VAE_GMM,0.5666666666666667
All Exemplars,VAE_GMM,0.5405405405405406
All Exemplars,VAE_GMM,0.3022222222222221
All Exemplars,VAE_GMM,0.6
All Exemplars,VAE_GMM,0.7090909090909092
All Exemplars,VAE_GMM,0.7055555555555556
All Exemplars,VAE_GMM,0.5818181818181818
All Exemplars,VAE_GMM,0.3944444444444444
All Exemplars,VAE_GMM,0.8318181818181818
All Exemplars,VAE_GMM,0.2533333333333333
All Exemplars,VAE_GMM,0.8045454545454547
All Exemplars,VAE_GMM,0.6378378378378378
All Exemplars,VAE_GMM,0.3636363636363636
All Exemplars,VAE_GMM,0.6685714285714287
All Exemplars,VAE_GMM,0.3155555555555555
All Exemplars,VAE_GMM,0.4266666666666666
All Exemplars,VAE_GMM,0.8378378378378379
All Exemplars,VAE_GMM,0.5181818181818182
All Exemplars,VAE_GMM,0.65
All Exemplars,VAE_GMM,0.8222222222222222
All Exemplars,VAE_GMM,0.3555555555555555
