Exemplar_Size,Task 2,Task 3,Task 4,Task 5,Method
All Exemplars,0.6545454545454545,0.18666666666666662,0.19999999999999998,0.07999999999999996,FeTrIL
All Exemplars,0.2533333333333333,0.2833333333333333,0.22666666666666666,0.17333333333333328,FeTrIL
All Exemplars,0.3066666666666666,0.24000000000000005,0.1333333333333333,0.14999999999999997,FeTrIL
All Exemplars,0.27999999999999997,0.3454545454545454,0.0833333333333333,0.12000000000000002,FeTrIL
All Exemplars,0.24000000000000005,0.24999999999999994,0.12727272727272726,0.27999999999999997,FeTrIL
All Exemplars,0.27999999999999997,0.3818181818181819,0.1333333333333333,0.4,FeTrIL
All Exemplars,0.4166666666666667,0.22666666666666663,0.1818181818181818,0.18,FeTrIL
All Exemplars,0.4333333333333333,0.15999999999999998,0.2363636363636364,0.12,FeTrIL
All Exemplars,0.31999999999999995,0.2545454545454545,0.19999999999999996,0.22666666666666663,FeTrIL
All Exemplars,0.22000000000000003,0.22666666666666666,0.19999999999999998,0.0533333333333333,FeTrIL
All Exemplars,0.3833333333333333,0.3866666666666666,0.11999999999999997,0.18181818181818185,FeTrIL
All Exemplars,0.2533333333333333,0.1333333333333333,0.16666666666666666,0.21818181818181817,FeTrIL
All Exemplars,0.3090909090909092,0.30000000000000004,0.2,0.2,FeTrIL
All Exemplars,0.3333333333333333,0.19999999999999996,0.3333333333333333,0.20000000000000004,FeTrIL
All Exemplars,0.5200000000000001,0.14666666666666664,0.24999999999999994,0.11999999999999997,FeTrIL
All Exemplars,0.2533333333333333,0.41818181818181815,0.22666666666666663,0.19999999999999998,FeTrIL
All Exemplars,0.36,0.2666666666666667,0.2533333333333333,0.16363636363636364,FeTrIL
All Exemplars,0.33333333333333337,0.2833333333333333,0.17333333333333328,0.21818181818181817,FeTrIL
All Exemplars,0.05454545454545454,0.2333333333333333,0.23999999999999994,0.06000000000000001,FeTrIL
All Exemplars,0.38666666666666666,0.19999999999999996,0.15999999999999998,0.17333333333333328,FeTrIL
All Exemplars,0.55,0.2666666666666667,0.18,0.21333333333333332,FeTrIL
All Exemplars,0.30666666666666664,0.27999999999999997,0.2833333333333333,0.2545454545454545,FeTrIL
All Exemplars,0.27999999999999997,0.21666666666666665,0.17333333333333334,0.0933333333333333,FeTrIL
All Exemplars,0.26,0.21818181818181817,0.16666666666666666,0.09333333333333334,FeTrIL
All Exemplars,0.5090909090909091,0.21666666666666665,0.23999999999999994,0.1,FeTrIL
All Exemplars,0.2545454545454546,0.36,0.1,0.07999999999999996,FeTrIL
All Exemplars,0.24000000000000005,0.3818181818181819,0.21666666666666665,0.19999999999999996,FeTrIL
All Exemplars,0.2666666666666666,0.27999999999999997,0.09999999999999999,0.15999999999999998,FeTrIL
All Exemplars,0.42000000000000004,0.10666666666666665,0.11999999999999997,0.2909090909090909,FeTrIL
All Exemplars,0.30909090909090914,0.2333333333333333,0.10666666666666662,0.2533333333333333,FeTrIL
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,0.8,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,DDGR
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,0.96,VAE_BBox
All Exemplars,1.0,1.0,1.0,0.96,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,0.8800000000000001,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,0.9866666666666667,1.0,0.9800000000000001,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,0.9866666666666667,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,0.9866666666666667,0.9866666666666667,1.0,0.9818181818181818,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,0.9,VAE_BBox
All Exemplars,1.0,1.0,0.9800000000000001,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,0.9866666666666667,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,VAE_Filter
