Exemplar_Size,Method,Task 3
All Exemplars,FeTrIL,0.2785714285714285
All Exemplars,FeTrIL,0.3028571428571428
All Exemplars,FeTrIL,0.4928571428571429
All Exemplars,FeTrIL,0.1894736842105262
All Exemplars,FeTrIL,0.1444444444444444
All Exemplars,FeTrIL,0.2444444444444443
All Exemplars,FeTrIL,0.2888888888888888
All Exemplars,FeTrIL,0.1851851851851851
All Exemplars,FeTrIL,0.3485714285714286
All Exemplars,FeTrIL,0.2499999999999999
All Exemplars,FeTrIL,0.237037037037037
All Exemplars,FeTrIL,0.1473684210526315
All Exemplars,FeTrIL,0.24
All Exemplars,FeTrIL,0.1789473684210525
All Exemplars,FeTrIL,0.4296296296296296
All Exemplars,FeTrIL,0.2357142857142856
All Exemplars,FeTrIL,0.5481481481481482
All Exemplars,FeTrIL,0.4888888888888888
All Exemplars,FeTrIL,0.1846153846153845
All Exemplars,FeTrIL,0.2666666666666666
All Exemplars,FeTrIL,0.2769230769230769
All Exemplars,FeTrIL,0.2210526315789473
All Exemplars,FeTrIL,0.3999999999999999
All Exemplars,FeTrIL,0.2592592592592592
All Exemplars,FeTrIL,0.1307692307692307
All Exemplars,FeTrIL,0.1999999999999999
All Exemplars,FeTrIL,0.3714285714285714
All Exemplars,FeTrIL,0.4
All Exemplars,FeTrIL,0.3481481481481481
All Exemplars,FeTrIL,0.4057142857142857
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.9263157894736842
All Exemplars,DDGR,0.9222222222222224
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.977777777777778
All Exemplars,DDGR,0.977777777777778
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.962962962962963
All Exemplars,DDGR,0.8210526315789475
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.905263157894737
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,0.936842105263158
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,DDGR,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9666666666666668
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9888888888888888
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9789473684210528
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.968421052631579
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,0.9925925925925926
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
All Exemplars,VAE_BBox,1.0
