Exemplar_Size,Task 1,Task 2,Task 3,Method
All Exemplars,1.0,0.5450980392156863,0.44102564102564096,FeTrIL
All Exemplars,0.980952380952381,0.5208333333333334,0.3384615384615385,FeTrIL
All Exemplars,1.0,0.5568627450980392,0.3743589743589743,FeTrIL
All Exemplars,0.9066666666666666,0.6678571428571429,0.44102564102564107,FeTrIL
All Exemplars,1.0,0.680701754385965,0.4076923076923077,FeTrIL
All Exemplars,1.0,0.5333333333333333,0.41538461538461535,FeTrIL
All Exemplars,0.9199999999999999,0.6666666666666667,0.4641025641025641,FeTrIL
All Exemplars,1.0,0.6076923076923076,0.40512820512820513,FeTrIL
All Exemplars,0.9545454545454547,0.5333333333333333,0.3846153846153846,FeTrIL
All Exemplars,1.0,0.611764705882353,0.37435897435897436,FeTrIL
All Exemplars,1.0,0.5769230769230769,0.37948717948717947,FeTrIL
All Exemplars,1.0,0.6909090909090909,0.39999999999999997,FeTrIL
All Exemplars,1.0,0.4708333333333334,0.44102564102564107,FeTrIL
All Exemplars,1.0,0.5892857142857144,0.2897435897435897,FeTrIL
All Exemplars,1.0,0.6784313725490196,0.41025641025641024,FeTrIL
All Exemplars,1.0,0.6588235294117647,0.45897435897435895,FeTrIL
All Exemplars,0.9545454545454547,0.49230769230769234,0.3641025641025641,FeTrIL
All Exemplars,1.0,0.5576923076923077,0.4025641025641026,FeTrIL
All Exemplars,1.0,0.6566037735849057,0.44871794871794873,FeTrIL
All Exemplars,1.0,0.5169811320754717,0.3846153846153846,FeTrIL
All Exemplars,1.0,0.5660377358490566,0.382051282051282,FeTrIL
All Exemplars,1.0,0.5163636363636364,0.35641025641025637,FeTrIL
All Exemplars,1.0,0.4875,0.37948717948717947,FeTrIL
All Exemplars,0.9933333333333334,0.6274509803921569,0.4615384615384615,FeTrIL
All Exemplars,0.9199999999999999,0.5056603773584906,0.3948717948717948,FeTrIL
All Exemplars,1.0,0.5509433962264151,0.39999999999999997,FeTrIL
All Exemplars,0.5466666666666666,0.41960784313725485,0.382051282051282,FeTrIL
All Exemplars,0.980952380952381,0.584313725490196,0.33589743589743587,FeTrIL
All Exemplars,1.0,0.6615384615384616,0.482051282051282,FeTrIL
All Exemplars,1.0,0.4958333333333333,0.35641025641025637,FeTrIL
All Exemplars,1.0,0.7019607843137255,0.4282051282051281,DDGR
All Exemplars,1.0,0.9041666666666666,0.5333333333333334,DDGR
All Exemplars,1.0,0.6509803921568628,0.423076923076923,DDGR
All Exemplars,1.0,0.6642857142857144,0.3666666666666666,DDGR
All Exemplars,0.9933333333333334,0.7192982456140351,0.4153846153846154,DDGR
All Exemplars,1.0,0.7098039215686274,0.42051282051282046,DDGR
All Exemplars,0.9866666666666667,0.7964912280701755,0.42564102564102557,DDGR
All Exemplars,1.0,0.7961538461538462,0.5230769230769231,DDGR
All Exemplars,0.9272727272727274,0.8875,0.5025641025641026,DDGR
All Exemplars,1.0,0.6509803921568628,0.4282051282051281,DDGR
All Exemplars,1.0,0.7115384615384616,0.4128205128205128,DDGR
All Exemplars,1.0,0.6727272727272727,0.4384615384615384,DDGR
All Exemplars,1.0,0.5833333333333334,0.4666666666666666,DDGR
All Exemplars,1.0,0.6857142857142857,0.44615384615384607,DDGR
All Exemplars,1.0,0.7294117647058822,0.5333333333333334,DDGR
All Exemplars,1.0,0.6431372549019608,0.4948717948717949,DDGR
All Exemplars,0.8818181818181818,0.8576923076923076,0.5205128205128204,DDGR
All Exemplars,1.0,0.6653846153846155,0.3923076923076923,DDGR
All Exemplars,0.9866666666666667,0.750943396226415,0.4692307692307692,DDGR
All Exemplars,1.0,0.6716981132075471,0.39230769230769225,DDGR
All Exemplars,1.0,0.6830188679245283,0.3948717948717949,DDGR
All Exemplars,1.0,0.64,0.3333333333333333,DDGR
All Exemplars,0.9904761904761905,0.9208333333333334,0.5897435897435896,DDGR
All Exemplars,0.9933333333333334,0.6941176470588235,0.5256410256410255,DDGR
All Exemplars,0.9866666666666667,0.7169811320754716,0.45897435897435895,DDGR
All Exemplars,1.0,0.690566037735849,0.4282051282051282,DDGR
All Exemplars,0.9733333333333334,0.5803921568627451,0.4333333333333333,DDGR
All Exemplars,0.9238095238095237,0.9137254901960784,0.523076923076923,DDGR
All Exemplars,1.0,0.6923076923076923,0.4512820512820513,DDGR
All Exemplars,1.0,0.6083333333333333,0.4717948717948718,DDGR
All Exemplars,1.0,0.8705882352941178,0.6384615384615385,VAE_BBox
All Exemplars,1.0,0.8333333333333334,0.6153846153846153,VAE_BBox
All Exemplars,1.0,0.968627450980392,0.5743589743589743,VAE_BBox
All Exemplars,0.9933333333333334,0.8142857142857143,0.6153846153846154,VAE_BBox
All Exemplars,0.9933333333333334,0.7122807017543858,0.4692307692307692,VAE_BBox
All Exemplars,1.0,0.9176470588235294,0.7153846153846153,VAE_BBox
All Exemplars,0.9733333333333334,0.7789473684210526,0.5102564102564102,VAE_BBox
All Exemplars,0.9866666666666667,0.7576923076923077,0.5512820512820513,VAE_BBox
All Exemplars,0.890909090909091,0.7083333333333333,0.7384615384615384,VAE_BBox
All Exemplars,1.0,0.9529411764705882,0.6692307692307692,VAE_BBox
