Exemplar_Size,Method,Task 4
All Exemplars,FeTrIL,0.4051282051282051
All Exemplars,FeTrIL,0.382051282051282
All Exemplars,FeTrIL,0.4666666666666666
All Exemplars,FeTrIL,0.5333333333333333
All Exemplars,FeTrIL,0.5641025641025641
All Exemplars,FeTrIL,0.5384615384615384
All Exemplars,FeTrIL,0.4615384615384615
All Exemplars,FeTrIL,0.4820512820512819
All Exemplars,FeTrIL,0.4461538461538462
All Exemplars,FeTrIL,0.4256410256410256
All Exemplars,FeTrIL,0.3333333333333332
All Exemplars,FeTrIL,0.4717948717948718
All Exemplars,FeTrIL,0.4025641025641026
All Exemplars,FeTrIL,0.4128205128205128
All Exemplars,FeTrIL,0.4410256410256409
All Exemplars,FeTrIL,0.4794871794871794
All Exemplars,FeTrIL,0.3923076923076922
All Exemplars,FeTrIL,0.4512820512820513
All Exemplars,FeTrIL,0.4897435897435896
All Exemplars,FeTrIL,0.4897435897435898
All Exemplars,FeTrIL,0.3794871794871794
All Exemplars,FeTrIL,0.3999999999999999
All Exemplars,FeTrIL,0.4435897435897436
All Exemplars,FeTrIL,0.464102564102564
All Exemplars,FeTrIL,0.4871794871794871
All Exemplars,FeTrIL,0.3948717948717948
All Exemplars,FeTrIL,0.482051282051282
All Exemplars,FeTrIL,0.446153846153846
All Exemplars,FeTrIL,0.4128205128205128
All Exemplars,FeTrIL,0.4076923076923077
All Exemplars,DDGR,0.4128205128205128
All Exemplars,DDGR,0.3692307692307692
All Exemplars,DDGR,0.3564102564102563
All Exemplars,DDGR,0.4307692307692307
All Exemplars,DDGR,0.4102564102564102
All Exemplars,DDGR,0.3692307692307692
All Exemplars,DDGR,0.3717948717948717
All Exemplars,DDGR,0.5076923076923077
All Exemplars,DDGR,0.4307692307692307
All Exemplars,DDGR,0.4692307692307692
All Exemplars,DDGR,0.2999999999999999
All Exemplars,DDGR,0.2897435897435897
All Exemplars,DDGR,0.3512820512820512
All Exemplars,DDGR,0.2769230769230769
All Exemplars,DDGR,0.4102564102564102
All Exemplars,DDGR,0.4102564102564102
All Exemplars,DDGR,0.3974358974358974
All Exemplars,DDGR,0.4307692307692307
All Exemplars,DDGR,0.3717948717948717
All Exemplars,DDGR,0.2871794871794871
All Exemplars,DDGR,0.3435897435897436
All Exemplars,DDGR,0.4205128205128204
All Exemplars,DDGR,0.3769230769230769
All Exemplars,DDGR,0.4076923076923077
All Exemplars,DDGR,0.3743589743589743
All Exemplars,DDGR,0.3692307692307692
All Exemplars,DDGR,0.3923076923076923
All Exemplars,DDGR,0.3974358974358974
All Exemplars,DDGR,0.3512820512820512
All Exemplars,DDGR,0.3897435897435897
All Exemplars,VAE_BBox,0.3999999999999999
All Exemplars,VAE_BBox,0.4487179487179487
All Exemplars,VAE_BBox,0.4487179487179487
All Exemplars,VAE_BBox,0.3256410256410256
All Exemplars,VAE_BBox,0.2794871794871794
All Exemplars,VAE_BBox,0.4923076923076923
All Exemplars,VAE_BBox,0.4205128205128205
All Exemplars,VAE_BBox,0.5384615384615385
All Exemplars,VAE_BBox,0.3333333333333333
All Exemplars,VAE_BBox,0.3743589743589742
All Exemplars,VAE_BBox,0.3333333333333333
All Exemplars,VAE_BBox,0.3717948717948718
All Exemplars,VAE_BBox,0.5256410256410257
All Exemplars,VAE_BBox,0.3794871794871794
All Exemplars,VAE_BBox,0.3846153846153846
All Exemplars,VAE_BBox,0.4256410256410256
All Exemplars,VAE_BBox,0.3358974358974358
All Exemplars,VAE_BBox,0.3333333333333333
All Exemplars,VAE_BBox,0.6820512820512821
All Exemplars,VAE_BBox,0.4846153846153845
All Exemplars,VAE_BBox,0.4974358974358973
All Exemplars,VAE_BBox,0.2743589743589743
All Exemplars,VAE_BBox,0.4743589743589743
All Exemplars,VAE_BBox,0.4256410256410256
All Exemplars,VAE_BBox,0.5384615384615384
All Exemplars,VAE_BBox,0.5384615384615385
All Exemplars,VAE_BBox,0.5769230769230769
All Exemplars,VAE_BBox,0.3743589743589743
All Exemplars,VAE_BBox,0.2897435897435897
All Exemplars,VAE_BBox,0.4666666666666667
All Exemplars,VAE_Filter,0.3974358974358974
All Exemplars,VAE_Filter,0.5102564102564102
All Exemplars,VAE_Filter,0.5025641025641026
All Exemplars,VAE_Filter,0.3282051282051282
All Exemplars,VAE_Filter,0.4128205128205128
All Exemplars,VAE_Filter,0.4435897435897435
All Exemplars,VAE_Filter,0.4692307692307692
All Exemplars,VAE_Filter,0.5743589743589743
All Exemplars,VAE_Filter,0.4102564102564102
All Exemplars,VAE_Filter,0.4128205128205128
All Exemplars,VAE_Filter,0.4487179487179487
All Exemplars,VAE_Filter,0.3999999999999999
All Exemplars,VAE_Filter,0.4743589743589743
All Exemplars,VAE_Filter,0.3358974358974358
All Exemplars,VAE_Filter,0.4666666666666667
All Exemplars,VAE_Filter,0.2923076923076922
All Exemplars,VAE_Filter,0.3153846153846154
All Exemplars,VAE_Filter,0.3871794871794871
All Exemplars,VAE_Filter,0.6307692307692309
All Exemplars,VAE_Filter,0.5025641025641026
All Exemplars,VAE_Filter,0.4282051282051281
All Exemplars,VAE_Filter,0.3333333333333333
All Exemplars,VAE_Filter,0.5871794871794872
All Exemplars,VAE_Filter,0.5461538461538462
All Exemplars,VAE_Filter,0.617948717948718
All Exemplars,VAE_Filter,0.5794871794871794
All Exemplars,VAE_Filter,0.5153846153846153
All Exemplars,VAE_Filter,0.3461538461538461
All Exemplars,VAE_Filter,0.3435897435897436
All Exemplars,VAE_Filter,0.5435897435897437
All Exemplars,VAE_GMM,0.4179487179487179
All Exemplars,VAE_GMM,0.5153846153846153
All Exemplars,VAE_GMM,0.5564102564102564
All Exemplars,VAE_GMM,0.3025641025641025
All Exemplars,VAE_GMM,0.341025641025641
All Exemplars,VAE_GMM,0.558974358974359
All Exemplars,VAE_GMM,0.4487179487179487
All Exemplars,VAE_GMM,0.5846153846153846
All Exemplars,VAE_GMM,0.4153846153846153
All Exemplars,VAE_GMM,0.4333333333333333
All Exemplars,VAE_GMM,0.4179487179487179
All Exemplars,VAE_GMM,0.4307692307692307
All Exemplars,VAE_GMM,0.5461538461538462
All Exemplars,VAE_GMM,0.5256410256410255
All Exemplars,VAE_GMM,0.3743589743589743
All Exemplars,VAE_GMM,0.6641025641025642
All Exemplars,VAE_GMM,0.4205128205128204
All Exemplars,VAE_GMM,0.4769230769230769
All Exemplars,VAE_GMM,0.6128205128205129
All Exemplars,VAE_GMM,0.6025641025641025
All Exemplars,VAE_GMM,0.5717948717948718
All Exemplars,VAE_GMM,0.323076923076923
All Exemplars,VAE_GMM,0.6076923076923076
All Exemplars,VAE_GMM,0.5666666666666667
All Exemplars,VAE_GMM,0.7230769230769232
All Exemplars,VAE_GMM,0.5461538461538462
All Exemplars,VAE_GMM,0.535897435897436
All Exemplars,VAE_GMM,0.5
All Exemplars,VAE_GMM,0.4153846153846153
All Exemplars,VAE_GMM,0.5102564102564102
