dataset,scenario,person,method,vae_sampling,filter,iteration,exemplar_size,each_exemplar_time,whole_exemplar_time,each_task_time,whole_task_time
uci,21,0, ce_fetril,none, none,0,100,0.481742935958836,1.4452288078765074,0.0915578292061885,0.2746734876185656
uci,21,0, ce_fetril,none, none,0,142,0.4760100793300404,1.428030237990121,0.0861644042241904,0.2584932126725713
uci,21,0, ce_fetril,none, none,0,201,0.4750318605452774,1.4250955816358328,0.0846184134345363,0.2538552403036091
uci,21,0, ce_fetril,none, none,0,286,0.4758401082207756,1.4275203246623278,0.0838981968247228,0.2516945904741685
uci,21,0, ce_fetril,none, none,0,135,0.473011032806502,1.4190330984195074,0.0834258757034937,0.2502776271104812
uci,21,0, ce_ddgr,none, none,0,100,13.339842638828689,40.01952791648606,16.659865722929435,49.97959716878832
uci,21,0, ce_ddgr,none, none,0,142,13.341450992433558,40.02435297730069,16.626385676881505,49.879157030644514
uci,21,0, ce_ddgr,none, none,0,201,13.474373240230808,40.42311972069243,16.730794703491306,50.19238411047392
uci,21,0, ce_ddgr,none, none,0,286,13.26598050610886,39.7979415183266,16.507501678779303,49.522505036337925
uci,21,0, ce_ddgr,none, none,0,135,13.18505643670757,39.55516931012273,16.421934538177315,49.265803614531954
uci,21,0, ce_vae,boundary_box, none,0,100,3.6639407340437193,10.991822202131152,3.2541758713208964,9.76252761396269
uci,21,0, ce_vae,boundary_box, none,0,142,3.636540354684824,10.90962106405447,3.239257894373602,9.717773683120807
uci,21,0, ce_vae,boundary_box, none,0,201,3.638017531539556,10.914052594618664,3.242298419194088,9.726895257582267
uci,21,0, ce_vae,boundary_box, none,0,286,3.605543608290867,10.816630824872602,3.2157947551873,9.647384265561898
uci,21,0, ce_vae,boundary_box, none,0,135,3.5807693774335903,10.742308132300774,3.1965217793650096,9.58956533809503
uci,21,0, ce_vae,boundary_box, probability,0,100,3.4767655722383,10.4302967167149,3.0606939535174105,9.182081860552232
uci,21,0, ce_vae,boundary_box, probability,0,142,3.5110601796458165,10.533180538937447,3.096764298673305,9.290292896019915
uci,21,0, ce_vae,boundary_box, probability,0,201,3.503108461380556,10.50932538414167,3.097861860402756,9.29358558120827
uci,21,0, ce_vae,boundary_box, probability,0,286,3.516829849210464,10.550489547631392,3.112262680785109,9.336788042355328
uci,21,0, ce_vae,boundary_box, probability,0,135,3.507529489298661,10.522588467895984,3.1004284181776973,9.301285254533092
uci,21,0, ce_vae,gmm, none,0,100,4.033286265242431,12.099858795727291,3.490823518733183,10.47247055619955
uci,21,0, ce_vae,gmm, none,0,142,4.069276476320294,12.20782942896088,3.5443812889771324,10.633143866931398
uci,21,0, ce_vae,gmm, none,0,201,4.036092602075252,12.10827780622575,3.519906559545132,10.559719678635398
uci,21,0, ce_vae,gmm, none,0,286,4.031266690790655,12.09380007237196,3.5183484047754754,10.555045214326432
uci,21,0, ce_vae,gmm, none,0,135,4.037939404762455,12.11381821428736,3.520681611489917,10.562044834469756
